"date","geography","geography code","Passports held: Total; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: Central and South America; measures: Value","Passports held: Antarctica and Oceania, including Australasia; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
"2021","North East","E12000001",2647011,2123258,2065298,5956,52004,49475,1500,2082,4403,2747,2558,2094,12397,7308,14386,2529,722,1807,9194,1913,5127,2154,26084,3431,5406,13137,4040,70,4249,2949,1300,873,12,483341
"2021","North West","E12000002",7417400,6215919,5867918,42243,305758,295871,7683,8473,36990,20344,25906,10051,81455,33096,71873,9887,2716,7171,36183,7568,19747,8868,108049,11106,16556,70397,9814,176,17454,10083,7371,3245,130,1036420
"2021","Yorkshire and The Humber","E12000003",5480773,4499580,4255929,15988,227663,221652,4095,4868,14843,9766,8762,13143,73745,31596,60834,6011,1550,4461,24388,4723,12450,7215,71972,7709,12623,44215,7284,141,11351,8270,3081,2812,68,870602
"2021","East Midlands","E12000004",4880050,3978109,3659353,18115,300641,292587,5514,5747,20571,28595,7102,22076,84093,50414,68475,8054,2068,5986,26126,3677,12410,10039,69399,4359,8115,50095,6687,143,11436,8755,2681,2330,77,792573
"2021","West Midlands","E12000005",5950755,4813243,4466758,30152,316333,304801,8438,7707,34894,15633,13484,10781,76486,56151,81227,11532,2100,9432,36813,5241,20369,11203,118481,6139,12896,91118,8094,234,15279,11638,3641,2701,93,964145
"2021","East","E12000006",6335076,5317472,4877781,41559,398132,382808,11325,10840,31461,30702,14681,43564,83916,72155,84164,15324,4368,10956,36727,3846,18265,14616,84657,3350,12812,54243,13915,337,39986,33134,6852,6230,38,849966
"2021","London","E12000007",8799729,7644741,6260046,121247,1263448,1180005,89787,46710,162442,113147,102133,50814,144849,189349,280774,83443,22593,60850,124286,16670,74667,32949,367156,22416,65259,230824,45980,2677,132870,82660,50210,37090,93,493493
"2021","South East","E12000008",9278066,7962995,7384664,58075,520256,496270,24069,21597,42308,39205,26684,21454,113063,72597,135293,23986,5839,18147,58390,6209,22482,29699,154983,7260,25332,100543,21146,702,43127,29300,13827,13663,81,1044827
"2021","South West","E12000009",5701187,4704464,4450936,21588,231940,223724,8993,8498,15993,21700,12542,8364,64379,29782,53473,8216,2271,5945,18044,2459,6375,9210,51547,3079,10822,27112,10227,307,19512,12519,6993,6445,38,901137
"2021","Wales","W92000004",3107493,2485776,2399759,9802,76215,73249,2113,2832,4834,4651,2878,2819,25763,7851,19508,2966,1211,1755,8150,2062,3266,2822,23894,3306,5007,11719,3770,92,5002,3780,1222,1483,11,583177
