"date","geography","geography code","Passports held: Total; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: Central and South America; measures: Value","Passports held: Antarctica and Oceania, including Australasia; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
"2021","Darlington","E06000005",107796,86662,82889,240,3533,3475,48,65,194,48,54,214,1564,721,567,58,23,35,239,44,111,84,794,91,72,516,114,1,173,117,56,42,0,19886
"2021","County Durham","E06000047",522070,409878,402136,899,6843,6451,304,433,465,194,261,223,2237,665,1669,392,136,256,721,118,279,324,3340,271,1621,871,562,15,927,707,220,169,4,107031
"2021","Hartlepool","E06000001",92339,71177,70071,97,1009,943,9,38,29,25,29,59,527,51,176,66,29,37,112,13,31,68,272,36,34,139,63,0,87,60,27,17,0,20674
"2021","Middlesbrough","E06000002",143922,111196,106552,276,4368,4163,83,90,382,94,152,161,723,1114,1364,205,20,185,1544,318,1017,209,3439,233,212,2720,265,9,144,97,47,21,1,27577
"2021","Northumberland","E06000057",320572,261387,258025,636,2726,2555,93,236,129,152,89,135,683,249,789,171,42,129,238,37,72,129,589,47,113,230,191,8,378,295,83,119,0,57861
"2021","Redcar and Cleveland","E06000003",136529,107005,105919,194,892,836,36,50,62,31,42,52,213,118,232,56,15,41,95,23,23,49,238,38,45,78,74,3,101,81,20,31,0,29059
"2021","Stockton-on-Tees","E06000004",196601,159040,156153,399,2488,2361,72,107,205,83,213,75,592,416,598,127,27,100,714,129,289,296,1557,89,172,985,305,6,271,164,107,56,1,34962
"2021","Gateshead","E08000037",196152,159460,153651,507,5302,5012,151,136,423,275,211,233,1530,640,1413,290,68,222,642,162,325,155,1528,405,299,532,289,3,357,238,119,57,1,34107
"2021","Newcastle upon Tyne","E08000021",300120,244441,226913,1559,15969,15291,454,551,1702,1316,1168,580,2152,2127,5241,678,213,465,2831,811,1573,447,10580,1935,2313,5129,1187,16,1126,726,400,173,3,40966
"2021","North Tyneside","E08000022",208965,176184,172258,579,3347,3125,144,179,287,202,149,120,619,581,844,222,56,166,368,90,148,130,1116,71,210,638,194,3,326,215,111,116,0,30855
