"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Hartlepool","E06000001",92336,88673,40,97,176,238,210,365,1009,334,376,573,245
"2021","Middlesbrough","E06000002",143923,126242,65,297,686,767,646,1217,4150,1464,2136,3188,3065
"2021","Redcar and Cleveland","E06000003",136534,132550,80,204,367,364,333,452,816,212,338,629,189
"2021","Stockton-on-Tees","E06000004",196595,184328,116,320,741,838,833,1268,3325,1076,1367,1623,760
"2021","Darlington","E06000005",107796,99373,77,197,490,540,432,629,2324,742,1247,1271,474
"2021","County Durham","E06000047",522070,499175,238,526,1224,1360,1352,2008,5774,1737,2310,3497,2869
"2021","Northumberland","E06000057",320567,309315,244,599,1010,1036,1092,1219,2646,804,887,1284,431
"2021","Newcastle upon Tyne","E08000021",300125,247792,169,529,1295,1605,2018,4126,13531,4193,7209,10849,6809
"2021","North Tyneside","E08000022",208969,197429,131,269,568,715,764,1334,3300,1000,1333,1466,660
"2021","South Tyneside","E08000023",147776,141225,62,149,290,419,537,723,1816,525,677,873,480
"2021","Sunderland","E08000024",274173,260190,94,235,632,759,865,1128,3740,1035,1357,2010,2128
"2021","Gateshead","E08000037",196151,181578,105,221,394,555,601,1259,4210,1361,2101,2715,1051
"2021","Halton","E06000006",128477,122350,90,207,335,360,321,367,1328,529,958,1154,478
"2021","Warrington","E06000007",210974,191226,150,472,874,898,861,1384,5500,2160,2921,3122,1406
"2021","Blackburn with Darwen","E06000008",154738,126745,84,380,2525,2947,2042,3216,6495,1961,2790,3863,1690
"2021","Blackpool","E06000009",141035,129903,104,407,609,522,563,870,3143,979,1395,1560,980
