"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","North East","E12000001",2647013,2467870,1424,3641,7876,9196,9681,15726,46641,14479,21339,29978,19162
"2021","North West","E12000002",7417398,6551993,6543,20040,43209,43855,42845,73858,226747,76989,117313,142831,71175
"2021","Yorkshire and The Humber","E12000003",5480774,4858514,4300,13603,34876,34184,31806,54226,174791,57185,78464,91189,47636
"2021","East Midlands","E12000004",4880055,4210674,5119,15428,39198,40826,30249,53570,186171,63113,92430,96680,46597
"2021","West Midlands","E12000005",5950757,5048322,6488,26630,65483,53177,45108,79429,239402,76059,120792,129427,60440
"2021","East","E12000006",6335074,5390705,8598,25845,49519,49361,49897,92558,270365,84951,118229,132647,62399
"2021","London","E12000007",8799728,5223986,12294,61953,174547,201342,248576,498783,913894,308792,433789,501926,219846
"2021","South East","E12000008",9278065,7815950,17258,39382,81190,81253,79995,152062,418769,127308,173854,196623,94421
"2021","South West","E12000009",5701186,5119492,9945,20907,33707,29818,29845,49834,157362,52134,73804,83740,40598
"2021","Wales","W92000004",3107495,2892064,2569,6411,10627,11628,12296,19049,62223,18505,25023,29782,17318
