"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","North East","E12000001",2647013,2467870,95246,28767,25968,29162
"2021","North West","E12000002",7417397,6551993,462717,156393,128780,117514
"2021","Yorkshire and The Humber","E12000003",5480774,4858514,351979,110358,83111,76812
"2021","East Midlands","E12000004",4880056,4210674,374850,127507,91483,75542
"2021","West Midlands","E12000005",5950757,5048322,521707,157490,124050,99188
"2021","East","E12000006",6335074,5390705,552382,166716,121430,103841
"2021","London","E12000007",8799728,5223986,2135070,604186,463891,372595
"2021","South East","E12000008",9278065,7815950,879764,245603,180428,156320
"2021","South West","E12000009",5701186,5119492,335045,102920,76249,67480
"2021","Wales","W92000004",3107494,2892064,126129,35376,26770,27155
