"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","Darlington","E06000005",107799,99373,4749,1614,1283,780
"2021","County Durham","E06000047",522068,499175,12603,3290,2814,4186
"2021","Hartlepool","E06000001",92338,88673,2166,528,535,436
"2021","Middlesbrough","E06000002",143924,126242,7946,2907,2641,4188
"2021","Northumberland","E06000057",320567,309315,7924,1374,1119,835
"2021","Redcar and Cleveland","E06000003",136531,132550,2625,427,517,412
"2021","Stockton-on-Tees","E06000004",196595,184328,7524,1978,1548,1217
"2021","Gateshead","E08000037",196151,181578,7412,2807,2510,1844
"2021","Newcastle upon Tyne","E08000021",300125,247792,23563,9106,9133,10531
"2021","North Tyneside","E08000022",208968,197429,7158,1872,1400,1109
"2021","South Tyneside","E08000023",147776,141225,4047,955,784,765
"2021","Sunderland","E08000024",274172,260190,7528,1910,1685,2859
"2021","Blackburn with Darwen","E06000008",154738,126745,17848,3800,3393,2952
"2021","Blackpool","E06000009",141036,129903,6293,1947,1386,1507
"2021","Cheshire East","E06000049",398772,365637,17894,6333,4878,4030
"2021","Cheshire West and Chester","E06000050",357149,330940,14788,4676,3655,3090
"2021","Halton","E06000006",128476,122350,3046,1177,1040,863
"2021","Warrington","E06000007",210974,191226,10267,4174,3009,2298
"2021","Cumbria","E10000006",499846,475725,14054,4004,3259,2804
"2021","Bolton","E08000001",295963,245907,27242,8977,8102,5735
"2021","Bury","E08000002",193851,170444,13803,4031,3318,2255
"2021","Manchester","E08000003",551938,378730,83353,33277,27827,28751
"2021","Oldham","E08000004",242088,201825,23194,6718,6332,4019
"2021","Rochdale","E08000005",223773,189122,20871,5778,4499,3503
"2021","Salford","E08000006",269924,218617,22135,11949,8953,8270
"2021","Stockport","E08000007",294773,266918,18412,3957,3186,2300
"2021","Tameside","E08000008",231071,207201,14328,4277,3053,2212
"2021","Trafford","E08000009",235052,200116,22811,4855,3783,3487
"2021","Wigan","E08000010",329331,308857,10715,4148,3248,2363
"2021","Lancashire","E10000017",1235354,1123432,61691,17816,15538,16877
"2021","Knowsley","E08000011",154518,146552,3864,1740,1279,1083
"2021","Liverpool","E08000012",486088,413636,29717,15092,13078,14565
"2021","Sefton","E08000014",279233,261264,10042,3297,2594,2036
"2021","St. Helens","E08000013",183248,174056,4682,1908,1494,1108
"2021","Wirral","E08000015",320199,302789,11667,2460,1877,1406
"2021","East Riding of Yorkshire","E06000011",342215,325230,10865,2847,1829,1444
"2021","Kingston upon Hull, City of","E06000010",267014,232051,15335,8818,6044,4766
"2021","North East Lincolnshire","E06000012",156966,146658,5312,1995,1643,1358
"2021","North Lincolnshire","E06000013",169680,153709,8528,3333,2377,1733
"2021","York","E06000014",202821,180964,10476,3581,3184,4616
"2021","North Yorkshire","E10000023",615491,574950,24468,6468,4956,4649
"2021","Barnsley","E08000016",244572,228841,7058,4074,2932,1667
"2021","Doncaster","E08000017",308106,275987,15539,7414,5621,3545
"2021","Rotherham","E08000018",265806,247612,11326,3140,2185,1543
"2021","Sheffield","E08000019",556521,473313,43271,14516,11219,14202
