"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","Hartlepool","E06000001",92338,88673,3665,751,233,110,240,63,100,155,482,514,774,200,21,18,2,1,1
"2021","Middlesbrough","E06000002",143923,126242,17681,2237,821,493,1062,223,690,1087,3540,3134,3594,640,76,57,20,5,2
"2021","Redcar and Cleveland","E06000003",136531,132550,3981,1121,239,155,266,49,114,167,476,453,702,194,26,16,3,0,0
"2021","Stockton-on-Tees","E06000004",196597,184328,12269,2140,689,294,759,151,413,625,1970,2068,2606,429,51,48,21,4,1
"2021","Darlington","E06000005",107800,99373,8427,1562,401,266,501,107,230,450,1400,1268,1771,389,40,30,11,0,1
"2021","County Durham","E06000047",522070,499175,22895,4498,1070,603,1348,224,946,1872,3689,3232,4198,937,117,119,34,6,2
"2021","Northumberland","E06000057",320571,309315,11256,2915,670,372,669,121,317,500,1461,1473,2062,544,73,58,16,4,1
"2021","Newcastle upon Tyne","E08000021",300122,247792,52330,6357,2533,1532,3296,689,2058,3842,10296,8645,10743,1871,201,205,51,4,7
"2021","North Tyneside","E08000022",208966,197429,11537,2151,606,324,668,108,312,539,1742,1977,2530,459,48,57,15,1,0
"2021","South Tyneside","E08000023",147776,141225,6551,1206,351,179,450,78,190,355,975,987,1401,307,35,29,6,2,0
"2021","Sunderland","E08000024",274175,260190,13985,2129,618,339,772,179,478,984,2511,2324,3005,516,57,55,17,1,0
"2021","Gateshead","E08000037",196152,181578,14574,2306,754,423,878,171,436,853,2456,2403,3126,636,54,55,22,1,0
"2021","Halton","E06000006",128482,122350,6132,1084,313,170,335,80,165,305,1050,951,1329,306,17,21,6,0,0
"2021","Warrington","E06000007",210971,191226,19745,2734,901,480,1038,201,503,1089,3759,3501,4358,959,101,98,21,2,0
"2021","Blackburn with Darwen","E06000008",154736,126745,27991,3227,1451,1008,2209,556,1346,2370,5684,3990,4633,1157,123,184,46,5,2
"2021","Blackpool","E06000009",141033,129903,11130,1710,514,286,599,112,334,583,1953,1800,2521,582,62,62,10,2,0
"2021","Cheshire East","E06000049",398771,365637,33134,5131,1545,912,1785,308,907,1676,5490,5522,7781,1720,150,151,40,7,9
"2021","Cheshire West and Chester","E06000050",357149,330940,26209,4445,1276,732,1471,287,765,1466,4435,4301,5496,1229,133,125,46,2,0
"2021","Allerdale","E07000026",96148,93035,3113,706,159,103,138,44,66,129,465,482,601,173,18,21,6,2,0
"2021","Barrow-in-Furness","E07000027",67405,64829,2576,537,134,87,163,23,61,94,298,432,605,118,12,10,2,0,0
"2021","Carlisle","E07000028",110028,102654,7374,1245,303,177,383,89,220,411,1258,1111,1588,503,44,34,6,0,2
"2021","Copeland","E07000029",67072,65116,1956,441,100,55,118,22,72,83,264,272,389,109,17,11,3,0,0
"2021","Eden","E07000030",54738,51963,2775,528,133,73,107,17,65,162,467,425,580,180,17,14,7,0,0
"2021","South Lakeland","E07000031",104449,98125,6324,1068,284,149,327,61,175,350,1132,1053,1255,380,39,43,7,1,0
"2021","Burnley","E07000117",94646,82579,12067,1568,579,402,867,181,404,835,2211,1754,2412,692,71,65,21,1,4
"2021","Chorley","E07000118",117733,111902,5831,1144,296,183,361,72,191,320,1035,829,1069,262,24,33,9,2,1
"2021","Fylde","E07000119",81374,76530,4844,1095,268,128,299,87,127,238,742,683,861,243,33,28,10,2,0
"2021","Hyndburn","E07000120",82234,74872,7362,1041,348,213,554,120,304,652,1582,1032,1120,301,44,39,12,0,0
"2021","Lancaster","E07000121",142935,129346,13589,1985,644,352,833,154,714,1421,2334,1852,2608,574,55,44,18,1,0
"2021","Pendle","E07000122",95753,78852,16901,2126,906,601,1333,257,634,1238,3141,2185,3109,1037,151,118,50,13,2
"2021","Preston","E07000123",147835,119341,28494,3069,1257,745,1925,420,1265,2412,6136,4626,5213,1180,106,100,34,5,1
"2021","Ribble Valley","E07000124",61559,58971,2588,560,159,90,194,35,91,115,395,401,410,100,16,14,8,0,0
"2021","Rossendale","E07000125",70871,67329,3542,729,219,106,247,54,143,251,598,470,564,110,16,25,9,1,0
"2021","South Ribble","E07000126",111035,105522,5513,1142,294,168,375,73,159,330,992,770,923,232,20,24,10,0,1
"2021","West Lancashire","E07000127",117429,110440,6989,1180,351,180,351,79,243,466,1214,1046,1432,382,26,28,9,2,0
"2021","Wyre","E07000128",111944,107748,4196,984,242,151,300,70,144,185,583,564,748,167,26,22,7,1,2
"2021","Bolton","E08000001",295962,245907,50055,6476,3018,1892,4370,933,2198,3286,8398,6820,9494,2469,287,309,90,12,3
"2021","Bury","E08000002",193851,170444,23407,3444,1312,775,1697,378,895,1386,4059,3500,4526,1109,124,157,41,3,1
"2021","Manchester","E08000003",551938,378730,173208,18941,9157,5655,12408,2839,7910,11853,29498,26801,37397,8673,920,867,252,25,12
"2021","Oldham","E08000004",242089,201825,40264,5394,2614,1539,3621,712,1678,2777,6903,5376,7365,1775,224,207,62,14,3
"2021","Rochdale","E08000005",223770,189122,34648,4639,1992,1225,2882,630,1374,2261,6031,4954,6668,1578,189,172,43,7,3
"2021","Salford","E08000006",269919,218617,51302,5768,2350,1486,3403,777,1984,3492,9342,9168,10779,2239,275,186,47,5,1
"2021","Stockport","E08000007",294773,266918,27855,4206,1331,821,1727,396,1080,1584,4808,4636,5810,1060,167,159,59,8,3
"2021","Tameside","E08000008",231071,207201,23870,3194,1276,890,2053,416,1003,1419,4092,3412,4698,1144,108,122,36,2,5
"2021","Trafford","E08000009",235054,200116,34938,4870,1849,1090,2148,481,1264,1957,5905,6163,7467,1301,165,210,61,5,2
"2021","Wigan","E08000010",329331,308857,20474,2934,884,541,1242,263,682,1110,3619,3438,4584,995,85,79,14,3,1
"2021","Knowsley","E08000011",154516,146552,7964,1172,403,200,421,87,224,402,1344,1330,1932,367,34,36,8,4,0
"2021","Liverpool","E08000012",486090,413636,72454,7924,3225,1951,4230,1042,3227,4890,13387,12441,16072,3347,314,331,62,7,4
"2021","St. Helens","E08000013",183249,174056,9193,1416,378,222,513,100,286,533,1626,1544,2018,458,45,39,13,1,1
"2021","Sefton","E08000014",279232,261264,17968,2743,785,501,1138,276,603,1045,3048,2667,3870,1073,110,83,23,3,0
"2021","Wirral","E08000015",320199,302789,17410,3311,887,464,1017,218,557,828,2646,2771,3673,802,96,102,33,4,1
"2021","Kingston upon Hull, City of","E06000010",267014,232051,34963,4100,1525,1005,2172,497,1257,2220,6116,5369,7973,2342,199,145,37,3,3
"2021","East Riding of Yorkshire","E06000011",342215,325230,16985,3586,883,456,964,177,460,845,2689,2534,3267,857,125,106,31,3,2
"2021","North East Lincolnshire","E06000012",156966,146658,10308,1643,448,265,531,116,353,574,1693,1477,2481,610,66,35,13,2,1
"2021","North Lincolnshire","E06000013",169676,153709,15967,2341,673,436,919,198,491,970,2898,2540,3441,909,69,56,22,1,3
"2021","York","E06000014",202820,180964,21856,3265,996,519,1181,220,922,1799,4410,3446,4053,842,94,86,14,5,4
"2021","Craven","E07000163",56922,54295,2627,572,134,68,134,33,75,127,453,368,483,137,23,19,0,0,1
"2021","Hambleton","E07000164",90693,86235,4458,1220,292,131,243,47,119,232,583,612,733,189,20,27,7,3,0
"2021","Harrogate","E07000165",162666,148113,14553,2826,826,462,988,166,486,618,2043,2084,3074,814,83,66,14,3,0
"2021","Richmondshire","E07000166",49774,45405,4369,1126,250,132,241,42,108,458,852,448,522,124,30,33,3,0,0
"2021","Ryedale","E07000167",54707,51851,2856,569,132,90,154,43,90,147,453,382,551,207,20,12,3,3,0
"2021","Scarborough","E07000168",108735,102093,6642,1235,342,188,343,78,175,323,967,965,1513,423,46,33,11,0,0
"2021","Selby","E07000169",91987,86958,5029,969,229,134,281,69,146,306,959,764,898,230,20,24,0,0,0
"2021","Barnsley","E08000016",244572,228841,15731,2114,592,370,756,136,395,890,3044,2960,3452,873,70,60,18,0,1
"2021","Doncaster","E08000017",308108,275987,32121,4038,1288,770,1715,384,921,1877,6233,5670,7074,1802,166,149,33,1,0
"2021","Rotherham","E08000018",265808,247612,18196,2787,937,563,1289,293,699,1127,3284,2914,3469,666,72,68,25,3,0
"2021","Sheffield","E08000019",556520,473313,83207,10783,4299,2669,5738,1193,3546,6011,15576,13497,15941,3123,322,393,98,14,4
"2021","Bradford","E08000032",546412,444477,101935,13068,5227,3335,8043,1799,4499,8361,20620,14940,16949,3913,475,516,156,25,9
"2021","Calderdale","E08000033",206628,189037,17591,2949,969,493,1181,253,725,1246,3368,2562,3037,606,80,81,30,10,1
"2021","Kirklees","E08000034",433218,378708,54510,6904,2763,1716,4180,960,2624,4599,11540,8223,8662,1776,222,234,78,22,7
"2021","Leeds","E08000035",811953,683681,128272,15453,6394,3895,8705,1920,5836,9145,24540,21209,25034,4928,498,522,162,17,14
"2021","Wakefield","E08000036",353373,323296,30077,3894,1265,721,1617,381,947,1900,6024,5192,6171,1631,136,149,44,5,0
"2021","Derby","E06000015",261364,210170,51194,6225,2637,1693,3970,847,2166,3551,9395,7623,10112,2292,253,310,96,18,6
"2021","Leicester","E06000016",368568,217078,151490,13725,7521,5131,12663,2744,6774,10209,27079,21524,31941,9552,1190,1137,265,28,7
"2021","Rutland","E06000017",41050,37658,3392,807,209,132,318,55,113,153,491,429,468,167,21,22,6,0,1
"2021","Nottingham","E06000018",323632,244133,79499,8810,3987,2565,5912,1154,3501,5893,14541,12607,16180,3640,296,300,97,13,3
"2021","North Northamptonshire","E06000061",359523,303952,55571,6424,2326,1420,3171,646,1689,3656,10888,9293,12229,3180,283,270,80,15,1
