"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","North East","E12000001",2647014,2467870,179144,29373,8983,5087,10907,2163,6285,11431,31000,28478,36511,7118,797,751,216,30,14
"2021","North West","E12000002",7417396,6551993,865403,115914,44135,26806,59183,12958,34060,56001,151929,135066,177960,41092,4461,4378,1241,153,66
"2021","Yorkshire and The Humber","E12000003",5480775,4858514,622261,85443,30461,18423,41376,9007,24877,43771,118347,98156,118779,27003,2834,2814,801,118,51
"2021","East Midlands","E12000004",4880052,4210674,669378,84604,32322,20179,46673,9711,25782,44523,122746,101995,136260,35949,3789,3667,997,144,37
"2021","West Midlands","E12000005",5950760,5048322,902438,109696,46256,28986,68107,14711,38119,63083,166418,140469,174853,40195,4595,5146,1486,227,91
"2021","East","E12000006",6335075,5390705,944370,116122,41596,24691,55653,12269,34411,61278,182896,162860,196850,44396,4865,4770,1449,199,65
"2021","London","E12000007",8799728,5223986,3575742,292404,133658,87182,215233,52306,145004,231603,713819,677608,797472,178316,21306,22327,6429,828,247
"2021","South East","E12000008",9278068,7815950,1462118,190324,63902,39011,86779,18720,51074,87880,266502,248246,311608,74681,9624,10461,2801,393,112
"2021","South West","E12000009",5701186,5119492,581694,96219,27915,16333,34956,7043,20390,35285,97879,89467,117810,30240,3594,3451,926,124,62
"2021","Wales","W92000004",3107494,2892064,215430,34270,10702,6191,13434,2861,7968,13742,37167,32816,43479,10085,1142,1164,339,43,27
