"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","Darlington","E06000005",107800,99373,8427,1562,401,266,501,107,230,450,1400,1268,1771,389,40,30,11,0,1
"2021","County Durham","E06000047",522070,499175,22895,4498,1070,603,1348,224,946,1872,3689,3232,4198,937,117,119,34,6,2
"2021","Hartlepool","E06000001",92338,88673,3665,751,233,110,240,63,100,155,482,514,774,200,21,18,2,1,1
"2021","Middlesbrough","E06000002",143923,126242,17681,2237,821,493,1062,223,690,1087,3540,3134,3594,640,76,57,20,5,2
"2021","Northumberland","E06000057",320571,309315,11256,2915,670,372,669,121,317,500,1461,1473,2062,544,73,58,16,4,1
"2021","Redcar and Cleveland","E06000003",136531,132550,3981,1121,239,155,266,49,114,167,476,453,702,194,26,16,3,0,0
"2021","Stockton-on-Tees","E06000004",196597,184328,12269,2140,689,294,759,151,413,625,1970,2068,2606,429,51,48,21,4,1
"2021","Gateshead","E08000037",196152,181578,14574,2306,754,423,878,171,436,853,2456,2403,3126,636,54,55,22,1,0
"2021","Newcastle upon Tyne","E08000021",300122,247792,52330,6357,2533,1532,3296,689,2058,3842,10296,8645,10743,1871,201,205,51,4,7
"2021","North Tyneside","E08000022",208966,197429,11537,2151,606,324,668,108,312,539,1742,1977,2530,459,48,57,15,1,0
"2021","South Tyneside","E08000023",147776,141225,6551,1206,351,179,450,78,190,355,975,987,1401,307,35,29,6,2,0
"2021","Sunderland","E08000024",274175,260190,13985,2129,618,339,772,179,478,984,2511,2324,3005,516,57,55,17,1,0
"2021","Blackburn with Darwen","E06000008",154736,126745,27991,3227,1451,1008,2209,556,1346,2370,5684,3990,4633,1157,123,184,46,5,2
"2021","Blackpool","E06000009",141033,129903,11130,1710,514,286,599,112,334,583,1953,1800,2521,582,62,62,10,2,0
"2021","Cheshire East","E06000049",398771,365637,33134,5131,1545,912,1785,308,907,1676,5490,5522,7781,1720,150,151,40,7,9
"2021","Cheshire West and Chester","E06000050",357149,330940,26209,4445,1276,732,1471,287,765,1466,4435,4301,5496,1229,133,125,46,2,0
"2021","Halton","E06000006",128482,122350,6132,1084,313,170,335,80,165,305,1050,951,1329,306,17,21,6,0,0
"2021","Warrington","E06000007",210971,191226,19745,2734,901,480,1038,201,503,1089,3759,3501,4358,959,101,98,21,2,0
"2021","Cumbria","E10000006",499846,475725,24121,4525,1111,642,1237,257,660,1231,3885,3774,5018,1465,147,132,31,3,3
"2021","Bolton","E08000001",295962,245907,50055,6476,3018,1892,4370,933,2198,3286,8398,6820,9494,2469,287,309,90,12,3
"2021","Bury","E08000002",193851,170444,23407,3444,1312,775,1697,378,895,1386,4059,3500,4526,1109,124,157,41,3,1
"2021","Manchester","E08000003",551938,378730,173208,18941,9157,5655,12408,2839,7910,11853,29498,26801,37397,8673,920,867,252,25,12
"2021","Oldham","E08000004",242089,201825,40264,5394,2614,1539,3621,712,1678,2777,6903,5376,7365,1775,224,207,62,14,3
"2021","Rochdale","E08000005",223770,189122,34648,4639,1992,1225,2882,630,1374,2261,6031,4954,6668,1578,189,172,43,7,3
"2021","Salford","E08000006",269919,218617,51302,5768,2350,1486,3403,777,1984,3492,9342,9168,10779,2239,275,186,47,5,1
"2021","Stockport","E08000007",294773,266918,27855,4206,1331,821,1727,396,1080,1584,4808,4636,5810,1060,167,159,59,8,3
"2021","Tameside","E08000008",231071,207201,23870,3194,1276,890,2053,416,1003,1419,4092,3412,4698,1144,108,122,36,2,5
"2021","Trafford","E08000009",235054,200116,34938,4870,1849,1090,2148,481,1264,1957,5905,6163,7467,1301,165,210,61,5,2
"2021","Wigan","E08000010",329331,308857,20474,2934,884,541,1242,263,682,1110,3619,3438,4584,995,85,79,14,3,1
"2021","Lancashire","E10000017",1235354,1123432,111922,16623,5564,3320,7639,1605,4417,8461,20963,16211,20472,5282,586,543,196,28,12
"2021","Knowsley","E08000011",154516,146552,7964,1172,403,200,421,87,224,402,1344,1330,1932,367,34,36,8,4,0
"2021","Liverpool","E08000012",486090,413636,72454,7924,3225,1951,4230,1042,3227,4890,13387,12441,16072,3347,314,331,62,7,4
"2021","Sefton","E08000014",279232,261264,17968,2743,785,501,1138,276,603,1045,3048,2667,3870,1073,110,83,23,3,0
"2021","St. Helens","E08000013",183249,174056,9193,1416,378,222,513,100,286,533,1626,1544,2018,458,45,39,13,1,1
"2021","Wirral","E08000015",320199,302789,17410,3311,887,464,1017,218,557,828,2646,2771,3673,802,96,102,33,4,1
"2021","East Riding of Yorkshire","E06000011",342215,325230,16985,3586,883,456,964,177,460,845,2689,2534,3267,857,125,106,31,3,2
"2021","Kingston upon Hull, City of","E06000010",267014,232051,34963,4100,1525,1005,2172,497,1257,2220,6116,5369,7973,2342,199,145,37,3,3
