"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","Darlington","E06000005",71,40,31
"2021","County Durham","E06000047",1107,699,408
"2021","Hartlepool","E06000001",26,9,17
"2021","Middlesbrough","E06000002",295,130,165
"2021","Northumberland","E06000057",103,55,48
"2021","Redcar and Cleveland","E06000003",35,15,20
"2021","Stockton-on-Tees","E06000004",186,79,107
"2021","Gateshead","E08000037",177,94,83
"2021","Newcastle upon Tyne","E08000021",1753,927,826
"2021","North Tyneside","E08000022",88,50,38
"2021","South Tyneside","E08000023",161,47,114
"2021","Sunderland","E08000024",329,151,178
"2021","Blackburn with Darwen","E06000008",264,132,132
"2021","Blackpool","E06000009",94,44,50
"2021","Cheshire East","E06000049",332,172,160
"2021","Cheshire West and Chester","E06000050",329,174,155
"2021","Halton","E06000006",127,24,103
"2021","Warrington","E06000007",185,93,92
"2021","Cumbria","E10000006",272,154,118
"2021","Bolton","E08000001",594,292,302
"2021","Bury","E08000002",179,89,90
"2021","Manchester","E08000003",5238,3030,2208
"2021","Oldham","E08000004",424,221,203
"2021","Rochdale","E08000005",368,185,183
"2021","Salford","E08000006",647,322,325
"2021","Stockport","E08000007",208,108,100
"2021","Tameside","E08000008",198,95,103
"2021","Trafford","E08000009",314,163,151
"2021","Wigan","E08000010",154,90,64
"2021","Lancashire","E10000017",2370,1231,1139
"2021","Knowsley","E08000011",73,31,42
"2021","Liverpool","E08000012",2202,1076,1126
"2021","Sefton","E08000014",190,96,94
"2021","St. Helens","E08000013",87,52,35
"2021","Wirral","E08000015",143,91,52
"2021","East Riding of Yorkshire","E06000011",157,79,78
"2021","Kingston upon Hull, City of","E06000010",531,233,298
"2021","North East Lincolnshire","E06000012",111,53,58
"2021","North Lincolnshire","E06000013",144,57,87
"2021","York","E06000014",1297,792,505
"2021","North Yorkshire","E10000023",531,272,259
"2021","Barnsley","E08000016",141,68,73
"2021","Doncaster","E08000017",306,163,143
"2021","Rotherham","E08000018",135,73,62
"2021","Sheffield","E08000019",3133,1813,1320
"2021","Bradford","E08000032",797,374,423
"2021","Calderdale","E08000033",88,45,43
"2021","Kirklees","E08000034",644,294,350
"2021","Leeds","E08000035",3079,1838,1241
"2021","Wakefield","E08000036",302,127,175
"2021","Derby","E06000015",547,274,273
"2021","Leicester","E06000016",2160,1150,1010
"2021","Nottingham","E06000018",2089,1143,946
"2021","Rutland","E06000017",99,45,54
"2021","Derbyshire","E10000007",283,164,119
"2021","Leicestershire","E10000018",983,507,476
"2021","Lincolnshire","E10000019",828,429,399
"2021","Nottinghamshire","E10000024",581,319,262
"2021","North Northamptonshire","E06000061",427,219,208
"2021","West Northamptonshire","E06000062",753,406,347
"2021","Herefordshire, County of","E06000019",217,103,114
"2021","Shropshire","E06000051",475,242,233
"2021","Stoke-on-Trent","E06000021",371,168,203
"2021","Telford and Wrekin","E06000020",252,129,123
"2021","Staffordshire","E10000028",477,241,236
"2021","Warwickshire","E10000031",1294,715,579
"2021","Birmingham","E08000025",4108,2293,1815
"2021","Coventry","E08000026",3262,1900,1362
"2021","Dudley","E08000027",217,119,98
"2021","Sandwell","E08000028",916,454,462
"2021","Solihull","E08000029",151,85,66
"2021","Walsall","E08000030",414,217,197
"2021","Wolverhampton","E08000031",903,491,412
"2021","Worcestershire","E10000034",803,408,395
"2021","Bedford","E06000055",324,151,173
"2021","Central Bedfordshire","E06000056",506,221,285
"2021","Luton","E06000032",1050,509,541
"2021","Peterborough","E06000031",380,213,167
"2021","Southend-on-Sea","E06000033",152,81,71
"2021","Thurrock","E06000034",236,134,102
"2021","Cambridgeshire","E10000003",2570,1348,1222
"2021","Essex","E10000012",1554,872,682
"2021","Hertfordshire","E10000015",1799,1048,751
"2021","Norfolk","E10000020",1216,681,535
"2021","Suffolk","E10000029",805,393,412
"2021","Camden","E09000007",2877,1733,1144
"2021","City of London","E09000001",163,83,80
"2021","Hackney","E09000012",763,453,310
"2021","Hammersmith and Fulham","E09000013",1239,696,543
"2021","Haringey","E09000014",848,476,372
"2021","Islington","E09000019",1771,1100,671
"2021","Kensington and Chelsea","E09000020",1875,977,898
"2021","Lambeth","E09000022",1638,1060,578
"2021","Lewisham","E09000023",678,421,257
"2021","Newham","E09000025",2637,1247,1390
"2021","Southwark","E09000028",1825,1102,723
"2021","Tower Hamlets","E09000030",2692,1485,1207
"2021","Wandsworth","E09000032",1159,678,481
"2021","Westminster","E09000033",2920,1634,1286
"2021","Barking and Dagenham","E09000002",635,342,293
"2021","Barnet","E09000003",1502,866,636
"2021","Bexley","E09000004",286,180,106
"2021","Brent","E09000005",1617,851,766
"2021","Bromley","E09000006",440,275,165
"2021","Croydon","E09000008",828,427,401
"2021","Ealing","E09000009",1653,890,763
"2021","Enfield","E09000010",760,408,352
"2021","Greenwich","E09000011",796,484,312
"2021","Harrow","E09000015",1029,481,548
"2021","Havering","E09000016",289,173,116
"2021","Hillingdon","E09000017",1195,582,613
"2021","Hounslow","E09000018",1137,609,528
"2021","Kingston upon Thames","E09000021",780,463,317
"2021","Merton","E09000024",571,329,242
"2021","Redbridge","E09000026",1147,579,568
"2021","Richmond upon Thames","E09000027",452,269,183
"2021","Sutton","E09000029",331,198,133
"2021","Waltham Forest","E09000031",669,335,334
"2021","Bracknell Forest","E06000036",224,98,126
"2021","Brighton and Hove","E06000043",1519,816,703
"2021","Isle of Wight","E06000046",77,39,38
"2021","Medway","E06000035",389,219,170
"2021","Milton Keynes","E06000042",565,342,223
"2021","Portsmouth","E06000044",631,299,332
"2021","Reading","E06000038",986,498,488
"2021","Slough","E06000039",583,301,282
"2021","Southampton","E06000045",1926,1065,861
"2021","West Berkshire","E06000037",196,110,86
"2021","Windsor and Maidenhead","E06000040",320,166,154
"2021","Wokingham","E06000041",383,223,160
"2021","Buckinghamshire","E06000060",669,442,227
"2021","East Sussex","E10000011",495,289,206
"2021","Hampshire","E10000014",1386,795,591
"2021","Kent","E10000016",2143,1190,953
"2021","Oxfordshire","E10000025",3237,1760,1477
"2021","Surrey","E10000030",2805,1588,1217
"2021","West Sussex","E10000032",1175,666,509
"2021","Bath and North East Somerset","E06000022",803,462,341
"2021","Bristol, City of","E06000023",2460,1496,964
"2021","Cornwall","E06000052",394,200,194
"2021","Isles of Scilly","E06000053",9,4,5
"2021","North Somerset","E06000024",182,112,70
"2021","Plymouth","E06000026",307,155,152
"2021","Bournemouth, Christchurch and Poole","E06000058",745,381,364
"2021","South Gloucestershire","E06000025",518,243,275
"2021","Swindon","E06000030",320,193,127
"2021","Torbay","E06000027",133,82,51
"2021","Wiltshire","E06000054",429,256,173
"2021","Devon","E10000008",1636,864,772
"2021","Dorset","E06000059",279,157,122
"2021","Gloucestershire","E10000013",656,385,271
"2021","Somerset","E10000027",708,332,376
"2021","Isle of Anglesey","W06000001",19,12,7
"2021","Gwynedd","W06000002",269,132,137
"2021","Conwy","W06000003",42,22,20
"2021","Denbighshire","W06000004",63,39,24
"2021","Flintshire","W06000005",42,29,13
"2021","Wrexham","W06000006",89,38,51
"2021","Powys","W06000023",35,22,13
"2021","Ceredigion","W06000008",157,92,65
"2021","Pembrokeshire","W06000009",39,19,20
"2021","Carmarthenshire","W06000010",83,40,43
"2021","Swansea","W06000011",460,233,227
"2021","Neath Port Talbot","W06000012",53,17,36
