date,geography,geography code,Residence type: Total; measures: Value,Residence type: Lives in a household; measures: Value,Residence type: Lives in a communal establishment; measures: Value
2021,Bolton 001A,E01004768,1593,1593,0
2021,Bolton 001B,E01004803,1620,1620,0
2021,Bolton 001C,E01004804,1468,1467,1
2021,Bolton 001D,E01004807,1377,1377,0
2021,Bolton 001E,E01004808,1618,1618,0
2021,Bolton 002A,E01004788,1359,1359,0
2021,Bolton 002B,E01004790,1418,1418,0
2021,Bolton 002C,E01004805,1566,1566,0
2021,Bolton 002D,E01004806,1517,1517,0
2021,Bolton 002E,E01004810,1557,1557,0
2021,Bolton 003A,E01004769,1503,1503,0
2021,Bolton 003B,E01004770,1521,1521,0
2021,Bolton 003C,E01004771,1685,1685,0
2021,Bolton 003D,E01004773,1965,1928,37
2021,Bolton 003E,E01004809,1723,1721,2
2021,Bolton 004A,E01004777,1723,1675,48
2021,Bolton 004B,E01004881,1482,1424,58
2021,Bolton 004C,E01004888,1281,1281,0
2021,Bolton 004D,E01004889,1432,1431,1
2021,Bolton 004E,E01004890,1381,1381,0
2021,Bolton 005A,E01004766,1658,1658,0
2021,Bolton 005B,E01004767,1890,1861,29
2021,Bolton 005C,E01004772,1846,1846,0
2021,Bolton 005D,E01004774,1765,1738,27
2021,Bolton 005E,E01004824,1884,1835,49
2021,Bolton 006A,E01004784,1194,1194,0
2021,Bolton 006B,E01004785,1523,1523,0
2021,Bolton 006C,E01004786,1450,1450,0
2021,Bolton 006D,E01004789,1453,1453,0
2021,Bolton 006E,E01004791,1323,1323,0
2021,Bolton 006F,E01004792,1409,1409,0
2021,Bolton 007A,E01004779,1632,1626,6
2021,Bolton 007B,E01004781,2133,2132,1
2021,Bolton 007C,E01004882,1349,1349,0
2021,Bolton 007D,E01004883,1760,1760,0
2021,Bolton 007E,E01004884,1476,1476,0
2021,Bolton 008A,E01004864,1464,1464,0
2021,Bolton 008B,E01004867,1551,1551,0
2021,Bolton 008C,E01004921,1633,1632,1
2021,Bolton 008D,E01004924,1571,1571,0
2021,Bolton 008E,E01004925,1592,1576,16
2021,Bolton 009A,E01004778,1190,1169,21
2021,Bolton 009B,E01004780,2288,2270,18
2021,Bolton 009C,E01004782,1348,1348,0
2021,Bolton 009D,E01004783,1477,1477,0
2021,Bolton 010A,E01004802,1973,1973,0
2021,Bolton 010B,E01004926,1432,1432,0
2021,Bolton 010C,E01004927,2301,2301,0
2021,Bolton 010D,E01004929,2728,2728,0
2021,Bolton 011A,E01004820,1790,1790,0
2021,Bolton 011B,E01004825,1971,1971,0
2021,Bolton 011C,E01004826,1667,1667,0
2021,Bolton 011D,E01004865,1581,1581,0
2021,Bolton 011E,E01004866,2038,2038,0
2021,Bolton 012A,E01004840,1736,1703,33
2021,Bolton 012B,E01004841,1746,1746,0
2021,Bolton 012C,E01004842,1713,1713,0
2021,Bolton 012D,E01004919,1509,1501,8
2021,Bolton 012E,E01004920,1642,1617,25
2021,Bolton 013A,E01004787,1708,1708,0
2021,Bolton 013B,E01004793,1747,1673,74
2021,Bolton 013C,E01004794,2122,2110,12
2021,Bolton 013D,E01004795,1504,1444,60
2021,Bolton 013E,E01004797,1492,1492,0
2021,Bolton 014A,E01004775,2326,2246,80
2021,Bolton 014B,E01004885,1425,1425,0
2021,Bolton 014C,E01004886,1397,1369,28
2021,Bolton 014D,E01004887,1329,1327,2
2021,Bolton 015A,E01004868,2163,2163,0
2021,Bolton 015B,E01004869,2188,2188,0
2021,Bolton 015C,E01004870,2015,1949,66
2021,Bolton 015D,E01004871,1815,1815,0
2021,Bolton 015E,E01004922,2254,2254,0
2021,Bolton 016B,E01004822,1851,1827,24
2021,Bolton 016C,E01004823,2047,2022,25
2021,Bolton 016D,E01004848,2090,1695,395
2021,Bolton 016E,E01033217,1227,1174,53
2021,Bolton 016F,E01033220,1314,1312,2
2021,Bolton 017A,E01004818,1722,1596,126
2021,Bolton 017B,E01004819,1518,1458,60
2021,Bolton 017C,E01004928,1378,1375,3
2021,Bolton 017D,E01004930,1514,1514,0
2021,Bolton 017E,E01004931,1564,1564,0
2021,Bolton 017F,E01004932,1482,1482,0
2021,Bolton 018A,E01004834,1745,1645,100
2021,Bolton 018B,E01004838,2010,1946,64
2021,Bolton 018C,E01004843,1558,1537,21
2021,Bolton 018D,E01004845,1872,1867,5
2021,Bolton 018E,E01004923,1675,1667,8
2021,Bolton 019A,E01004796,1576,1576,0
2021,Bolton 019B,E01004798,1613,1613,0
2021,Bolton 019C,E01004799,1273,1273,0
2021,Bolton 019D,E01004800,1294,1294,0
2021,Bolton 019E,E01004801,1674,1674,0
2021,Bolton 019F,E01004917,2298,2298,0
2021,Bolton 020A,E01004835,1461,1461,0
2021,Bolton 020B,E01004836,1744,1711,33
2021,Bolton 020C,E01004837,1561,1561,0
2021,Bolton 020D,E01004844,1573,1573,0
2021,Bolton 020E,E01004897,1013,1013,0
2021,Bolton 021A,E01004827,1990,1989,1
2021,Bolton 021B,E01004849,1794,1794,0
2021,Bolton 021C,E01004850,2293,2293,0
2021,Bolton 021D,E01004851,1691,1691,0
2021,Bolton 021E,E01004853,1575,1575,0
2021,Bolton 022A,E01004811,1845,1843,2
2021,Bolton 022B,E01004812,2402,2387,15
2021,Bolton 022C,E01004813,1746,1676,70
2021,Bolton 022D,E01004815,1786,1786,0
2021,Bolton 022E,E01004817,2064,1971,93
2021,Bolton 023A,E01004828,2017,2017,0
2021,Bolton 023B,E01004829,1458,1450,8
2021,Bolton 023C,E01004832,1641,1641,0
2021,Bolton 023D,E01004854,1658,1630,28
2021,Bolton 023E,E01004878,1697,1697,0
2021,Bolton 024A,E01004911,1539,1539,0
2021,Bolton 024B,E01004912,1435,1435,0
2021,Bolton 024C,E01004913,1955,1955,0
2021,Bolton 024D,E01004914,1170,1170,0
2021,Bolton 024E,E01004915,1274,1259,15
2021,Bolton 024F,E01004916,1467,1467,0
2021,Bolton 024G,E01004918,1225,1225,0
2021,Bolton 025A,E01004846,1410,1404,6
2021,Bolton 025B,E01004847,2282,2212,70
2021,Bolton 025C,E01004852,1732,1732,0
2021,Bolton 025D,E01004877,2074,2074,0
2021,Bolton 025E,E01004879,1657,1657,0
2021,Bolton 026A,E01004830,1754,1754,0
2021,Bolton 026B,E01004831,1827,1827,0
2021,Bolton 026C,E01004833,1530,1530,0
2021,Bolton 026D,E01004839,2370,2366,4
2021,Bolton 027A,E01004814,1604,1604,0
2021,Bolton 027B,E01004855,1481,1481,0
2021,Bolton 027C,E01004856,1537,1537,0
2021,Bolton 027D,E01004857,1902,1846,56
2021,Bolton 028A,E01004891,1540,1540,0
2021,Bolton 028B,E01004893,1525,1525,0
2021,Bolton 028C,E01004894,1925,1925,0
2021,Bolton 028E,E01004901,1764,1764,0
2021,Bolton 028F,E01033218,1574,1574,0
2021,Bolton 028G,E01033219,1421,1421,0
2021,Bolton 029A,E01004816,2939,2939,0
2021,Bolton 029B,E01004872,1694,1690,4
2021,Bolton 029C,E01004873,2021,2021,0
2021,Bolton 029D,E01004875,1669,1669,0
2021,Bolton 029E,E01004880,1479,1479,0
2021,Bolton 030A,E01004892,1580,1580,0
2021,Bolton 030B,E01004896,1315,1279,36
2021,Bolton 030C,E01004899,1596,1596,0
2021,Bolton 030D,E01004900,1615,1612,3
2021,Bolton 031A,E01004776,1822,1822,0
2021,Bolton 031B,E01004895,1326,1326,0
2021,Bolton 031C,E01004936,2170,2131,39
2021,Bolton 031D,E01004938,1548,1547,1
2021,Bolton 031E,E01004939,1599,1599,0
2021,Bolton 032A,E01004858,1586,1565,21
2021,Bolton 032B,E01004859,1506,1399,107
2021,Bolton 032C,E01004860,1470,1470,0
2021,Bolton 032D,E01004902,1847,1847,0
2021,Bolton 032E,E01004906,1795,1746,49
2021,Bolton 033A,E01004861,1962,1962,0
2021,Bolton 033B,E01004862,1436,1436,0
2021,Bolton 033C,E01004863,1586,1586,0
2021,Bolton 033D,E01004874,1755,1754,1
2021,Bolton 033E,E01004876,1967,1967,0
