date,geography,geography code,Residence type: Total; measures: Value,Residence type: Lives in a household; measures: Value,Residence type: Lives in a communal establishment; measures: Value
2021,Bolton,E08000001,295963,293703,2260
2021,Bury,E08000002,193851,192043,1808
2021,Manchester,E08000003,551938,530136,21802
2021,Oldham,E08000004,242088,240652,1436
2021,Rochdale,E08000005,223773,221889,1884
2021,Salford,E08000006,269923,264237,5686
2021,Stockport,E08000007,294773,292555,2218
2021,Tameside,E08000008,231071,229686,1385
2021,Trafford,E08000009,235052,233668,1384
2021,Wigan,E08000010,329330,326849,2481
2021,Birmingham,E08000025,1144919,1117851,27068
2021,Coventry,E08000026,345325,332606,12719
2021,Dudley,E08000027,323486,321496,1990
2021,Sandwell,E08000028,341832,339791,2041
2021,Solihull,E08000029,216240,214970,1270
2021,Walsall,E08000030,284124,282392,1732
2021,Wolverhampton,E08000031,263727,260321,3406
