date,geography,geography code,Residence type: Total; measures: Value,Residence type: Lives in a household; measures: Value,Residence type: Lives in a communal establishment; measures: Value
2021,Bolton 001,E02000984,7678,7677,1
2021,Bolton 002,E02000985,7417,7417,0
2021,Bolton 003,E02000986,8397,8358,39
2021,Bolton 004,E02000987,7300,7193,107
2021,Bolton 005,E02000988,9045,8940,105
2021,Bolton 006,E02000989,8350,8350,0
2021,Bolton 007,E02000990,8352,8345,7
2021,Bolton 008,E02000991,7811,7794,17
2021,Bolton 009,E02000992,6303,6264,39
2021,Bolton 010,E02000993,8434,8434,0
2021,Bolton 011,E02000994,9047,9047,0
2021,Bolton 012,E02000995,8347,8281,66
2021,Bolton 013,E02000996,8575,8427,148
2021,Bolton 014,E02000997,6478,6367,111
2021,Bolton 015,E02000998,10433,10367,66
2021,Bolton 016,E02000999,8530,8031,499
2021,Bolton 017,E02001000,9178,8989,189
2021,Bolton 018,E02001001,8860,8662,198
2021,Bolton 019,E02001002,9728,9728,0
2021,Bolton 020,E02001003,7352,7319,33
2021,Bolton 021,E02001004,9343,9342,1
2021,Bolton 022,E02001005,9845,9665,180
2021,Bolton 023,E02001006,8470,8435,35
2021,Bolton 024,E02001007,10065,10050,15
2021,Bolton 025,E02001008,9156,9079,77
2021,Bolton 026,E02001009,7481,7477,4
2021,Bolton 027,E02001010,6524,6468,56
2021,Bolton 028,E02001011,9747,9747,0
2021,Bolton 029,E02001012,9802,9798,4
2021,Bolton 030,E02001013,6106,6067,39
2021,Bolton 031,E02001014,8465,8425,40
2021,Bolton 032,E02001015,8204,8027,177
2021,Bolton 033,E02001016,8706,8705,1
2021,Bolton 034,E02001017,10773,10767,6
2021,Bolton 035,E02001018,7662,7662,0
2021,Bury 001,E02001019,9040,8857,183
2021,Bury 002,E02001020,5917,5892,25
2021,Bury 003,E02001021,7506,7352,154
2021,Bury 004,E02001022,8071,7905,166
2021,Bury 005,E02001023,5695,5682,13
2021,Bury 006,E02001024,8058,8005,53
2021,Bury 007,E02001025,8152,8073,79
2021,Bury 008,E02001026,11350,11269,81
2021,Bury 009,E02001027,7282,7112,170
2021,Bury 010,E02001028,7333,7295,38
2021,Bury 011,E02001029,7779,7709,70
2021,Bury 012,E02001030,6180,6156,24
2021,Bury 013,E02001031,6877,6875,2
2021,Bury 014,E02001032,7675,7588,87
2021,Bury 015,E02001033,6180,6176,4
