date,geography,geography code,Marital and civil partnership status: Total; measures: Value,Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value
2021,Bolton 001A,E01004768,1329,356,814,805,805,0,9,2,7,16,16,0,86,86,0,57,57,0
2021,Bolton 001B,E01004803,1347,385,729,725,720,5,4,2,2,25,25,0,120,119,1,88,88,0
2021,Bolton 001C,E01004804,1216,299,722,718,714,4,4,0,4,21,21,0,85,85,0,89,89,0
2021,Bolton 001D,E01004807,1132,392,594,594,594,0,0,0,0,24,24,0,85,85,0,37,37,0
2021,Bolton 001E,E01004808,1354,376,749,747,744,3,2,0,2,26,26,0,116,115,1,87,87,0
2021,Bolton 002A,E01004788,1180,259,702,702,700,2,0,0,0,22,22,0,93,93,0,104,104,0
2021,Bolton 002B,E01004790,1166,374,550,550,545,5,0,0,0,25,24,1,131,130,1,86,86,0
2021,Bolton 002C,E01004805,1324,333,777,771,771,0,6,2,4,17,17,0,111,111,0,86,86,0
2021,Bolton 002D,E01004806,1259,357,669,669,663,6,0,0,0,15,15,0,106,106,0,112,112,0
2021,Bolton 002E,E01004810,1284,354,723,720,718,2,3,0,3,22,22,0,97,97,0,88,88,0
2021,Bolton 003A,E01004769,1270,406,625,625,624,1,0,0,0,28,28,0,125,125,0,86,86,0
2021,Bolton 003B,E01004770,1220,311,689,685,682,3,4,4,0,21,21,0,93,92,1,106,106,0
2021,Bolton 003C,E01004771,1320,342,796,794,794,0,2,0,2,19,19,0,83,83,0,80,80,0
2021,Bolton 003D,E01004773,1608,592,708,706,698,8,2,0,2,34,34,0,156,156,0,118,117,1
2021,Bolton 003E,E01004809,1457,566,509,507,507,0,2,0,2,46,45,1,228,228,0,108,108,0
2021,Bolton 004A,E01004777,1414,578,514,510,500,10,4,0,4,36,36,0,161,161,0,125,123,2
2021,Bolton 004B,E01004881,1254,519,358,357,355,2,1,0,1,43,42,1,198,197,1,136,136,0
2021,Bolton 004C,E01004888,1102,397,511,510,504,6,1,0,1,21,21,0,121,121,0,52,52,0
2021,Bolton 004D,E01004889,1179,465,463,463,461,2,0,0,0,25,25,0,147,147,0,79,79,0
2021,Bolton 004E,E01004890,1180,453,458,458,458,0,0,0,0,31,30,1,150,150,0,88,88,0
2021,Bolton 005A,E01004766,1361,484,542,540,538,2,2,2,0,46,46,0,129,129,0,160,160,0
2021,Bolton 005B,E01004767,1562,592,684,682,677,5,2,0,2,43,43,0,134,134,0,109,109,0
2021,Bolton 005C,E01004772,1384,650,498,492,492,0,6,0,6,31,31,0,144,144,0,61,61,0
2021,Bolton 005D,E01004774,1404,602,534,534,527,7,0,0,0,26,26,0,147,145,2,95,95,0
2021,Bolton 005E,E01004824,1431,462,829,827,824,3,2,0,2,18,17,1,63,63,0,59,59,0
2021,Bolton 006A,E01004784,1014,233,621,621,620,1,0,0,0,13,13,0,65,65,0,82,82,0
2021,Bolton 006B,E01004785,1234,428,542,542,535,7,0,0,0,29,29,0,128,128,0,107,106,1
2021,Bolton 006C,E01004786,1254,362,621,621,621,0,0,0,0,17,16,1,124,124,0,130,130,0
2021,Bolton 006D,E01004789,1217,293,730,726,720,6,4,0,4,18,17,1,87,87,0,89,89,0
2021,Bolton 006E,E01004791,1138,351,492,492,490,2,0,0,0,25,25,0,144,143,1,126,126,0
2021,Bolton 006F,E01004792,1215,253,750,750,746,4,0,0,0,18,18,0,83,83,0,111,111,0
2021,Bolton 007A,E01004779,1277,511,576,576,572,4,0,0,0,34,34,0,106,106,0,50,50,0
2021,Bolton 007B,E01004781,1737,668,791,791,784,7,0,0,0,34,34,0,161,161,0,83,83,0
2021,Bolton 007C,E01004882,1146,418,471,471,468,3,0,0,0,29,29,0,141,141,0,87,87,0
2021,Bolton 007D,E01004883,1447,545,660,660,655,5,0,0,0,35,35,0,137,137,0,70,70,0
2021,Bolton 007E,E01004884,1314,293,789,785,785,0,4,0,4,22,22,0,95,95,0,115,115,0
2021,Bolton 008A,E01004864,1217,477,509,509,505,4,0,0,0,30,30,0,125,125,0,76,76,0
2021,Bolton 008B,E01004867,1138,428,535,534,534,0,1,0,1,24,24,0,100,100,0,51,51,0
2021,Bolton 008C,E01004921,1307,461,579,579,576,3,0,0,0,40,40,0,136,136,0,91,91,0
2021,Bolton 008D,E01004924,1272,343,759,753,749,4,6,0,6,17,17,0,80,80,0,73,73,0
2021,Bolton 008E,E01004925,1290,409,669,667,665,2,2,2,0,22,22,0,98,98,0,92,92,0
2021,Bolton 009A,E01004778,1029,287,519,519,515,4,0,0,0,23,23,0,83,83,0,117,117,0
2021,Bolton 009B,E01004780,1852,625,884,880,877,3,4,0,4,36,36,0,185,185,0,122,122,0
2021,Bolton 009C,E01004782,1064,407,455,451,449,2,4,2,2,23,23,0,105,104,1,74,74,0
2021,Bolton 009D,E01004783,1254,366,637,636,636,0,1,0,1,21,21,0,139,138,1,91,91,0
2021,Bolton 010A,E01004802,1415,653,475,474,471,3,1,0,1,40,39,1,186,186,0,61,61,0
2021,Bolton 010B,E01004926,1053,546,335,335,335,0,0,0,0,20,20,0,95,95,0,57,57,0
2021,Bolton 010C,E01004927,1730,849,499,497,493,4,2,2,0,51,51,0,237,237,0,94,94,0
2021,Bolton 010D,E01004929,2044,951,731,725,722,3,6,6,0,58,58,0,203,203,0,101,101,0
2021,Bolton 011A,E01004820,1255,506,556,555,553,2,1,0,1,33,33,0,105,105,0,55,55,0
2021,Bolton 011B,E01004825,1437,440,852,852,850,2,0,0,0,24,22,2,70,70,0,51,51,0
2021,Bolton 011C,E01004826,1165,463,506,502,502,0,4,2,2,40,40,0,89,89,0,67,67,0
2021,Bolton 011D,E01004865,1255,493,484,484,481,3,0,0,0,43,43,0,160,160,0,75,74,1
2021,Bolton 011E,E01004866,1532,637,626,626,622,4,0,0,0,40,39,1,151,151,0,78,78,0
2021,Bolton 012A,E01004840,1420,449,705,704,700,4,1,0,1,26,26,0,136,135,1,104,104,0
2021,Bolton 012B,E01004841,1213,593,364,363,358,5,1,0,1,36,36,0,172,172,0,48,48,0
2021,Bolton 012C,E01004842,1386,356,767,765,763,2,2,2,0,25,25,0,113,113,0,125,125,0
2021,Bolton 012D,E01004919,1243,369,655,654,650,4,1,0,1,18,18,0,123,122,1,78,78,0
2021,Bolton 012E,E01004920,1279,440,574,568,567,1,6,2,4,24,24,0,141,141,0,100,100,0
2021,Bolton 013A,E01004787,1273,681,327,326,325,1,1,1,0,27,27,0,173,173,0,65,65,0
2021,Bolton 013B,E01004793,1334,614,417,413,411,2,4,4,0,37,37,0,134,133,1,132,131,1
2021,Bolton 013C,E01004794,1428,690,492,489,489,0,3,1,2,37,36,1,139,139,0,70,70,0
2021,Bolton 013D,E01004795,1229,520,421,418,416,2,3,2,1,42,42,0,129,129,0,117,117,0
2021,Bolton 013E,E01004797,1099,504,399,399,396,3,0,0,0,39,39,0,108,108,0,49,49,0
2021,Bolton 014A,E01004775,1854,558,944,942,936,6,2,2,0,35,34,1,165,163,2,152,152,0
2021,Bolton 014B,E01004885,1180,272,741,739,737,2,2,0,2,9,9,0,85,85,0,73,73,0
2021,Bolton 014C,E01004886,1157,493,431,425,419,6,6,1,5,34,34,0,128,128,0,71,71,0
2021,Bolton 014D,E01004887,1113,401,498,498,497,1,0,0,0,37,35,2,105,105,0,72,72,0
2021,Bolton 015A,E01004868,1610,664,749,748,745,3,1,0,1,34,33,1,117,117,0,46,46,0
2021,Bolton 015B,E01004869,1544,683,608,602,601,1,6,6,0,36,36,0,132,132,0,85,85,0
2021,Bolton 015C,E01004870,1634,695,670,669,664,5,1,0,1,65,64,1,109,108,1,95,95,0
2021,Bolton 015D,E01004871,1255,436,680,680,677,3,0,0,0,21,21,0,60,60,0,58,58,0
2021,Bolton 015E,E01004922,1704,677,732,718,708,10,14,14,0,54,54,0,171,171,0,70,70,0
2021,Bolton 016B,E01004822,1381,530,643,641,640,1,2,2,0,20,20,0,106,106,0,82,82,0
2021,Bolton 016C,E01004823,1541,674,586,584,580,4,2,0,2,66,66,0,141,141,0,74,74,0
2021,Bolton 016D,E01004848,1694,838,465,463,460,3,2,2,0,37,37,0,176,176,0,178,178,0
2021,Bolton 016E,E01033217,1033,551,271,267,265,2,4,2,2,37,37,0,114,114,0,60,60,0
2021,Bolton 016F,E01033220,1099,573,326,322,319,3,4,0,4,39,39,0,116,116,0,45,45,0
2021,Bolton 017A,E01004818,1345,593,495,492,490,2,3,0,3,51,51,0,126,126,0,80,80,0
2021,Bolton 017B,E01004819,1230,427,551,549,545,4,2,0,2,23,22,1,110,110,0,119,119,0
2021,Bolton 017C,E01004928,1113,542,338,338,335,3,0,0,0,39,39,0,121,121,0,73,73,0
2021,Bolton 017D,E01004930,1249,456,595,595,594,1,0,0,0,31,31,0,89,89,0,78,78,0
