date,geography,geography code,Marital and civil partnership status: Total; measures: Value,Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value
2021,Bolton,E08000001,232291,85007,105867,105505,105018,487,362,158,204,5468,5433,35,21133,21103,30,14816,14801,15
2021,Bury,E08000002,154872,56721,70222,69941,69514,427,281,123,158,3562,3539,23,14388,14353,35,9979,9970,9
2021,Manchester,E08000003,437957,244564,137088,135938,134260,1678,1150,328,822,10543,10446,97,29091,28950,141,16671,16626,45
2021,Oldham,E08000004,187035,70948,83696,83452,83053,399,244,109,135,4917,4898,19,15632,15614,18,11842,11834,8
2021,Rochdale,E08000005,174949,67394,75520,75290,74914,376,230,92,138,4888,4858,30,16232,16194,38,10915,10905,10
2021,Salford,E08000006,216923,109675,74068,73660,72820,840,408,139,269,4982,4920,62,17342,17273,69,10856,10837,19
2021,Stockport,E08000007,238927,86063,110836,110449,109756,693,387,125,262,4749,4731,18,20992,20933,59,16287,16265,22
2021,Tameside,E08000008,185135,74127,75624,75377,74763,614,247,78,169,4897,4819,78,18029,17973,56,12458,12438,20
2021,Trafford,E08000009,186149,65917,89755,89438,88872,566,317,98,219,3619,3593,26,15375,15322,53,11483,11463,20
2021,Wigan,E08000010,268693,100070,117719,117333,116708,625,386,167,219,6153,6106,47,26348,26294,54,18403,18383,20
2021,Birmingham,E08000025,889623,399065,355416,353826,351792,2034,1590,642,948,23307,23190,117,64517,64383,134,47318,47266,52
2021,Coventry,E08000026,276873,121739,111312,110790,110216,574,522,308,214,6282,6244,38,22364,22326,38,15176,15167,9
2021,Dudley,E08000027,262488,94228,120142,119758,119134,624,384,157,227,6111,6081,30,23277,23229,48,18730,18721,9
2021,Sandwell,E08000028,266024,104858,115901,115565,115024,541,336,160,176,7117,7095,22,21115,21074,41,17033,17019,14
2021,Solihull,E08000029,174498,58041,86424,86197,85855,342,227,108,119,3394,3371,23,14206,14178,28,12433,12432,1
2021,Walsall,E08000030,223098,83660,99974,99586,99139,447,388,198,190,5333,5276,57,18479,18441,38,15652,15643,9
2021,Wolverhampton,E08000031,208442,83054,88978,88682,88184,498,296,120,176,5027,5000,27,17478,17446,32,13905,13894,11
