date,geography,geography code,Household composition: Total; measures: Value,Household composition: One person household; measures: Value,Household composition: One person household: Aged 66 years and over; measures: Value,Household composition: One person household: Other; measures: Value,Household composition: Single family household; measures: Value,Household composition: Single family household: All aged 66 years and over; measures: Value,Household composition: Single family household: Married or civil partnership couple; measures: Value,Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,Household composition: Single family household: Cohabiting couple family; measures: Value,Household composition: Single family household: Cohabiting couple family: No children; measures: Value,Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,Household composition: Single family household: Lone parent family; measures: Value,Household composition: Single family household: Lone parent family: With dependent children; measures: Value,Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,Household composition: Single family household: Other single family household; measures: Value,Household composition: Single family household: Other single family household: Other family composition; measures: Value,Household composition: Other household types; measures: Value,Household composition: Other household types: With dependent children; measures: Value,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
2021,Bolton 001,E02000984,3209,775,397,378,2338,475,1267,417,602,248,354,176,157,21,229,139,90,13,13,96,45,51
2021,Bolton 002,E02000985,3225,863,522,341,2258,527,1137,399,505,233,322,156,145,21,265,157,108,7,7,104,44,60
2021,Bolton 003,E02000986,3646,1185,574,611,2336,369,1183,411,538,234,439,244,169,26,337,194,143,8,8,125,71,54
2021,Bolton 004,E02000987,3464,1313,549,764,2056,269,849,346,322,181,468,251,184,33,451,273,178,19,19,95,41,54
2021,Bolton 005,E02000988,3635,1250,499,751,2151,221,1051,301,540,210,367,152,189,26,496,326,170,16,16,234,141,93
2021,Bolton 006,E02000989,3743,1099,726,373,2539,626,1214,451,491,272,402,194,175,33,289,148,141,8,8,105,48,57
2021,Bolton 007,E02000990,3691,1084,438,646,2461,372,1200,455,505,240,507,287,183,37,369,238,131,13,13,146,74,72
2021,Bolton 008,E02000991,3249,938,415,523,2167,282,1107,382,513,212,401,183,194,24,357,213,144,20,20,144,91,53
2021,Bolton 009,E02000992,2759,809,402,407,1835,341,846,316,382,148,375,179,160,36,257,157,100,16,16,115,47,68
2021,Bolton 010,E02000993,3449,1124,386,738,2130,123,810,208,429,173,474,189,248,37,702,501,201,21,21,195,113,82
2021,Bolton 011,E02000994,3317,1189,392,797,1846,105,1018,207,663,148,250,102,134,14,457,309,148,16,16,282,184,98
2021,Bolton 012,E02000995,3425,1016,497,519,2256,382,1065,325,540,200,351,145,172,34,436,282,154,22,22,153,81,72
2021,Bolton 013,E02000996,3382,1057,392,665,2170,200,759,227,351,181,470,132,293,45,706,508,198,35,35,155,86,69
2021,Bolton 014,E02000997,2719,772,341,431,1824,308,903,286,428,189,325,173,130,22,265,160,105,23,23,123,65,58
2021,Bolton 015,E02000998,3699,1209,355,854,2110,162,1125,228,693,204,292,137,133,22,466,332,134,65,65,380,227,153
2021,Bolton 016,E02000999,3635,1775,482,1293,1623,75,813,198,504,111,242,147,76,19,448,246,202,45,45,237,127,110
2021,Bolton 017,E02001000,4065,1513,564,949,2306,281,907,332,382,193,509,269,206,34,584,389,195,25,25,246,121,125
2021,Bolton 018,E02001001,3211,887,335,552,2086,225,1144,278,646,220,292,141,131,20,402,277,125,23,23,238,155,83
2021,Bolton 019,E02001002,4075,1163,503,660,2717,400,1137,410,449,278,522,193,289,40,630,425,205,28,28,195,114,81
2021,Bolton 020,E02001003,2829,673,401,272,1978,478,1105,342,519,244,177,97,66,14,202,106,96,16,16,178,116,62
2021,Bolton 021,E02001004,3060,898,297,601,1862,115,1087,224,682,181,176,71,94,11,417,242,175,67,67,300,199,101
2021,Bolton 022,E02001005,3388,1105,349,756,1931,158,1016,236,623,157,300,177,112,11,410,262,148,47,47,352,240,112
2021,Bolton 023,E02001006,2760,628,226,402,1853,120,1142,229,701,212,175,63,97,15,388,231,157,28,28,279,180,99
2021,Bolton 024,E02001007,4393,1303,691,612,2882,593,1272,447,525,300,479,184,254,41,518,293,225,20,20,208,86,122
2021,Bolton 025,E02001008,2830,698,289,409,1863,96,1108,181,774,153,181,58,103,20,462,292,170,16,16,269,184,85
2021,Bolton 026,E02001009,2977,973,414,559,1835,217,943,254,504,185,272,111,134,27,379,245,134,24,24,169,111,58
2021,Bolton 027,E02001010,2485,755,218,537,1528,122,641,180,352,109,336,155,162,19,410,268,142,19,19,202,124,78
2021,Bolton 028,E02001011,4233,1193,596,597,2891,513,1477,536,626,315,516,246,238,32,367,206,161,18,18,149,69,80
2021,Bolton 029,E02001012,2982,631,312,319,1987,197,1073,245,629,199,290,92,167,31,407,245,162,20,20,364,263,101
2021,Bolton 030,E02001013,2500,647,362,285,1738,345,909,284,435,190,248,119,102,27,227,127,100,9,9,115,56,59
2021,Bolton 031,E02001014,3786,1255,525,730,2378,302,1030,393,420,217,511,248,229,34,515,325,190,20,20,153,74,79
2021,Bolton 032,E02001015,3856,1631,629,1002,2050,241,730,274,296,160,511,242,234,35,543,333,210,25,25,175,85,90
2021,Bolton 033,E02001016,3341,899,341,558,2209,169,866,245,450,171,471,162,257,52,681,467,214,22,22,233,141,92
2021,Bolton 034,E02001017,4663,1509,657,852,2940,362,1262,437,525,300,698,261,381,56,592,385,207,26,26,214,108,106
2021,Bolton 035,E02001018,3110,705,314,391,2274,282,1239,436,531,272,419,190,197,32,325,194,131,9,9,131,77,54
2021,Bury 001,E02001019,4072,1356,586,770,2574,399,1161,420,561,180,554,320,203,31,445,283,162,15,15,142,64,78
2021,Bury 002,E02001020,2512,621,434,187,1819,525,924,302,437,185,187,84,87,16,174,91,83,9,9,72,23,49
2021,Bury 003,E02001021,3177,847,420,427,2243,385,1265,484,533,248,332,162,139,31,248,150,98,13,13,87,31,56
2021,Bury 004,E02001022,3368,1036,513,523,2149,341,1024,380,440,204,391,205,165,21,373,214,159,20,20,183,90,93
2021,Bury 005,E02001023,2321,591,319,272,1615,308,762,249,354,159,233,81,135,17,300,186,114,12,12,115,58,57
2021,Bury 006,E02001024,3377,871,438,433,2404,399,1197,394,551,252,436,192,211,33,363,209,154,9,9,102,45,57
2021,Bury 007,E02001025,3425,1141,406,735,2100,202,869,276,427,166,394,157,190,47,595,408,187,40,40,184,94,90
2021,Bury 008,E02001026,4379,1494,368,1126,2484,124,1176,321,683,172,494,286,174,34,635,412,223,55,55,401,248,153
2021,Bury 009,E02001027,3179,1137,349,788,1896,175,785,237,409,139,446,230,183,33,477,341,136,13,13,146,63,83
2021,Bury 010,E02001028,3096,778,566,212,2224,617,1184,385,544,255,229,108,103,18,192,93,99,2,2,94,48,46
2021,Bury 011,E02001029,2876,887,335,552,1724,153,897,227,498,172,299,157,123,19,347,215,132,28,28,265,172,93
2021,Bury 012,E02001030,2510,569,258,311,1847,282,989,355,406,228,328,144,161,23,234,129,105,14,14,94,40,54
2021,Bury 013,E02001031,2951,1035,432,603,1758,228,828,278,410,140,313,158,134,21,371,234,137,18,18,158,88,70
2021,Bury 014,E02001032,3277,973,475,498,2161,315,929,340,370,219,451,199,226,26,441,283,158,25,25,143,69,74
2021,Bury 015,E02001033,2684,880,315,565,1699,146,706,232,330,144,413,183,195,35,422,308,114,12,12,105,50,55
2021,Bury 016,E02001034,4088,1774,496,1278,2135,190,733,265,336,132,494,225,231,38,673,489,184,45,45,179,74,105
2021,Bury 017,E02001035,2995,801,464,337,2058,401,1073,322,494,257,280,143,121,16,293,152,141,11,11,136,77,59
2021,Bury 018,E02001036,3091,865,316,549,2073,260,880,295,410,175,450,203,202,45,462,319,143,21,21,153,77,76
2021,Bury 019,E02001037,3035,841,472,369,2077,448,1105,357,540,208,302,178,108,16,211,108,103,11,11,117,44,73
2021,Bury 020,E02001038,2674,1041,420,621,1503,165,684,238,325,121,326,203,104,19,302,185,117,26,26,130,50,80
2021,Bury 021,E02001039,3513,1026,429,597,2282,176,942,282,475,185,461,209,220,32,684,470,214,19,19,205,104,101
2021,Bury 022,E02001040,2632,794,369,425,1692,247,877,264,440,173,347,191,139,17,200,107,93,21,21,146,67,79
2021,Bury 023,E02001041,3400,1149,507,642,2072,184,883,296,435,152,544,339,168,37,437,257,180,24,24,179,74,105
2021,Bury 024,E02001042,2894,1069,428,641,1667,235,907,307,466,134,298,193,92,13,219,109,110,8,8,158,59,99
2021,Bury 025,E02001043,2372,740,281,459,1512,159,718,210,385,123,329,169,131,29,297,181,116,9,9,120,54,66
2021,Bury 026,E02001044,2791,561,246,315,1998,229,1364,230,934,200,156,84,53,19,234,127,107,15,15,232,134,98
2021,Manchester 001,E02001045,3604,1278,521,757,2111,186,742,231,355,156,374,124,206,44,776,506,270,33,33,215,107,108
2021,Manchester 002,E02001046,4378,1301,395,906,2719,162,1149,327,611,211,532,218,258,56,824,582,242,52,52,358,206,152
2021,Manchester 003,E02001047,4360,1557,599,958,2520,192,1019,293,517,209,446,158,241,47,813,520,293,50,50,283,151,132
2021,Manchester 004,E02001048,3484,1125,376,749,2045,196,1089,238,665,186,255,125,115,15,464,298,166,41,41,314,208,106
2021,Manchester 005,E02001049,4209,1209,517,692,2707,278,1119,341,507,271,499,206,245,48,759,493,266,52,52,293,130,163
2021,Manchester 006,E02001050,3160,1042,298,744,1830,83,777,193,482,102,266,115,126,25,642,482,160,62,62,288,170,118
2021,Manchester 007,E02001051,3526,975,327,648,2235,157,903,238,455,210,336,125,181,30,784,597,187,55,55,316,185,131
2021,Manchester 008,E02001052,4414,1195,386,809,2572,82,1649,226,1195,228,228,113,103,12,529,297,232,84,84,647,462,185
2021,Manchester 009,E02001053,4589,1580,426,1154,2618,103,937,207,594,136,375,121,212,42,1129,782,347,74,74,391,238,153
2021,Manchester 011,E02001055,3989,1463,461,1002,2261,139,783,254,370,159,418,151,222,45,862,629,233,59,59,265,134,131
2021,Manchester 012,E02001056,3445,1155,378,777,2030,109,681,144,416,121,325,121,170,34,867,590,277,48,48,260,147,113
2021,Manchester 015,E02001059,4801,1589,369,1220,2712,119,1058,275,650,133,528,294,205,29,914,649,265,93,93,500,207,293
2021,Manchester 017,E02001061,4322,1403,453,950,2546,124,997,259,582,156,431,178,218,35,895,644,251,99,99,373,184,189
2021,Manchester 018,E02001062,3570,1213,244,969,1859,47,860,152,607,101,252,141,88,23,606,372,234,94,94,498,136,362
2021,Manchester 019,E02001063,3466,1312,170,1142,1472,18,587,187,357,43,335,265,60,10,401,246,155,131,131,682,93,589
2021,Manchester 020,E02001064,3907,1264,325,939,2287,70,1137,212,767,158,287,122,135,30,710,458,252,83,83,356,206,150
2021,Manchester 021,E02001065,3843,1209,356,853,2352,152,893,233,479,181,437,170,224,43,797,616,181,73,73,282,123,159
2021,Manchester 022,E02001066,3448,1141,171,970,1415,35,815,151,553,111,191,139,43,9,285,158,127,89,89,892,236,656
2021,Manchester 023,E02001067,4123,1216,387,829,2510,88,1056,175,749,132,394,132,217,45,895,647,248,77,77,397,231,166
2021,Manchester 024,E02001068,4119,1315,383,932,2259,41,942,139,718,85,250,150,89,11,898,576,322,128,128,545,251,294
2021,Manchester 025,E02001069,4304,1224,250,974,2128,48,954,150,727,77,305,194,100,11,691,497,194,130,130,952,162,790
2021,Manchester 026,E02001070,3139,1038,219,819,1306,55,738,177,438,123,203,169,34,0,249,126,123,61,61,795,228,567
2021,Manchester 028,E02001072,3898,1635,249,1386,1778,68,821,227,500,94,506,357,134,15,329,209,120,54,54,485,139,346
2021,Manchester 029,E02001073,3985,1399,422,977,2090,144,1008,305,564,139,647,480,150,17,245,132,113,46,46,496,109,387
2021,Manchester 030,E02001074,4226,1342,356,986,2312,114,1128,221,693,214,333,207,96,30,679,386,293,58,58,572,263,309
2021,Manchester 031,E02001075,3452,1144,257,887,1871,45,917,208,605,104,487,326,145,16,367,223,144,55,55,437,167,270
2021,Manchester 032,E02001076,2799,665,121,544,919,36,458,126,268,64,185,132,42,11,166,85,81,74,74,1215,97,1118
2021,Manchester 033,E02001077,3043,957,294,663,1693,127,830,219,458,153,494,337,142,15,214,114,100,28,28,393,120,273
2021,Manchester 034,E02001078,3801,987,446,541,2343,208,1270,277,746,247,401,238,143,20,428,235,193,36,36,471,206,265
2021,Manchester 035,E02001079,3441,952,307,645,1858,78,744,166,417,161,322,194,101,27,643,366,277,71,71,631,129,502
2021,Manchester 036,E02001080,3426,1017,294,723,1259,93,485,130,278,77,364,288,66,10,225,127,98,92,92,1150,74,1076
2021,Manchester 037,E02001081,2800,907,342,565,1694,106,805,297,404,104,509,361,136,12,258,144,114,16,16,199,60,139
2021,Manchester 038,E02001082,2901,1030,179,851,1347,93,580,196,327,57,468,407,51,10,172,98,74,34,34,524,51,473
2021,Manchester 039,E02001083,4077,1679,224,1455,1948,52,703,270,380,53,898,777,110,11,254,157,97,41,41,450,49,401
2021,Manchester 040,E02001084,3327,985,328,657,1753,151,857,253,472,132,385,258,106,21,317,177,140,43,43,589,82,507
2021,Manchester 041,E02001085,3202,804,308,496,2090,87,856,163,538,155,322,130,144,48,797,465,332,28,28,308,194,114
2021,Manchester 042,E02001086,2950,1036,294,742,1680,93,639,208,353,78,489,348,115,26,422,252,170,37,37,234,74,160
2021,Manchester 043,E02001087,4333,1552,544,1008,2445,283,1220,396,695,129,707,549,143,15,206,110,96,29,29,336,39,297
2021,Manchester 044,E02001088,3787,1190,427,763,2342,158,917,276,479,162,474,225,220,29,760,499,261,33,33,255,104,151
