date,geography,geography code,Household composition: Total; measures: Value,Household composition: One person household; measures: Value,Household composition: One person household: Aged 66 years and over; measures: Value,Household composition: One person household: Other; measures: Value,Household composition: Single family household; measures: Value,Household composition: Single family household: All aged 66 years and over; measures: Value,Household composition: Single family household: Married or civil partnership couple; measures: Value,Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,Household composition: Single family household: Cohabiting couple family; measures: Value,Household composition: Single family household: Cohabiting couple family: No children; measures: Value,Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,Household composition: Single family household: Lone parent family; measures: Value,Household composition: Single family household: Lone parent family: With dependent children; measures: Value,Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,Household composition: Single family household: Other single family household; measures: Value,Household composition: Single family household: Other single family household: Other family composition; measures: Value,Household composition: Other household types; measures: Value,Household composition: Other household types: With dependent children; measures: Value,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
2021,Bolton,E08000001,118790,36521,15389,21132,75404,10058,36432,11114,18079,7239,13121,5927,6194,1000,14984,9492,5492,809,809,6865,3988,2877
2021,Bury,E08000002,80697,24880,10646,14234,51769,7288,24861,7946,12192,4723,9493,4803,4001,689,9626,6057,3569,501,501,4048,1997,2051
2021,Manchester,E08000003,214734,71577,18712,52865,115845,6339,48691,13055,28116,7520,26033,16569,8075,1389,30969,20225,10744,3813,3813,27312,8270,19042
2021,Oldham,E08000004,93140,27397,11748,15649,59577,7361,28091,8251,14386,5454,10048,4296,4885,867,13381,8716,4665,696,696,6166,3856,2310
2021,Rochdale,E08000005,90223,27641,11285,16356,57288,6855,26169,8169,12797,5203,10481,4677,4932,872,13052,8761,4291,731,731,5294,3119,2175
2021,Salford,E08000006,115116,39141,12380,26761,66173,6293,26973,8749,13197,5027,16726,10038,5711,977,14717,9794,4923,1464,1464,9802,2732,7070
2021,Stockport,E08000007,126648,39439,17805,21634,81576,12336,39505,12472,19338,7695,15111,8102,6071,938,13922,8684,5238,702,702,5633,2526,3107
2021,Tameside,E08000008,99527,32374,13013,19361,62359,7645,26957,9321,11912,5724,13323,6215,6055,1053,13782,9030,4752,652,652,4794,2496,2298
2021,Trafford,E08000009,96269,28369,12764,15605,63004,8205,33446,8869,18808,5769,10308,5722,3939,647,10459,6339,4120,586,586,4896,2248,2648
2021,Wigan,E08000010,143102,43950,18692,25258,93548,13595,42255,15164,18150,8941,19897,9350,9126,1421,17050,10503,6547,751,751,5604,2688,2916
2021,Birmingham,E08000025,423456,133224,47070,86154,248201,23052,118572,29197,66750,22625,37183,19429,14908,2846,64230,40869,23361,5164,5164,42031,21367,20664
2021,Coventry,E08000026,134138,40777,15600,25177,80627,9155,38495,10998,19947,7550,13784,6810,5986,988,17587,11101,6486,1606,1606,12734,4906,7828
2021,Dudley,E08000027,137069,41709,19079,22630,89286,14221,41300,13850,18029,9421,16416,7777,7451,1188,16622,10327,6295,727,727,6074,3227,2847
2021,Sandwell,E08000028,130246,38042,15025,23017,81336,8223,38838,10429,19633,8776,13598,5596,6851,1151,19456,12228,7228,1221,1221,10868,6759,4109
2021,Solihull,E08000029,89486,25855,13023,12832,59409,10110,30058,8860,14699,6499,8468,4124,3658,686,10383,6438,3945,390,390,4222,2110,2112
2021,Walsall,E08000030,112228,32129,14516,17613,73084,9546,34024,10121,16197,7706,12898,5352,6456,1090,15698,10026,5672,918,918,7015,4211,2804
2021,Wolverhampton,E08000031,105141,32468,13054,19414,64872,7375,29818,8531,14347,6940,11048,4631,5517,900,15637,9728,5909,994,994,7801,4384,3417
