date,geography,geography code,Passports held: Total; measures: Value,Passports held: Europe; measures: Value,Passports held: Europe: United Kingdom; measures: Value,Passports held: Europe: Ireland; measures: Value,Passports held: Europe: Other Europe; measures: Value,Passports held: Europe: Other Europe: EU Member countries; measures: Value,Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Passports held: Europe: Other Europe: Rest of Europe; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Passports held: Africa; measures: Value,Passports held: Africa: North Africa; measures: Value,Passports held: Africa: Central and Western Africa; measures: Value,Passports held: Africa: South and Eastern Africa; measures: Value,Passports held: Middle East and Asia; measures: Value,Passports held: Middle East and Asia: Middle East; measures: Value,Passports held: Middle East and Asia: Eastern Asia; measures: Value,Passports held: Middle East and Asia: Southern Asia; measures: Value,Passports held: Middle East and Asia: South-East Asia; measures: Value,Passports held: Middle East and Asia: Central Asia; measures: Value,Passports held: The Americas and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: Central and South America; measures: Value,"Passports held: Antarctica and Oceania, including Australasia; measures: Value",Passports held: British Overseas Territories; measures: Value,Passports held: No passport held; measures: Value
2021,Bolton 001A,E01004768,1595,1507,1490,3,14,14,0,0,5,0,1,4,0,0,4,0,0,0,0,0,0,0,9,0,0,9,0,0,1,1,0,1,0,77
2021,Bolton 001B,E01004803,1622,1480,1465,3,12,11,0,3,2,1,0,0,1,0,4,1,0,1,1,0,0,1,3,1,0,1,1,0,6,4,2,0,0,132
2021,Bolton 001C,E01004804,1470,1381,1367,3,11,10,0,1,0,0,0,3,5,0,1,1,0,1,0,0,0,0,3,0,0,1,2,0,1,1,0,0,0,85
2021,Bolton 001D,E01004807,1376,1259,1251,2,6,6,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,2,1,0,0,4,1,3,2,0,108
2021,Bolton 001E,E01004808,1618,1518,1501,7,10,9,1,2,0,0,1,0,0,1,4,1,0,1,3,0,0,3,1,0,0,0,1,0,1,1,0,0,0,95
2021,Bolton 002A,E01004788,1359,1254,1243,3,8,8,1,0,0,1,0,0,0,0,6,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,2,0,100
2021,Bolton 002B,E01004790,1418,1235,1218,3,14,9,2,0,1,1,0,0,0,1,4,5,3,2,1,0,0,1,12,0,1,7,4,0,1,1,0,0,0,169
2021,Bolton 002C,E01004805,1567,1442,1420,12,10,10,2,0,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,122
2021,Bolton 002D,E01004806,1517,1372,1354,4,14,14,1,2,1,0,6,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,1,0,140
2021,Bolton 002E,E01004810,1555,1424,1412,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,1,3,1,0,0,0,0,0,0,121
2021,Bolton 003A,E01004769,1503,1387,1362,3,22,21,0,0,6,2,0,0,2,0,11,1,0,1,0,0,0,0,3,0,0,2,1,0,1,0,1,2,0,110
2021,Bolton 003B,E01004770,1521,1349,1307,2,40,39,6,1,13,6,2,0,1,0,10,1,0,1,1,0,0,1,34,1,4,26,3,0,0,0,0,0,0,137
2021,Bolton 003C,E01004771,1683,1535,1520,3,12,12,0,1,6,1,0,0,0,2,2,0,0,0,1,0,1,0,10,4,0,5,1,0,2,2,0,0,0,135
2021,Bolton 003D,E01004773,1963,1709,1661,6,42,41,5,1,13,2,2,2,4,1,11,1,0,1,3,0,2,1,40,6,0,33,0,1,2,1,1,0,0,209
2021,Bolton 003E,E01004809,1723,1499,1481,7,11,11,2,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,6,1,0,0,5,0,1,1,0,1,0,216
2021,Bolton 004A,E01004777,1723,1415,1388,2,25,25,0,0,0,4,2,0,8,6,5,0,0,0,6,0,2,4,5,4,0,1,0,0,1,1,0,1,0,295
2021,Bolton 004B,E01004881,1481,1116,1089,3,24,23,0,2,0,0,0,3,7,7,4,1,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,359
2021,Bolton 004C,E01004888,1281,1077,1055,1,21,20,1,2,0,2,0,2,7,0,6,1,1,0,3,0,2,1,4,0,0,4,0,0,0,0,0,0,0,197
2021,Bolton 004D,E01004889,1434,1172,1140,8,24,24,0,0,2,0,0,2,16,3,1,0,0,0,6,1,0,5,4,0,0,4,0,0,4,0,4,0,0,248
2021,Bolton 004E,E01004890,1381,1201,1172,3,26,25,0,1,4,0,0,0,10,3,7,1,0,1,1,1,0,0,12,1,4,6,1,0,2,2,0,0,0,165
2021,Bolton 005A,E01004766,1660,1374,1327,3,44,44,0,0,12,4,5,0,10,1,12,0,0,0,12,0,6,6,39,2,0,37,0,0,1,1,0,0,0,234
2021,Bolton 005B,E01004767,1887,1621,1522,9,90,90,2,2,22,1,10,3,16,9,25,0,0,0,20,7,6,7,44,2,2,34,6,0,12,5,7,1,0,189
2021,Bolton 005C,E01004772,1847,1487,1415,8,64,64,3,2,0,6,7,2,15,9,20,0,0,0,15,1,7,7,10,3,1,5,1,0,1,1,0,0,0,334
2021,Bolton 005D,E01004774,1766,1422,1380,14,28,27,1,1,3,1,8,1,0,4,8,1,0,1,12,1,8,3,17,0,0,16,1,0,1,1,0,1,0,313
2021,Bolton 005E,E01004824,1888,1641,1528,3,110,110,2,1,27,18,28,1,0,1,32,0,0,0,11,3,5,3,126,0,0,125,1,0,5,5,0,0,0,105
2021,Bolton 006A,E01004784,1193,1073,1067,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,1,0,2,1,0,0,0,0,0,0,115
2021,Bolton 006B,E01004785,1525,1285,1251,7,27,27,1,0,5,0,0,4,7,0,10,0,0,0,1,0,1,0,2,0,0,1,1,0,3,3,0,0,0,234
2021,Bolton 006C,E01004786,1449,1305,1290,3,12,11,1,1,2,0,0,1,5,0,1,1,0,1,0,0,0,0,3,0,1,0,2,0,1,1,0,0,0,140
2021,Bolton 006D,E01004789,1452,1329,1318,6,5,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122
2021,Bolton 006E,E01004791,1323,1199,1184,0,15,15,0,3,1,0,0,1,5,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,121
2021,Bolton 006F,E01004792,1407,1275,1261,6,8,7,0,0,3,2,0,2,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,130
2021,Bolton 007A,E01004779,1635,1403,1367,4,32,29,0,1,3,2,2,4,7,4,6,3,0,3,0,0,0,0,7,0,4,2,1,0,1,1,0,0,0,224
2021,Bolton 007B,E01004781,2134,1846,1776,9,61,59,2,4,7,1,3,7,25,3,7,2,0,2,12,1,9,2,46,5,5,32,4,0,4,3,1,1,0,225
2021,Bolton 007C,E01004882,1351,1150,1121,6,23,23,2,2,0,0,1,0,3,0,15,0,0,0,6,0,5,1,2,0,0,2,0,0,4,4,0,0,0,189
2021,Bolton 007D,E01004883,1760,1558,1515,8,35,33,1,1,5,3,2,4,4,7,6,2,0,2,2,0,2,0,31,0,0,30,1,0,4,1,3,0,0,165
2021,Bolton 007E,E01004884,1477,1351,1340,7,4,4,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,1,1,0,0,0,121
2021,Bolton 008A,E01004864,1462,1248,1202,6,40,40,0,3,7,6,3,3,2,0,16,0,0,0,6,1,5,0,26,1,2,20,3,0,5,0,5,0,0,177
2021,Bolton 008B,E01004867,1550,1214,1103,14,97,97,0,2,34,9,8,0,7,6,31,0,0,0,1,0,1,0,115,5,0,109,1,0,1,1,0,0,0,219
2021,Bolton 008C,E01004921,1634,1411,1342,6,63,62,1,4,27,13,0,0,1,4,12,1,1,0,3,0,3,0,22,0,0,22,0,0,6,3,3,0,0,192
2021,Bolton 008D,E01004924,1573,1461,1430,10,21,21,3,0,1,0,0,0,3,1,13,0,0,0,1,0,1,0,11,0,4,5,2,0,0,0,0,0,0,100
2021,Bolton 008E,E01004925,1591,1391,1344,6,41,38,0,3,2,1,7,2,5,0,18,3,0,3,1,0,1,0,36,0,1,35,0,0,3,1,2,0,0,160
2021,Bolton 009A,E01004778,1190,1018,1013,1,4,4,0,0,0,0,0,0,4,0,0,0,0,0,2,1,1,0,3,0,0,1,2,0,0,0,0,1,0,166
2021,Bolton 009B,E01004780,2289,2005,1968,6,31,26,0,1,2,2,0,2,8,5,6,5,0,5,3,0,0,3,7,0,3,1,3,0,3,1,2,5,0,266
2021,Bolton 009C,E01004782,1348,1100,1090,0,10,10,0,0,4,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,245
2021,Bolton 009D,E01004783,1477,1278,1268,2,8,5,1,0,3,1,0,0,0,0,0,3,1,2,0,0,0,0,4,0,1,2,1,0,1,1,0,0,0,194
2021,Bolton 010A,E01004802,1970,1417,1220,20,177,175,1,2,0,10,3,24,97,8,30,2,0,2,22,0,13,9,21,3,2,15,1,0,0,0,0,0,0,510
2021,Bolton 010B,E01004926,1433,1109,1025,10,74,72,0,3,5,7,7,5,14,2,29,2,0,2,7,0,3,4,6,0,1,5,0,0,2,0,2,0,0,309
2021,Bolton 010C,E01004927,2300,1740,1610,21,109,106,1,5,9,10,4,4,32,3,38,3,0,3,47,9,29,9,31,6,0,23,2,0,2,2,0,0,0,480
2021,Bolton 010D,E01004929,2728,2243,2096,8,139,138,0,3,13,29,9,11,31,10,32,1,0,1,20,1,14,5,56,0,25,29,2,0,9,3,6,0,0,400
