date,geography,geography code,Passports held: Total; measures: Value,Passports held: Europe; measures: Value,Passports held: Europe: United Kingdom; measures: Value,Passports held: Europe: Ireland; measures: Value,Passports held: Europe: Other Europe; measures: Value,Passports held: Europe: Other Europe: EU Member countries; measures: Value,Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Passports held: Europe: Other Europe: Rest of Europe; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Passports held: Africa; measures: Value,Passports held: Africa: North Africa; measures: Value,Passports held: Africa: Central and Western Africa; measures: Value,Passports held: Africa: South and Eastern Africa; measures: Value,Passports held: Middle East and Asia; measures: Value,Passports held: Middle East and Asia: Middle East; measures: Value,Passports held: Middle East and Asia: Eastern Asia; measures: Value,Passports held: Middle East and Asia: Southern Asia; measures: Value,Passports held: Middle East and Asia: South-East Asia; measures: Value,Passports held: Middle East and Asia: Central Asia; measures: Value,Passports held: The Americas and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: Central and South America; measures: Value,"Passports held: Antarctica and Oceania, including Australasia; measures: Value",Passports held: British Overseas Territories; measures: Value,Passports held: No passport held; measures: Value
2021,Bolton,E08000001,295963,245440,229739,1167,14534,14045,281,271,2619,1334,2042,539,2168,923,3868,489,78,411,1590,295,806,489,7729,413,263,6823,227,3,451,257,194,52,1,40700
2021,Bury,E08000002,193845,165802,157004,1479,7319,7004,194,201,1217,337,677,241,2178,372,1587,315,31,284,736,168,340,228,2848,308,172,2209,155,4,441,304,137,60,0,23958
2021,Manchester,E08000003,551938,449960,386997,7201,55762,53756,2109,2374,11101,4040,7728,1331,8397,3600,13076,2006,403,1603,10865,2229,6826,1810,28249,3332,5525,17417,1934,41,3344,2044,1300,414,30,59076
2021,Oldham,E08000004,242088,203938,191450,1017,11471,11269,180,328,2598,977,1874,335,1391,1567,2019,202,28,174,1461,178,989,294,5818,111,143,5434,128,2,296,173,123,40,4,30531
2021,Rochdale,E08000005,223774,186728,174183,1306,11239,11036,143,325,1580,1533,1191,424,3347,788,1705,203,35,168,1590,172,1148,270,4079,172,192,3542,173,0,275,131,144,64,5,31033
2021,Salford,E08000006,269925,222969,198632,2218,22119,21147,638,413,1916,2793,1545,625,6007,1825,5385,972,195,777,3868,739,2399,730,5268,1552,956,2258,485,17,1191,584,607,179,16,36434
2021,Stockport,E08000007,294776,257476,248835,2491,6150,5802,348,272,765,342,436,133,1412,504,1590,348,82,266,743,179,270,294,3224,472,427,1989,333,3,576,371,205,149,0,32608
2021,Tameside,E08000008,231068,193246,184160,1044,8042,7859,128,199,1276,560,925,129,2665,484,1493,183,23,160,1047,120,668,259,2702,122,283,2120,174,3,284,161,123,49,1,33739
2021,Trafford,E08000009,235048,207463,197119,3233,7111,6752,412,292,729,422,680,152,1686,438,1941,359,108,251,1105,423,404,278,5060,401,1362,2955,330,12,760,532,228,218,3,20439
2021,Wigan,E08000010,329329,273505,263014,893,9598,9328,153,189,525,583,266,804,2599,1841,2368,270,86,184,1014,172,470,372,1588,218,258,827,279,6,389,203,186,96,5,52732
2021,Birmingham,E08000025,1144919,945341,854433,10339,80569,75565,3295,2232,10362,3742,5343,1660,10258,12483,26190,5004,415,4589,11953,2679,5893,3381,41614,3030,5159,31109,2235,81,5193,4167,1026,468,36,140314
2021,Coventry,E08000026,345321,278464,237907,3792,36765,35336,1054,1158,3358,1891,1036,979,9221,8040,8599,1429,527,902,6452,734,3981,1737,15193,866,2665,10566,1054,42,1040,635,405,150,9,44013
2021,Dudley,E08000027,323486,255971,247650,740,7581,7310,205,205,1019,368,311,283,1876,1264,1779,271,20,251,881,76,454,351,3200,251,203,2511,230,5,513,413,100,39,3,62879
2021,Sandwell,E08000028,341834,261062,232884,1031,27147,26391,351,557,5736,2172,1323,939,6856,2829,5628,756,110,646,3159,181,2261,717,14818,381,276,13887,274,0,1462,1167,295,38,15,61280
2021,Solihull,E08000029,216239,187778,181163,2216,4399,4113,348,213,330,211,259,91,872,654,1135,286,91,195,535,155,128,252,2907,107,570,1969,254,7,472,290,182,129,1,24417
2021,Walsall,E08000030,284123,219953,205088,816,14049,13744,197,225,2562,463,702,393,3911,2225,3066,305,25,280,1860,166,1152,542,6311,87,167,5827,228,2,493,424,69,36,3,55467
2021,Wolverhampton,E08000031,263727,200357,177693,864,21800,21450,244,396,4584,1532,827,1861,3660,3745,4601,350,26,324,3602,265,2485,852,9824,269,222,8910,420,3,926,820,106,54,11,48953
