date,geography,geography code,Passports held: Total; measures: Value,Passports held: Europe; measures: Value,Passports held: Europe: United Kingdom; measures: Value,Passports held: Europe: Ireland; measures: Value,Passports held: Europe: Other Europe; measures: Value,Passports held: Europe: Other Europe: EU Member countries; measures: Value,Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Passports held: Europe: Other Europe: Rest of Europe; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Passports held: Africa; measures: Value,Passports held: Africa: North Africa; measures: Value,Passports held: Africa: Central and Western Africa; measures: Value,Passports held: Africa: South and Eastern Africa; measures: Value,Passports held: Middle East and Asia; measures: Value,Passports held: Middle East and Asia: Middle East; measures: Value,Passports held: Middle East and Asia: Eastern Asia; measures: Value,Passports held: Middle East and Asia: Southern Asia; measures: Value,Passports held: Middle East and Asia: South-East Asia; measures: Value,Passports held: Middle East and Asia: Central Asia; measures: Value,Passports held: The Americas and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: Central and South America; measures: Value,"Passports held: Antarctica and Oceania, including Australasia; measures: Value",Passports held: British Overseas Territories; measures: Value,Passports held: No passport held; measures: Value
2021,Bolton 001,E02000984,7677,7146,7074,18,54,51,1,8,8,1,2,7,6,5,13,3,0,3,4,0,0,4,19,1,2,12,4,0,12,7,5,3,0,493
2021,Bolton 002,E02000985,7416,6726,6647,33,46,41,6,2,4,2,8,1,0,3,15,5,3,2,7,0,6,1,21,0,3,11,7,0,5,5,0,3,0,654
2021,Bolton 003,E02000986,8398,7486,7331,23,132,129,14,4,39,12,5,2,7,6,40,3,0,3,6,0,3,3,93,11,4,67,10,1,6,4,2,3,0,804
2021,Bolton 004,E02000987,7302,5983,5844,17,122,118,1,6,6,6,2,7,48,19,23,4,1,3,16,2,4,10,30,5,4,20,1,0,7,3,4,2,0,1264
2021,Bolton 005,E02000988,9042,7546,7172,38,336,335,7,6,65,30,59,7,43,22,96,1,0,1,67,12,31,24,234,7,3,215,9,0,19,12,7,3,0,1173
2021,Bolton 006,E02000989,8348,7466,7371,26,69,67,2,4,11,3,0,8,19,0,20,2,0,2,3,0,2,1,11,1,2,3,5,0,5,5,0,2,0,861
2021,Bolton 007,E02000990,8352,7304,7119,32,153,147,5,8,15,9,8,15,40,13,34,6,0,6,21,1,16,4,88,5,10,65,8,0,14,10,4,1,0,924
2021,Bolton 008,E02000991,7812,6727,6421,43,263,259,5,10,71,29,19,5,18,11,91,4,1,3,11,1,10,0,210,6,7,191,6,0,15,5,10,0,0,849
2021,Bolton 009,E02000992,6306,5401,5339,9,53,45,1,1,9,3,0,4,12,7,8,8,1,7,5,1,1,3,15,0,4,5,6,0,7,3,4,7,0,871
2021,Bolton 010,E02000993,8435,6510,5951,59,500,491,2,13,27,56,24,42,176,24,127,9,0,9,96,10,59,27,115,11,29,70,5,0,13,5,8,0,0,1701
2021,Bolton 011,E02000994,9045,7075,6329,46,700,689,14,3,167,52,161,4,29,35,224,11,3,8,80,23,34,23,626,17,8,597,4,0,12,6,6,4,0,1248
2021,Bolton 012,E02000995,8346,6889,6663,31,195,189,1,3,4,11,9,15,79,8,59,6,3,3,34,5,12,17,74,3,7,56,8,0,7,4,3,0,0,1342
