date,geography,geography code,Population Density: Persons per square kilometre; measures: Value
2021,Bolton 001A,E01004768,407.1
2021,Bolton 001B,E01004803,659.7
2021,Bolton 001C,E01004804,3130.1
2021,Bolton 001D,E01004807,4375.6
2021,Bolton 001E,E01004808,2166.6
2021,Bolton 002A,E01004788,1817.3
2021,Bolton 002B,E01004790,2651.5
2021,Bolton 002C,E01004805,1591.1
2021,Bolton 002D,E01004806,2395.8
2021,Bolton 002E,E01004810,1951.4
2021,Bolton 003A,E01004769,3715.7
2021,Bolton 003B,E01004770,3438.8
2021,Bolton 003C,E01004771,3722.1
2021,Bolton 003D,E01004773,7381.7
2021,Bolton 003E,E01004809,4822.3
2021,Bolton 004A,E01004777,5013.1
2021,Bolton 004B,E01004881,7107.9
2021,Bolton 004C,E01004888,3410.5
2021,Bolton 004D,E01004889,4373.9
2021,Bolton 004E,E01004890,4480.9
2021,Bolton 005A,E01004766,3216.9
2021,Bolton 005B,E01004767,3624.9
2021,Bolton 005C,E01004772,5671.3
2021,Bolton 005D,E01004774,5682.5
2021,Bolton 005E,E01004824,6767.2
2021,Bolton 006A,E01004784,4950.2
2021,Bolton 006B,E01004785,2632.7
2021,Bolton 006C,E01004786,1655.6
2021,Bolton 006D,E01004789,256.3
2021,Bolton 006E,E01004791,3322.5
2021,Bolton 006F,E01004792,2208.1
2021,Bolton 007A,E01004779,5485.7
2021,Bolton 007B,E01004781,781.0
2021,Bolton 007C,E01004882,5760.0
2021,Bolton 007D,E01004883,3646.9
2021,Bolton 007E,E01004884,259.3
2021,Bolton 008A,E01004864,6731.0
2021,Bolton 008B,E01004867,8512.6
2021,Bolton 008C,E01004921,7072.3
2021,Bolton 008D,E01004924,256.9
2021,Bolton 008E,E01004925,7514.2
2021,Bolton 009A,E01004778,2718.1
2021,Bolton 009B,E01004780,366.6
2021,Bolton 009C,E01004782,2214.9
2021,Bolton 009D,E01004783,957.5
2021,Bolton 010A,E01004802,5651.7
2021,Bolton 010B,E01004926,6447.5
2021,Bolton 010C,E01004927,3399.3
2021,Bolton 010D,E01004929,4788.5
2021,Bolton 011A,E01004820,11489.1
2021,Bolton 011B,E01004825,12181.7
2021,Bolton 011C,E01004826,9235.5
2021,Bolton 011D,E01004865,6118.4
2021,Bolton 011E,E01004866,5301.8
2021,Bolton 012A,E01004840,415.2
2021,Bolton 012B,E01004841,4374.8
2021,Bolton 012C,E01004842,5158.1
2021,Bolton 012D,E01004919,3778.2
2021,Bolton 012E,E01004920,3541.8
2021,Bolton 013A,E01004787,5685.8
2021,Bolton 013B,E01004793,5656.5
2021,Bolton 013C,E01004794,5333.0
2021,Bolton 013D,E01004795,3677.3
2021,Bolton 013E,E01004797,4666.9
2021,Bolton 014A,E01004775,312.6
2021,Bolton 014B,E01004885,727.9
2021,Bolton 014C,E01004886,5884.6
2021,Bolton 014D,E01004887,1996.4
2021,Bolton 015A,E01004868,11432.3
2021,Bolton 015B,E01004869,8376.7
2021,Bolton 015C,E01004870,6368.8
2021,Bolton 015D,E01004871,9052.4
2021,Bolton 015E,E01004922,7917.1
2021,Bolton 016B,E01004822,5909.2
2021,Bolton 016C,E01004823,6465.6
2021,Bolton 016D,E01004848,2396.2
2021,Bolton 016E,E01033217,1527.2
2021,Bolton 016F,E01033220,1427.0
2021,Bolton 017A,E01004818,7098.1
2021,Bolton 017B,E01004819,4296.6
2021,Bolton 017C,E01004928,7517.7
2021,Bolton 017D,E01004930,3382.5
2021,Bolton 017E,E01004931,4566.4
2021,Bolton 017F,E01004932,2801.5
2021,Bolton 018A,E01004834,13300.3
2021,Bolton 018B,E01004838,2488.2
2021,Bolton 018C,E01004843,4465.5
2021,Bolton 018D,E01004845,3677.8
2021,Bolton 018E,E01004923,9952.5
2021,Bolton 019A,E01004796,3089.0
2021,Bolton 019B,E01004798,2990.4
2021,Bolton 019C,E01004799,4523.8
2021,Bolton 019D,E01004800,5380.5
2021,Bolton 019E,E01004801,3194.0
2021,Bolton 019F,E01004917,1321.5
2021,Bolton 020A,E01004835,3578.3
2021,Bolton 020B,E01004836,2904.7
2021,Bolton 020C,E01004837,1228.2
2021,Bolton 020D,E01004844,1794.8
