date,geography,geography code,Population Density: Persons per square kilometre; measures: Value
2021,Bolton,E08000001,2117.0
2021,Bury,E08000002,1948.6
2021,Manchester,E08000003,4772.7
2021,Oldham,E08000004,1700.5
2021,Rochdale,E08000005,1415.6
2021,Salford,E08000006,2777.2
2021,Stockport,E08000007,2338.3
2021,Tameside,E08000008,2239.7
2021,Trafford,E08000009,2216.7
2021,Wigan,E08000010,1750.0
2021,Birmingham,E08000025,4275.4
2021,Coventry,E08000026,3500.7
2021,Dudley,E08000027,3302.4
2021,Sandwell,E08000028,3994.9
2021,Solihull,E08000029,1212.9
2021,Walsall,E08000030,2733.1
2021,Wolverhampton,E08000031,3797.9
