date,geography,geography code,Population Density: Persons per square kilometre; measures: Value
2021,Bolton 001,E02000984,972.0
2021,Bolton 002,E02000985,2005.7
2021,Bolton 003,E02000986,4366.6
2021,Bolton 004,E02000987,4669.3
2021,Bolton 005,E02000988,4634.3
2021,Bolton 006,E02000989,994.0
2021,Bolton 007,E02000990,884.8
2021,Bolton 008,E02000991,1122.8
2021,Bolton 009,E02000992,713.8
2021,Bolton 010,E02000993,4639.7
2021,Bolton 011,E02000994,7929.7
2021,Bolton 012,E02000995,1445.3
2021,Bolton 013,E02000996,4938.9
2021,Bolton 014,E02000997,628.8
2021,Bolton 015,E02000998,8331.9
2021,Bolton 016,E02000999,2643.6
2021,Bolton 017,E02001000,4374.0
2021,Bolton 018,E02001001,4509.3
2021,Bolton 019,E02001002,2537.0
2021,Bolton 020,E02001003,1871.8
2021,Bolton 021,E02001004,9713.1
2021,Bolton 022,E02001005,3910.2
2021,Bolton 023,E02001006,9645.9
2021,Bolton 024,E02001007,3432.1
2021,Bolton 025,E02001008,7173.1
2021,Bolton 026,E02001009,1149.6
2021,Bolton 027,E02001010,2746.6
2021,Bolton 028,E02001011,1954.6
2021,Bolton 029,E02001012,5668.5
2021,Bolton 030,E02001013,1073.7
2021,Bolton 031,E02001014,1176.9
2021,Bolton 032,E02001015,4063.8
2021,Bolton 033,E02001016,4933.4
2021,Bolton 034,E02001017,1636.6
2021,Bolton 035,E02001018,1646.6
2021,Bury 001,E02001019,796.8
2021,Bury 002,E02001020,2683.9
2021,Bury 003,E02001021,618.0
2021,Bury 004,E02001022,1592.2
2021,Bury 005,E02001023,2455.0
2021,Bury 006,E02001024,3378.2
2021,Bury 007,E02001025,1894.1
2021,Bury 008,E02001026,4836.0
2021,Bury 009,E02001027,3933.7
2021,Bury 010,E02001028,2522.4
2021,Bury 011,E02001029,3739.5
2021,Bury 012,E02001030,932.5
2021,Bury 013,E02001031,1290.8
2021,Bury 014,E02001032,2441.0
2021,Bury 015,E02001033,2298.3
2021,Bury 016,E02001034,4927.4
2021,Bury 017,E02001035,1317.2
2021,Bury 018,E02001036,1554.3
2021,Bury 019,E02001037,1311.4
2021,Bury 020,E02001038,2875.6
2021,Bury 021,E02001039,5204.8
2021,Bury 022,E02001040,1574.1
2021,Bury 023,E02001041,6381.6
2021,Bury 024,E02001042,4509.8
2021,Bury 025,E02001043,1603.8
2021,Bury 026,E02001044,7449.4
2021,Manchester 001,E02001045,3485.0
2021,Manchester 002,E02001046,4533.1
2021,Manchester 003,E02001047,4468.0
2021,Manchester 004,E02001048,1989.3
2021,Manchester 005,E02001049,4869.4
2021,Manchester 006,E02001050,5039.8
2021,Manchester 007,E02001051,6830.0
2021,Manchester 008,E02001052,7431.6
2021,Manchester 009,E02001053,4355.4
2021,Manchester 011,E02001055,2827.8
2021,Manchester 012,E02001056,4901.5
2021,Manchester 015,E02001059,3214.7
2021,Manchester 017,E02001061,5682.1
2021,Manchester 018,E02001062,3921.6
2021,Manchester 019,E02001063,6464.6
2021,Manchester 020,E02001064,4137.8
2021,Manchester 021,E02001065,4958.9
2021,Manchester 022,E02001066,10235.4
2021,Manchester 023,E02001067,6722.9
2021,Manchester 024,E02001068,9422.2
2021,Manchester 025,E02001069,14287.5
2021,Manchester 026,E02001070,7780.7
2021,Manchester 028,E02001072,8203.9
2021,Manchester 029,E02001073,7040.1
2021,Manchester 030,E02001074,6081.1
2021,Manchester 031,E02001075,7731.7
2021,Manchester 032,E02001076,8299.6
2021,Manchester 033,E02001077,5733.8
2021,Manchester 034,E02001078,6473.9
2021,Manchester 035,E02001079,5563.0
2021,Manchester 036,E02001080,9485.3
2021,Manchester 037,E02001081,2844.4
2021,Manchester 038,E02001082,7513.8
2021,Manchester 039,E02001083,5792.0
2021,Manchester 040,E02001084,6246.1
2021,Manchester 041,E02001085,6608.2
2021,Manchester 042,E02001086,3275.0
2021,Manchester 043,E02001087,4569.4
2021,Manchester 044,E02001088,5491.4
2021,Manchester 045,E02001089,3066.4
2021,Manchester 046,E02001090,1854.5
2021,Manchester 047,E02001091,4602.3
2021,Manchester 048,E02001092,3310.7
2021,Manchester 049,E02001093,5044.9
2021,Manchester 050,E02001094,6024.4
2021,Manchester 051,E02001095,3148.5
2021,Manchester 052,E02001096,2439.6
2021,Manchester 053,E02001097,1015.3
2021,Manchester 054,E02006902,4792.6
2021,Manchester 055,E02006912,6911.6
2021,Manchester 056,E02006913,4538.2
2021,Manchester 057,E02006914,12421.8
2021,Manchester 058,E02006915,5187.9
2021,Manchester 059,E02006916,10751.3
2021,Manchester 060,E02006917,6627.5
2021,Manchester 061,E02006983,6078.4
2021,Manchester 062,E02006984,4749.2
2021,Manchester 063,E02006985,13238.2
2021,Manchester 064,E02006986,8709.2
2021,Oldham 001,E02001098,1596.9
2021,Oldham 002,E02001099,3733.3
2021,Oldham 003,E02001100,977.1
2021,Oldham 004,E02001101,1951.0
2021,Oldham 005,E02001102,3693.3
2021,Oldham 006,E02001103,160.6
2021,Oldham 007,E02001104,1868.2
2021,Oldham 008,E02001105,2312.4
2021,Oldham 009,E02001106,2396.8
2021,Oldham 010,E02001107,2648.0
2021,Oldham 011,E02001108,4030.6
2021,Oldham 012,E02001109,4759.0
2021,Oldham 013,E02001110,572.7
2021,Oldham 014,E02001111,5126.8
2021,Oldham 015,E02001112,1711.7
2021,Oldham 016,E02001113,5969.4
2021,Oldham 017,E02001114,4638.0
2021,Oldham 018,E02001115,4253.1
2021,Oldham 019,E02001116,6507.6
2021,Oldham 020,E02001117,218.0
2021,Oldham 021,E02001118,2206.9
2021,Oldham 022,E02001119,6845.1
2021,Oldham 024,E02001121,6589.0
2021,Oldham 026,E02001123,2134.2
2021,Oldham 027,E02001124,7003.5
2021,Oldham 028,E02001125,3255.7
2021,Oldham 029,E02001126,4487.8
2021,Oldham 030,E02001127,4909.8
2021,Oldham 031,E02001128,4306.0
2021,Oldham 032,E02001129,4281.2
2021,Oldham 033,E02001130,1197.0
2021,Oldham 034,E02001131,5135.0
2021,Oldham 036,E02007000,9461.3
2021,Oldham 037,E02007001,9146.4
2021,Rochdale 001,E02001132,646.9
2021,Rochdale 002,E02001133,508.5
2021,Rochdale 003,E02001134,344.8
2021,Rochdale 004,E02001135,5224.4
2021,Rochdale 005,E02001136,2692.3
2021,Rochdale 006,E02001137,221.9
2021,Rochdale 007,E02001138,2465.1
2021,Rochdale 008,E02001139,5636.7
2021,Rochdale 009,E02001140,3978.2
2021,Rochdale 010,E02001141,4030.3
2021,Rochdale 011,E02001142,2171.4
2021,Rochdale 012,E02001143,5363.6
2021,Rochdale 013,E02001144,1705.2
2021,Rochdale 014,E02001145,421.4
2021,Rochdale 015,E02001146,6782.4
2021,Rochdale 016,E02001147,2232.7
2021,Rochdale 017,E02001148,1776.6
2021,Rochdale 018,E02001149,4243.3
2021,Rochdale 019,E02001150,1866.8
2021,Rochdale 020,E02001151,1183.9
2021,Rochdale 021,E02001152,1404.5
2021,Rochdale 022,E02001153,2582.6
2021,Rochdale 023,E02001154,4749.2
2021,Rochdale 024,E02001155,2243.9
2021,Rochdale 025,E02001156,3579.4
