date,geography,geography code,Age: Total; measures: Value,Age: Aged 4 years and under; measures: Value,Age: Aged under 1 year; measures: Value,Age: Aged 1 year; measures: Value,Age: Aged 2 years; measures: Value,Age: Aged 3 years; measures: Value,Age: Aged 4 years; measures: Value,Age: Aged 5 to 9 years; measures: Value,Age: Aged 5 years; measures: Value,Age: Aged 6 years; measures: Value,Age: Aged 7 years; measures: Value,Age: Aged 8 years; measures: Value,Age: Aged 9 years; measures: Value,Age: Aged 10 to 15 years; measures: Value,Age: Aged 10 years; measures: Value,Age: Aged 11 years; measures: Value,Age: Aged 12 years; measures: Value,Age: Aged 13 years; measures: Value,Age: Aged 14 years; measures: Value,Age: Aged 15 years; measures: Value,Age: Aged 16 to 19 years; measures: Value,Age: Aged 16 years; measures: Value,Age: Aged 17 years; measures: Value,Age: Aged 18 years; measures: Value,Age: Aged 19 years; measures: Value,Age: Aged 20 to 24 years; measures: Value,Age: Aged 20 years; measures: Value,Age: Aged 21 years; measures: Value,Age: Aged 22 years; measures: Value,Age: Aged 23 years; measures: Value,Age: Aged 24 years; measures: Value,Age: Aged 25 to 34 years; measures: Value,Age: Aged 25 years; measures: Value,Age: Aged 26 years; measures: Value,Age: Aged 27 years; measures: Value,Age: Aged 28 years; measures: Value,Age: Aged 29 years; measures: Value,Age: Aged 30 years; measures: Value,Age: Aged 31 years; measures: Value,Age: Aged 32 years; measures: Value,Age: Aged 33 years; measures: Value,Age: Aged 34 years; measures: Value,Age: Aged 35 to 49 years; measures: Value,Age: Aged 35 years; measures: Value,Age: Aged 36 years; measures: Value,Age: Aged 37 years; measures: Value,Age: Aged 38 years; measures: Value,Age: Aged 39 years; measures: Value,Age: Aged 40 years; measures: Value,Age: Aged 41 years; measures: Value,Age: Aged 42 years; measures: Value,Age: Aged 43 years; measures: Value,Age: Aged 44 years; measures: Value,Age: Aged 45 years; measures: Value,Age: Aged 46 years; measures: Value,Age: Aged 47 years; measures: Value,Age: Aged 48 years; measures: Value,Age: Aged 49 years; measures: Value,Age: Aged 50 to 64 years; measures: Value,Age: Aged 50 years; measures: Value,Age: Aged 51 years; measures: Value,Age: Aged 52 years; measures: Value,Age: Aged 53 years; measures: Value,Age: Aged 54 years; measures: Value,Age: Aged 55 years; measures: Value,Age: Aged 56 years; measures: Value,Age: Aged 57 years; measures: Value,Age: Aged 58 years; measures: Value,Age: Aged 59 years; measures: Value,Age: Aged 60 years; measures: Value,Age: Aged 61 years; measures: Value,Age: Aged 62 years; measures: Value,Age: Aged 63 years; measures: Value,Age: Aged 64 years; measures: Value,Age: Aged 65 to 74 years; measures: Value,Age: Aged 65 years; measures: Value,Age: Aged 66 years; measures: Value,Age: Aged 67 years; measures: Value,Age: Aged 68 years; measures: Value,Age: Aged 69 years; measures: Value,Age: Aged 70 years; measures: Value,Age: Aged 71 years; measures: Value,Age: Aged 72 years; measures: Value,Age: Aged 73 years; measures: Value,Age: Aged 74 years; measures: Value,Age: Aged 75 to 84 years; measures: Value,Age: Aged 75 years; measures: Value,Age: Aged 76 years; measures: Value,Age: Aged 77 years; measures: Value,Age: Aged 78 years; measures: Value,Age: Aged 79 years; measures: Value,Age: Aged 80 years; measures: Value,Age: Aged 81 years; measures: Value,Age: Aged 82 years; measures: Value,Age: Aged 83 years; measures: Value,Age: Aged 84 years; measures: Value,Age: Aged 85 years and over; measures: Value,Age: Aged 85 years; measures: Value,Age: Aged 86 years; measures: Value,Age: Aged 87 years; measures: Value,Age: Aged 88 years; measures: Value,Age: Aged 89 years; measures: Value,Age: Aged 90 years; measures: Value,Age: Aged 91 years; measures: Value,Age: Aged 92 years; measures: Value,Age: Aged 93 years; measures: Value,Age: Aged 94 years; measures: Value,Age: Aged 95 years; measures: Value,Age: Aged 96 years; measures: Value,Age: Aged 97 years; measures: Value,Age: Aged 98 years; measures: Value,Age: Aged 99 years; measures: Value,Age: Aged 100 years and over; measures: Value
2021,Bolton,E08000001,295961,18458,3543,3731,3605,3686,3893,20434,3840,4035,4069,4220,4270,24782,4217,4249,4199,4132,4020,3965,14354,3902,3898,3414,3140,16638,3021,3225,3373,3473,3546,37809,3346,3471,3516,3643,3792,4085,3924,4043,4110,3879,57221,4202,4045,3946,3992,3757,3987,3997,3565,3536,3423,3472,3591,3730,3903,4075,55544,4025,4012,4011,4020,4055,4079,3987,3847,3673,3625,3477,3285,3193,3176,3079,28061,2769,2839,2811,2770,2682,2608,2829,2723,3063,2967,16867,2139,2236,2057,1950,1702,1506,1484,1416,1318,1059,5793,965,852,693,661,571,478,407,304,224,189,142,99,63,43,50,52
2021,Bury,E08000002,193851,11159,2125,2180,2334,2201,2319,12489,2447,2426,2437,2586,2593,15329,2639,2560,2616,2576,2460,2478,8754,2510,2391,2099,1754,9545,1648,1776,1982,2031,2108,25011,2062,2179,2283,2479,2531,2681,2653,2681,2722,2740,37922,2697,2683,2634,2597,2749,2568,2517,2492,2235,2263,2302,2483,2389,2648,2665,38195,2660,2633,2699,2678,2774,2731,2786,2732,2674,2539,2429,2401,2231,2177,2051,19398,1901,1834,1970,1914,1810,1820,1887,2012,2143,2107,11826,1506,1612,1512,1281,1101,1063,1099,957,914,781,4223,777,615,544,469,377,332,276,210,161,128,96,72,49,37,28,52
2021,Manchester,E08000003,551943,34378,6581,7057,6819,6782,7139,36562,7133,7241,7311,7405,7472,43040,7429,7358,7269,7261,7027,6696,35722,6645,6328,9288,13461,61887,13837,13053,12141,11562,11294,100584,10737,10673,10587,10358,10228,10278,9812,9493,9539,8879,108897,9015,8709,8187,8209,7932,7950,7654,7137,6635,6402,6385,6282,6175,6089,6136,78705,6206,6075,6243,5887,5959,5690,5712,5232,5188,4871,4681,4567,4161,4190,4043,30299,3650,3507,3164,3187,2974,2982,2773,2724,2768,2570,15895,1983,2062,1876,1663,1622,1564,1395,1326,1278,1126,5974,1018,841,715,673,616,426,391,339,232,214,156,116,90,46,42,59
2021,Oldham,E08000004,242081,16005,2980,3130,3248,3268,3379,17445,3405,3509,3340,3715,3476,21603,3582,3792,3490,3656,3548,3535,12719,3492,3420,2968,2839,14133,2689,2721,2937,2794,2992,31695,2927,2899,3051,3063,3035,3302,3347,3398,3398,3275,46131,3348,3335,3220,3203,3088,3324,3263,2973,2815,2718,2886,2874,2879,3075,3130,43742,3368,3245,3197,3096,3132,3155,3148,2999,2822,2934,2830,2731,2403,2396,2286,21455,2233,2212,2184,2104,2086,1969,2052,2087,2350,2178,12941,1595,1644,1705,1392,1254,1128,1173,1112,1049,889,4212,727,628,581,428,424,367,295,202,156,133,88,58,35,31,20,39
2021,Rochdale,E08000005,223775,14642,2788,2898,2925,2887,3144,15475,3042,2963,3116,3143,3211,18712,3139,3169,3222,3194,3004,2984,10473,2991,2807,2524,2151,12201,2221,2345,2486,2493,2656,29992,2566,2799,2834,2890,2987,3192,3198,3130,3286,3110,43427,3174,3135,2980,3067,2961,3005,3110,2738,2647,2632,2641,2732,2690,2873,3042,41986,3073,2881,3039,2972,3145,2970,2916,2808,2909,2779,2690,2559,2493,2439,2313,21187,2285,2154,2217,2161,2039,2021,2024,2043,2139,2104,11574,1498,1558,1421,1347,1159,1030,1001,951,828,781,4106,708,599,531,444,378,344,305,200,179,145,89,63,37,40,19,25
2021,Salford,E08000006,269927,17258,3543,3524,3487,3329,3375,16713,3448,3255,3305,3350,3355,19030,3474,3185,3209,3184,3007,2971,12523,2834,2807,3021,3861,22659,4183,4066,4685,4730,4995,50876,5242,5148,5209,5476,5360,5204,5037,5101,4725,4374,51795,4427,4334,4052,4005,3653,3638,3527,3180,2986,3013,3002,2899,2938,2962,3179,43151,3142,2924,3176,3083,3113,3101,2987,3155,3000,2804,2670,2618,2562,2507,2309,19652,2072,1921,2041,1881,1765,1901,1925,1920,2132,2094,11892,1481,1481,1378,1361,1185,1094,1114,1038,915,845,4378,776,667,550,460,423,372,285,204,188,146,94,71,46,34,23,39
2021,Stockport,E08000007,294776,16575,3183,3175,3375,3345,3497,18057,3628,3452,3716,3716,3545,21214,3691,3594,3597,3541,3504,3287,11476,3433,3156,2730,2157,13369,2158,2382,2763,2958,3108,37001,3080,3190,3431,3422,3820,3999,3907,3961,4254,3937,59088,4168,4119,4052,4144,3916,4182,4196,3876,3662,3585,3645,3704,3683,3898,4258,58721,4133,3917,4236,4043,4233,4160,4280,4016,4041,3961,3781,3642,3497,3462,3319,30950,3273,3060,3154,2962,2848,2971,2918,3027,3391,3346,20063,2437,2598,2275,2291,1881,1847,1838,1696,1663,1537,8262,1310,1208,1016,942,821,727,568,456,357,259,198,127,106,66,38,63
2021,Tameside,E08000008,231063,13664,2527,2708,2794,2790,2845,14701,2800,2813,2952,3055,3081,17569,3122,3060,2962,2879,2850,2696,9755,2682,2577,2407,2089,11907,2037,2136,2468,2499,2767,31518,2779,2830,3021,3038,3284,3398,3283,3306,3432,3147,44780,3446,3244,3063,3107,2879,3109,2932,2824,2654,2856,2708,2791,2882,3004,3281,46660,3305,3228,3331,3259,3481,3329,3445,3199,3248,3077,3144,2704,2751,2719,2440,22806,2432,2110,2245,2229,2234,2136,2192,2283,2480,2465,13302,1655,1814,1656,1555,1292,1170,1161,1096,1035,868,4401,815,667,533,498,431,355,295,212,151,134,102,67,43,42,26,30
2021,Trafford,E08000009,235063,13466,2383,2546,2740,2756,3041,16009,3119,3046,3210,3221,3413,19426,3472,3313,3306,3202,3138,2995,10215,3007,2893,2491,1824,10531,1675,1928,2175,2347,2406,27470,2359,2404,2441,2619,2744,2877,2865,2979,3089,3093,51209,3412,3408,3600,3372,3545,3726,3691,3473,3289,3200,3203,3234,3239,3260,3557,45440,3411,3343,3274,3236,3201,3290,3356,3270,3144,2861,2817,2712,2635,2567,2323,21491,2316,2232,2173,2057,2049,2062,2094,2117,2240,2151,13967,1644,1831,1652,1555,1237,1267,1330,1244,1134,1073,5839,967,865,730,707,528,485,403,319,222,190,130,85,74,38,44,52
2021,Wigan,E08000010,329329,17782,3356,3431,3442,3784,3769,19247,3759,3732,3896,3793,4067,23608,4049,4047,4025,3911,3755,3821,13625,3837,3652,3294,2842,17058,3022,3243,3425,3510,3858,43689,3809,3952,4185,4387,4501,4625,4565,4605,4557,4503,62754,4350,4467,4398,4179,4280,4270,4112,3916,3650,3697,3766,4070,4098,4484,5017,67966,5039,4907,5042,4964,5032,4792,4903,4619,4505,4429,4314,3940,4045,3786,3649,35245,3426,3386,3505,3312,3276,3369,3530,3576,4044,3821,21945,2917,2970,2707,2671,2217,1934,1905,1718,1531,1375,6410,1152,1048,814,671,659,498,406,296,238,213,140,106,60,39,30,40
