date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton 001,E02000984,7678,3886,3792
2021,Bolton 002,E02000985,7417,3861,3556
2021,Bolton 003,E02000986,8397,4324,4073
2021,Bolton 004,E02000987,7297,3775,3522
2021,Bolton 005,E02000988,9043,4560,4483
2021,Bolton 006,E02000989,8350,4341,4009
2021,Bolton 007,E02000990,8352,4219,4133
2021,Bolton 008,E02000991,7811,4001,3810
2021,Bolton 009,E02000992,6303,3243,3060
2021,Bolton 010,E02000993,8434,4373,4061
2021,Bolton 011,E02000994,9047,4477,4570
2021,Bolton 012,E02000995,8348,4274,4074
2021,Bolton 013,E02000996,8575,4439,4136
2021,Bolton 014,E02000997,6478,3326,3152
2021,Bolton 015,E02000998,10434,5100,5334
2021,Bolton 016,E02000999,8530,4110,4420
2021,Bolton 017,E02001000,9178,4520,4658
2021,Bolton 018,E02001001,8858,4463,4395
2021,Bolton 019,E02001002,9728,4969,4759
2021,Bolton 020,E02001003,7354,3736,3618
2021,Bolton 021,E02001004,9343,4564,4779
2021,Bolton 022,E02001005,9845,4951,4894
2021,Bolton 023,E02001006,8471,4306,4165
2021,Bolton 024,E02001007,10065,5157,4908
2021,Bolton 025,E02001008,9155,4685,4470
2021,Bolton 026,E02001009,7481,3776,3705
2021,Bolton 027,E02001010,6524,3282,3242
2021,Bolton 028,E02001011,9747,4910,4837
2021,Bolton 029,E02001012,9802,4974,4828
2021,Bolton 030,E02001013,6106,3145,2961
2021,Bolton 031,E02001014,8465,4275,4190
2021,Bolton 032,E02001015,8204,4190,4014
2021,Bolton 033,E02001016,8706,4441,4265
2021,Bolton 034,E02001017,10773,5546,5227
2021,Bolton 035,E02001018,7662,3855,3807
2021,Bury 001,E02001019,9040,4570,4470
2021,Bury 002,E02001020,5917,3097,2820
2021,Bury 003,E02001021,7504,3816,3688
2021,Bury 004,E02001022,8071,4141,3930
2021,Bury 005,E02001023,5695,2908,2787
2021,Bury 006,E02001024,8058,4155,3903
2021,Bury 007,E02001025,8152,4213,3939
2021,Bury 008,E02001026,11350,5626,5724
2021,Bury 009,E02001027,7282,3694,3588
2021,Bury 010,E02001028,7333,3753,3580
2021,Bury 011,E02001029,7777,3914,3863
2021,Bury 012,E02001030,6180,3178,3002
2021,Bury 013,E02001031,6877,3508,3369
2021,Bury 014,E02001032,7675,3938,3737
2021,Bury 015,E02001033,6183,3156,3027
2021,Bury 016,E02001034,8617,4327,4290
2021,Bury 017,E02001035,7218,3684,3534
2021,Bury 018,E02001036,7484,3876,3608
2021,Bury 019,E02001037,7215,3622,3593
2021,Bury 020,E02001038,5679,2891,2788
2021,Bury 021,E02001039,8602,4539,4063
2021,Bury 022,E02001040,6404,3159,3245
