date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton,E08000001,295963,150056,145907
2021,Bury,E08000002,193851,98741,95110
2021,Manchester,E08000003,551938,277877,274061
2021,Oldham,E08000004,242089,123766,118323
2021,Rochdale,E08000005,223773,114055,109718
2021,Salford,E08000006,269923,134389,135534
2021,Stockport,E08000007,294773,151373,143400
2021,Tameside,E08000008,231073,117797,113276
2021,Trafford,E08000009,235052,120644,114408
2021,Wigan,E08000010,329330,166333,162997
2021,Birmingham,E08000025,1144919,584496,560423
2021,Coventry,E08000026,345324,173137,172187
2021,Dudley,E08000027,323488,164471,159017
2021,Sandwell,E08000028,341832,173577,168255
2021,Solihull,E08000029,216240,111280,104960
2021,Walsall,E08000030,284124,145467,138657
2021,Wolverhampton,E08000031,263727,134175,129552
