date,geography,geography code,Household deprivation: Total: All households; measures: Value,Household deprivation: Household is not deprived in any dimension; measures: Value,Household deprivation: Household is deprived in one dimension; measures: Value,Household deprivation: Household is deprived in two dimensions; measures: Value,Household deprivation: Household is deprived in three dimensions; measures: Value,Household deprivation: Household is deprived in four dimensions; measures: Value
2021,Bolton 001,E02000984,3205,2057,915,216,17,0
2021,Bolton 002,E02000985,3220,1779,1067,322,51,1
2021,Bolton 003,E02000986,3647,1913,1238,411,81,4
2021,Bolton 004,E02000987,3462,1503,1144,610,200,5
2021,Bolton 005,E02000988,3640,1491,1263,705,174,7
2021,Bolton 006,E02000989,3744,2016,1256,407,63,2
2021,Bolton 007,E02000990,3691,2032,1156,420,78,5
2021,Bolton 008,E02000991,3250,1583,1103,440,121,3
2021,Bolton 009,E02000992,2760,1476,873,322,85,4
2021,Bolton 010,E02000993,3450,1331,1119,745,244,11
2021,Bolton 011,E02000994,3317,903,1203,826,365,20
2021,Bolton 012,E02000995,3424,1683,1106,462,167,6
2021,Bolton 013,E02000996,3381,1052,1159,798,356,16
2021,Bolton 014,E02000997,2722,1418,881,330,90,3
2021,Bolton 015,E02000998,3702,1277,1370,769,260,26
2021,Bolton 016,E02000999,3635,894,1293,998,432,18
2021,Bolton 017,E02001000,4065,1662,1415,775,199,14
2021,Bolton 018,E02001001,3209,1496,1076,473,154,10
2021,Bolton 019,E02001002,4074,1696,1460,708,195,15
2021,Bolton 020,E02001003,2829,1614,910,260,44,1
2021,Bolton 021,E02001004,3059,712,1160,838,325,24
2021,Bolton 022,E02001005,3390,1175,1204,728,255,28
2021,Bolton 023,E02001006,2759,871,1040,614,225,9
2021,Bolton 024,E02001007,4390,1936,1558,712,179,5
2021,Bolton 025,E02001008,2830,771,1075,690,274,20
2021,Bolton 026,E02001009,2980,1144,1094,588,145,9
2021,Bolton 027,E02001010,2487,923,900,490,166,8
2021,Bolton 028,E02001011,4233,2367,1315,471,76,4
2021,Bolton 029,E02001012,2982,1140,1110,583,136,13
2021,Bolton 030,E02001013,2498,1313,802,322,60,1
