date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Bolton 001A,E01004768,1595,1530,2,2,9,4,7,6,10,11,6,8,0
2021,Bolton 001B,E01004803,1619,1559,1,9,9,7,5,0,10,8,3,7,1
2021,Bolton 001C,E01004804,1466,1423,3,3,6,3,2,6,13,3,3,1,0
2021,Bolton 001D,E01004807,1376,1332,1,4,2,10,2,5,8,0,8,4,0
2021,Bolton 001E,E01004808,1619,1568,1,6,8,5,4,5,9,1,5,4,3
2021,Bolton 002A,E01004788,1358,1314,3,3,5,6,4,4,8,1,5,1,4
2021,Bolton 002B,E01004790,1420,1356,1,6,8,3,5,5,8,4,8,7,9
2021,Bolton 002C,E01004805,1566,1520,1,5,6,5,4,6,10,1,3,3,2
2021,Bolton 002D,E01004806,1516,1479,2,1,6,3,2,5,6,2,0,6,4
2021,Bolton 002E,E01004810,1556,1503,1,2,6,7,7,9,15,1,0,4,1
2021,Bolton 003A,E01004769,1504,1412,5,5,13,5,6,9,20,2,3,20,4
2021,Bolton 003B,E01004770,1521,1379,0,5,12,9,11,21,35,3,15,20,11
2021,Bolton 003C,E01004771,1686,1586,0,3,10,12,11,18,17,1,7,20,1
2021,Bolton 003D,E01004773,1965,1734,4,4,28,17,21,30,49,12,29,25,12
2021,Bolton 003E,E01004809,1723,1671,0,3,7,6,6,10,10,4,4,1,1
2021,Bolton 004A,E01004777,1723,1639,3,7,2,5,2,5,32,8,12,8,0
2021,Bolton 004B,E01004881,1480,1426,0,2,1,2,1,7,24,5,1,8,3
2021,Bolton 004C,E01004888,1285,1230,4,1,2,4,1,3,20,6,6,6,2
2021,Bolton 004D,E01004889,1430,1372,1,5,8,2,0,7,22,1,7,4,1
2021,Bolton 004E,E01004890,1378,1306,0,1,5,4,2,10,19,5,13,11,2
2021,Bolton 005A,E01004766,1660,1453,2,5,14,14,12,30,50,12,20,37,11
2021,Bolton 005B,E01004767,1890,1553,4,6,35,22,13,26,81,33,24,63,30
2021,Bolton 005C,E01004772,1846,1624,0,6,7,15,35,21,69,19,26,20,4
2021,Bolton 005D,E01004774,1764,1599,0,4,16,16,5,22,49,10,13,13,17
2021,Bolton 005E,E01004824,1882,1173,1,7,122,103,72,88,120,24,49,75,48
2021,Bolton 006A,E01004784,1192,1166,0,3,5,4,1,0,8,1,1,3,0
2021,Bolton 006B,E01004785,1526,1449,2,3,6,7,3,4,33,9,7,3,0
2021,Bolton 006C,E01004786,1450,1402,3,5,6,1,4,4,12,4,4,4,1
2021,Bolton 006D,E01004789,1452,1429,1,1,5,0,2,4,6,3,1,0,0
2021,Bolton 006E,E01004791,1323,1290,2,5,4,3,0,6,4,1,3,4,1
2021,Bolton 006F,E01004792,1408,1365,2,3,4,6,2,0,8,6,5,4,3
2021,Bolton 007A,E01004779,1632,1552,0,4,5,9,4,9,19,9,5,13,3
2021,Bolton 007B,E01004781,2134,1878,0,2,16,14,7,27,73,23,27,36,31
2021,Bolton 007C,E01004882,1350,1292,0,3,3,7,4,6,17,3,4,10,1
2021,Bolton 007D,E01004883,1761,1653,2,3,4,3,5,6,21,9,15,29,11
2021,Bolton 007E,E01004884,1477,1426,0,5,5,4,4,9,7,5,5,6,1
2021,Bolton 008A,E01004864,1464,1314,1,3,9,6,5,14,39,9,7,38,19
2021,Bolton 008B,E01004867,1550,1128,0,4,16,18,24,40,91,36,70,101,22
2021,Bolton 008C,E01004921,1633,1472,5,2,10,13,9,15,25,22,18,38,4
2021,Bolton 008D,E01004924,1573,1483,1,6,11,13,15,15,14,4,5,6,0
2021,Bolton 008E,E01004925,1588,1427,2,2,20,9,10,14,36,10,26,28,4
2021,Bolton 009A,E01004778,1189,1163,0,1,2,4,1,7,8,1,0,1,1
2021,Bolton 009B,E01004780,2289,2196,2,4,5,6,5,10,32,8,11,10,0
2021,Bolton 009C,E01004782,1348,1318,0,1,1,0,0,5,5,3,7,6,2
2021,Bolton 009D,E01004783,1477,1441,0,2,5,2,1,6,10,2,2,5,1
2021,Bolton 010A,E01004802,1973,1627,0,3,7,10,4,23,213,38,34,13,1
2021,Bolton 010B,E01004926,1431,1255,4,6,1,8,5,16,53,12,32,39,0
2021,Bolton 010C,E01004927,2301,1950,1,3,9,9,6,33,100,57,70,54,9
2021,Bolton 010D,E01004929,2729,2344,2,2,15,16,23,28,130,29,57,51,32
2021,Bolton 011A,E01004820,1788,1074,1,7,34,41,42,50,159,91,123,115,51
2021,Bolton 011B,E01004825,1972,1190,3,5,56,92,70,70,131,75,85,126,69
2021,Bolton 011C,E01004826,1662,1023,1,3,24,44,26,46,121,82,76,167,49
2021,Bolton 011D,E01004865,1582,1267,2,1,16,26,20,34,84,24,40,51,17
2021,Bolton 011E,E01004866,2037,1365,1,10,31,42,23,93,167,71,111,104,19
2021,Bolton 012A,E01004840,1736,1590,0,6,19,17,7,28,35,7,4,16,7
2021,Bolton 012B,E01004841,1745,1509,1,3,7,14,6,15,104,24,41,18,3
2021,Bolton 012C,E01004842,1715,1602,2,11,17,15,8,20,21,5,4,4,6
2021,Bolton 012D,E01004919,1513,1395,1,7,9,8,16,4,30,8,13,14,8
2021,Bolton 012E,E01004920,1640,1496,3,2,17,5,4,12,52,11,12,19,7
2021,Bolton 013A,E01004787,1708,1544,1,6,5,7,2,9,48,22,32,26,6
2021,Bolton 013B,E01004793,1747,1559,2,5,9,1,5,12,65,19,38,29,3
2021,Bolton 013C,E01004794,2119,1840,2,2,8,6,6,9,114,32,52,43,5
2021,Bolton 013D,E01004795,1503,1414,1,1,6,4,2,8,30,4,19,3,11
2021,Bolton 013E,E01004797,1489,1242,0,2,5,2,3,7,94,42,53,37,2
2021,Bolton 014A,E01004775,2326,2144,0,3,20,13,10,18,46,14,6,38,14
2021,Bolton 014B,E01004885,1425,1309,0,7,7,16,7,13,24,1,21,11,9
2021,Bolton 014C,E01004886,1398,1299,3,4,9,10,4,12,33,9,10,3,2
2021,Bolton 014D,E01004887,1329,1238,3,6,0,5,6,3,42,8,7,7,4
2021,Bolton 015A,E01004868,2161,1349,0,1,39,37,36,76,125,78,151,191,78
2021,Bolton 015B,E01004869,2188,1307,1,5,25,31,8,29,146,66,149,362,59
2021,Bolton 015C,E01004870,2015,1269,5,12,65,69,34,53,125,59,110,153,61
2021,Bolton 015D,E01004871,1815,930,2,6,56,53,28,57,164,77,106,248,88
2021,Bolton 015E,E01004922,2253,1613,3,8,23,28,13,49,143,70,144,132,27
2021,Bolton 016B,E01004822,1851,1098,3,7,69,60,54,72,167,68,136,78,39
2021,Bolton 016C,E01004823,2047,1364,1,9,41,43,39,74,160,87,101,97,31
2021,Bolton 016D,E01004848,2091,1393,2,5,35,28,16,31,206,64,141,101,69
2021,Bolton 016E,E01033217,1228,770,3,6,9,17,12,20,94,91,64,113,29
2021,Bolton 016F,E01033220,1314,862,4,5,6,11,6,29,128,71,74,86,32
2021,Bolton 017A,E01004818,1723,1096,4,6,33,44,21,51,119,42,82,138,87
2021,Bolton 017B,E01004819,1519,1203,3,6,47,37,16,24,52,16,46,54,15
2021,Bolton 017C,E01004928,1379,1224,0,0,7,3,5,7,35,16,32,35,15
2021,Bolton 017D,E01004930,1515,1424,1,2,9,7,5,14,30,5,7,8,3
2021,Bolton 017E,E01004931,1564,1445,2,1,4,3,5,5,46,14,14,17,8
2021,Bolton 017F,E01004932,1482,1304,3,2,20,7,13,12,34,17,26,34,10
2021,Bolton 018A,E01004834,1747,1169,0,4,33,41,27,50,102,49,118,127,27
2021,Bolton 018B,E01004838,2006,1259,1,3,32,25,20,42,166,78,120,234,26
2021,Bolton 018C,E01004843,1560,1387,2,6,21,14,11,29,33,6,15,23,13
2021,Bolton 018D,E01004845,1872,1493,3,11,35,44,23,50,77,27,58,35,16
2021,Bolton 018E,E01004923,1677,1327,1,6,34,28,22,29,64,17,44,77,28
2021,Bolton 019A,E01004796,1577,1442,1,3,9,7,6,11,43,17,22,9,7
2021,Bolton 019B,E01004798,1612,1483,3,2,9,4,4,9,43,15,26,11,3
2021,Bolton 019C,E01004799,1272,1185,3,9,19,9,5,7,19,3,6,6,1
2021,Bolton 019D,E01004800,1293,1232,0,7,18,11,0,7,8,0,3,7,0
2021,Bolton 019E,E01004801,1675,1521,0,5,5,2,10,11,44,20,27,21,9
2021,Bolton 019F,E01004917,2297,2141,2,3,5,5,10,9,49,15,24,23,11
2021,Bolton 020A,E01004835,1460,1152,1,6,54,73,27,31,56,14,15,18,13
2021,Bolton 020B,E01004836,1745,1363,5,8,41,56,20,32,82,26,27,53,32
2021,Bolton 020C,E01004837,1562,1254,3,4,66,64,32,46,45,19,8,20,1
2021,Bolton 020D,E01004844,1572,1338,2,5,42,44,21,38,42,10,16,7,7
2021,Bolton 020E,E01004897,1013,922,1,3,11,14,7,10,19,11,8,3,4
2021,Bolton 021A,E01004827,1983,1097,0,0,14,30,23,39,251,85,149,249,46
2021,Bolton 021B,E01004849,1794,871,1,13,92,79,50,68,160,65,240,117,38
2021,Bolton 021C,E01004850,2295,1261,1,5,60,68,77,77,252,122,182,159,31
2021,Bolton 021D,E01004851,1691,837,1,6,119,69,45,68,194,81,92,131,48
2021,Bolton 021E,E01004853,1578,862,0,6,57,74,44,83,146,69,74,141,22
2021,Bolton 022A,E01004811,1845,1049,1,6,58,30,25,58,222,76,97,121,102
2021,Bolton 022B,E01004812,2402,1285,0,2,45,48,25,77,238,107,182,308,85
2021,Bolton 022C,E01004813,1749,1141,0,5,39,48,41,42,151,61,84,109,28
2021,Bolton 022D,E01004815,1785,1149,0,4,57,41,32,55,166,71,93,87,30
2021,Bolton 022E,E01004817,2063,1420,4,8,33,51,13,40,123,34,92,169,76
2021,Bolton 023A,E01004828,2017,1055,0,4,31,45,31,65,336,87,119,191,53
2021,Bolton 023B,E01004829,1457,747,0,3,59,78,50,72,158,43,86,127,34
2021,Bolton 023C,E01004832,1639,1272,1,2,11,32,13,24,101,24,60,80,19
2021,Bolton 023D,E01004854,1658,849,0,8,78,110,82,58,174,48,107,109,35
2021,Bolton 023E,E01004878,1697,1125,2,5,43,34,40,57,125,42,101,94,29
2021,Bolton 024A,E01004911,1536,1466,2,4,5,2,4,4,20,7,9,6,7
2021,Bolton 024B,E01004912,1433,1370,3,5,16,3,6,3,9,2,6,10,0
2021,Bolton 024C,E01004913,1956,1866,0,1,8,10,5,11,38,1,5,7,4
2021,Bolton 024D,E01004914,1170,1134,2,8,9,3,2,1,5,3,1,1,1
2021,Bolton 024E,E01004915,1274,1221,3,2,12,5,5,2,6,2,8,4,4
2021,Bolton 024F,E01004916,1466,1394,3,4,6,8,3,9,14,2,11,9,3
2021,Bolton 024G,E01004918,1227,1180,0,3,8,6,2,5,13,2,7,1,0
2021,Bolton 025A,E01004846,1411,818,1,1,27,23,19,44,134,82,100,117,45
2021,Bolton 025B,E01004847,2282,1330,1,3,38,33,49,108,260,92,191,139,38
2021,Bolton 025C,E01004852,1731,997,1,10,88,90,59,65,158,40,111,77,35
2021,Bolton 025D,E01004877,2075,1289,0,5,22,22,30,73,327,95,80,104,28
2021,Bolton 025E,E01004879,1656,1085,0,2,17,19,26,64,224,56,56,86,21
2021,Bolton 026A,E01004830,1754,1226,0,7,18,21,12,30,96,44,86,161,53
2021,Bolton 026B,E01004831,1825,1401,0,3,24,29,21,36,91,31,68,74,47
2021,Bolton 026C,E01004833,1532,1348,1,1,23,29,11,21,39,14,8,21,16
2021,Bolton 026D,E01004839,2369,1836,1,2,8,15,17,29,217,53,73,96,22
2021,Bolton 027A,E01004814,1610,1217,5,5,21,33,29,47,65,22,79,67,20
2021,Bolton 027B,E01004855,1481,1305,0,3,12,7,7,10,28,18,24,38,29
2021,Bolton 027C,E01004856,1537,1189,0,4,11,10,18,26,81,26,48,93,31
2021,Bolton 027D,E01004857,1903,1469,0,6,17,27,24,28,97,62,48,85,40
2021,Bolton 028A,E01004891,1540,1476,2,3,2,3,2,9,23,2,4,11,3
2021,Bolton 028B,E01004893,1525,1450,4,5,13,8,5,10,8,2,2,9,9
2021,Bolton 028C,E01004894,1926,1826,0,2,3,3,11,14,20,6,8,13,20
2021,Bolton 028E,E01004901,1766,1692,1,3,13,5,4,9,17,11,1,7,3
2021,Bolton 028F,E01033218,1575,1491,0,0,5,4,4,11,29,8,14,7,2
2021,Bolton 028G,E01033219,1421,1336,3,3,15,8,5,6,18,9,7,7,4
2021,Bolton 029A,E01004816,2944,1921,0,10,35,35,68,121,303,92,97,145,117
2021,Bolton 029B,E01004872,1698,1364,2,3,6,17,13,16,97,24,40,90,26
2021,Bolton 029C,E01004873,2021,1495,0,2,9,7,10,62,233,60,50,70,23
2021,Bolton 029D,E01004875,1670,1483,2,5,9,7,20,19,57,24,21,19,4
2021,Bolton 029E,E01004880,1482,1093,3,5,17,33,23,36,87,48,37,54,46
2021,Bolton 030A,E01004892,1582,1513,2,3,3,4,6,4,9,21,8,2,7
2021,Bolton 030B,E01004896,1315,1272,2,5,9,4,3,5,8,0,7,0,0
2021,Bolton 030C,E01004899,1597,1333,0,2,19,34,18,22,88,21,38,16,6
2021,Bolton 030D,E01004900,1615,1312,1,2,40,38,25,32,60,17,29,44,15
2021,Bolton 031A,E01004776,1824,1735,0,2,6,3,2,14,24,12,12,9,5
2021,Bolton 031B,E01004895,1325,1277,1,2,7,5,5,8,4,4,7,3,2
2021,Bolton 031C,E01004936,2170,2063,0,3,6,7,7,8,31,15,19,7,4
2021,Bolton 031D,E01004938,1548,1451,1,1,2,4,3,4,46,8,8,10,10
2021,Bolton 031E,E01004939,1600,1538,0,4,3,6,4,4,18,8,5,4,6
2021,Bolton 032A,E01004858,1586,1417,1,2,14,5,9,10,43,12,26,36,11
2021,Bolton 032B,E01004859,1506,1336,4,1,9,5,5,17,43,10,43,25,8
2021,Bolton 032C,E01004860,1469,1363,0,3,5,1,4,2,27,4,31,22,7
2021,Bolton 032D,E01004902,1849,1633,4,6,5,4,6,8,66,12,52,41,12
2021,Bolton 032E,E01004906,1795,1627,3,2,3,1,5,9,54,11,27,40,13
2021,Bolton 033A,E01004861,1961,1653,0,1,1,6,8,23,115,33,68,33,20
2021,Bolton 033B,E01004862,1436,1285,1,2,5,7,6,3,64,17,12,31,3
2021,Bolton 033C,E01004863,1589,1402,2,1,3,5,5,14,71,20,15,35,16
2021,Bolton 033D,E01004874,1755,1562,0,1,1,8,5,13,85,7,23,40,10
2021,Bolton 033E,E01004876,1964,1645,0,8,5,8,6,7,76,21,35,105,48
2021,Bolton 034A,E01004903,1445,1399,1,3,5,1,5,3,9,2,8,7,2
2021,Bolton 034B,E01004904,1677,1587,2,23,6,4,4,8,14,6,9,9,5
2021,Bolton 034C,E01004905,1595,1474,0,2,4,8,6,5,46,10,12,19,9
2021,Bolton 034D,E01004907,1310,1233,3,0,3,3,4,5,38,4,7,7,3
2021,Bolton 034E,E01004908,1298,1249,0,0,6,2,4,5,18,3,4,6,1
2021,Bolton 034F,E01004909,1397,1327,1,2,1,2,2,7,34,6,10,3,2
2021,Bolton 034G,E01004910,2052,1945,0,4,6,7,3,10,36,5,17,8,11
2021,Bolton 035A,E01004933,1308,1264,2,3,10,3,4,4,6,2,7,3,0
2021,Bolton 035B,E01004934,1441,1355,0,5,9,13,3,7,28,11,5,3,2
2021,Bolton 035C,E01004935,1836,1752,2,2,9,4,5,18,26,2,5,5,6
2021,Bolton 035D,E01004937,1637,1583,2,2,5,8,5,5,14,6,3,3,1
2021,Bolton 035E,E01004940,1432,1357,2,5,7,4,3,5,25,6,12,6,0
2021,Bury 001A,E01005014,1461,1404,1,1,5,4,1,7,9,6,6,16,1
2021,Bury 001B,E01005015,1495,1425,2,2,3,6,5,6,13,1,9,23,0
2021,Bury 001C,E01005016,1492,1423,1,7,7,8,2,10,19,1,11,2,1
2021,Bury 001D,E01005017,1837,1752,0,3,9,9,8,10,19,6,15,6,0
2021,Bury 001E,E01005018,1533,1475,0,2,4,7,4,3,16,6,7,7,2
2021,Bury 001F,E01005021,1220,1169,2,5,9,1,2,4,17,1,5,5,0
2021,Bury 002A,E01005019,1505,1449,1,2,7,4,3,12,17,2,1,5,2
2021,Bury 002B,E01005023,1278,1227,1,7,8,2,3,7,13,6,2,2,0
2021,Bury 002C,E01005046,1480,1433,1,7,9,3,3,4,5,3,4,7,1
2021,Bury 002D,E01005048,1657,1602,5,5,9,6,6,5,13,1,2,2,1
2021,Bury 003A,E01005020,1361,1326,0,2,9,2,2,3,7,1,3,6,0
2021,Bury 003B,E01005022,1496,1451,1,4,7,1,3,4,14,6,2,2,1
2021,Bury 003C,E01005047,1476,1443,6,2,6,2,5,4,6,1,0,1,0
2021,Bury 003D,E01005049,1644,1580,2,9,7,2,6,12,4,9,2,5,6
2021,Bury 003E,E01005051,1522,1460,3,2,5,7,6,5,27,1,4,2,0
2021,Bury 004A,E01004976,1547,1348,3,6,12,10,22,31,55,17,13,29,1
2021,Bury 004B,E01004977,1708,1574,1,8,10,11,5,20,24,9,12,31,3
2021,Bury 004C,E01004978,1857,1515,3,6,20,26,15,35,72,12,29,96,28
2021,Bury 004D,E01004981,1472,1410,2,5,9,4,0,4,16,4,5,13,0
2021,Bury 004E,E01004982,1488,1407,3,7,11,4,4,4,22,6,3,11,6
2021,Bury 005A,E01004961,1452,1364,2,2,7,6,7,7,22,7,17,10,1
2021,Bury 005B,E01004965,1237,1168,2,6,9,12,6,13,13,3,3,2,0
2021,Bury 005C,E01004966,1815,1610,2,1,6,8,6,13,77,16,39,27,10
2021,Bury 005D,E01004967,1185,1073,2,7,17,17,10,15,28,4,2,7,3
2021,Bury 006A,E01004963,1477,1393,2,10,6,7,5,6,18,6,5,17,2
2021,Bury 006B,E01004968,1486,1427,3,4,8,7,2,6,14,3,3,6,3
2021,Bury 006C,E01005050,2122,2040,1,4,6,2,4,6,39,7,4,4,5
2021,Bury 006D,E01005052,1447,1402,0,2,13,6,2,3,5,2,7,5,0
2021,Bury 006E,E01005053,1527,1471,1,5,9,6,7,5,5,8,3,6,1
2021,Bury 007A,E01004954,1449,1280,2,3,11,6,5,8,31,5,34,44,20
2021,Bury 007B,E01004955,1358,1187,1,2,7,5,9,27,58,13,10,26,13
2021,Bury 007C,E01004956,1774,1525,1,12,8,10,4,11,70,21,56,48,8
