date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Bolton,E08000001,295962,245907,245,740,3277,3321,2483,4233,12588,4458,6982,8637,3091
2021,Bury,E08000002,193851,170444,206,753,1500,1429,1290,2204,6270,2013,3041,3565,1136
2021,Manchester,E08000003,551940,378730,463,2532,5584,4860,5794,14737,48124,16058,25418,31409,18231
2021,Oldham,E08000004,242088,201825,182,635,1823,2681,3517,4510,9508,3074,5657,6455,2221
2021,Rochdale,E08000005,223772,189122,202,733,2151,2513,2419,3220,9398,2859,4297,4928,1930
2021,Salford,E08000006,269924,218617,206,721,1099,1049,1285,2980,14458,5764,8768,10038,4939
2021,Stockport,E08000007,294773,266918,368,1153,2227,2289,2050,3110,7050,2145,2766,3388,1309
2021,Tameside,E08000008,231071,207201,139,659,1723,1487,1501,2089,6610,2151,3035,3303,1173
2021,Trafford,E08000009,235050,200116,355,1477,2552,2211,2114,3867,10045,2515,3500,4168,2130
2021,Wigan,E08000010,329330,308857,165,437,772,826,814,1419,6129,2026,3177,3298,1410
2021,Birmingham,E08000025,1144919,838959,1387,8950,23257,20672,19133,32348,79376,23717,36779,40584,19757
2021,Coventry,E08000026,345322,248991,485,2749,5643,3800,2718,6531,25323,7975,13365,17161,10581
2021,Dudley,E08000027,323488,297930,187,746,2177,1717,1453,2752,7007,1914,3071,3329,1205
2021,Sandwell,E08000028,341832,261213,181,1572,5825,4651,3806,7179,23450,7369,11255,11011,4320
2021,Solihull,E08000029,216242,193991,340,1257,2471,2040,1383,2245,5150,1539,2336,2455,1035
2021,Walsall,E08000030,284124,242162,167,939,3750,2985,2416,3873,11276,3661,5607,5230,2058
2021,Wolverhampton,E08000031,263727,203312,249,1647,6483,3251,1947,4247,15564,5200,8221,9469,4137
