date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Bolton 001,E02000984,7680,7412,8,25,35,29,20,25,51,24,24,23,4
2021,Bolton 002,E02000985,7416,7172,8,17,32,24,23,29,47,10,16,22,16
2021,Bolton 003,E02000986,8397,7781,9,22,70,49,55,87,131,22,57,84,30
2021,Bolton 004,E02000987,7300,6973,7,16,18,18,7,32,120,23,39,40,7
2021,Bolton 005,E02000988,9044,7402,6,27,194,172,138,184,370,99,132,210,110
2021,Bolton 006,E02000989,8349,8101,9,21,30,20,13,19,71,24,19,18,4
2021,Bolton 007,E02000990,8354,7801,2,17,35,37,24,57,137,47,56,94,47
2021,Bolton 008,E02000991,7810,6824,9,19,66,59,62,99,206,80,127,209,50
2021,Bolton 009,E02000992,6305,6118,2,11,14,12,7,28,55,14,18,22,4
2021,Bolton 010,E02000993,8437,7176,7,14,31,43,36,101,496,136,198,157,42
2021,Bolton 011,E02000994,9046,5919,7,26,164,246,180,294,662,342,435,564,207
2021,Bolton 012,E02000995,8345,7592,7,26,70,59,38,79,241,56,73,71,33
2021,Bolton 013,E02000996,8577,7599,6,19,32,22,18,45,354,119,196,138,29
2021,Bolton 014,E02000997,6477,5990,7,20,37,44,27,45,143,32,44,59,29
2021,Bolton 015,E02000998,10434,6468,10,32,208,218,117,262,705,351,662,1086,315
2021,Bolton 016,E02000999,8529,5486,13,32,160,159,128,226,754,381,516,475,199
2021,Bolton 017,E02001000,9178,7697,13,16,119,101,65,113,316,109,207,285,137
2021,Bolton 018,E02001001,8857,6632,8,32,153,153,103,200,442,174,354,496,110
2021,Bolton 019,E02001002,9728,9004,9,29,65,38,37,55,206,70,109,76,30
2021,Bolton 020,E02001003,7353,6029,12,25,214,251,108,157,246,80,74,101,56
2021,Bolton 021,E02001004,9343,4931,3,32,342,318,237,335,1001,425,737,797,185
2021,Bolton 022,E02001005,9846,6044,7,25,233,220,135,272,899,350,547,793,321
2021,Bolton 023,E02001006,8471,5046,3,22,224,297,217,277,894,243,473,602,173
2021,Bolton 024,E02001007,10063,9634,13,27,64,38,27,35,104,18,47,35,21
2021,Bolton 025,E02001008,9156,5518,4,21,192,189,182,354,1103,365,539,523,166
2021,Bolton 026,E02001009,7480,5811,3,13,74,94,60,114,444,141,235,352,139
2021,Bolton 027,E02001010,6525,5180,5,17,61,77,75,110,271,127,199,283,120
2021,Bolton 028,E02001011,9747,9271,9,15,50,31,31,59,114,36,36,54,41
2021,Bolton 029,E02001012,9799,7356,7,24,75,96,131,253,777,244,245,375,216
2021,Bolton 030,E02001013,6106,5430,5,13,71,79,52,63,165,56,82,62,28
2021,Bolton 031,E02001014,8465,8064,3,12,24,25,22,38,124,44,50,33,26
2021,Bolton 032,E02001015,8204,7376,9,14,37,16,28,46,233,48,180,164,53
2021,Bolton 033,E02001016,8707,7547,3,15,16,32,30,59,410,98,153,244,100
2021,Bolton 034,E02001017,10774,10212,7,34,30,25,28,44,195,36,69,61,33
2021,Bolton 035,E02001018,7660,7311,8,16,39,34,18,41,101,27,36,19,10
2021,Bury 001,E02001019,9037,8648,7,22,35,33,21,44,95,20,55,56,1
2021,Bury 002,E02001020,5917,5711,8,21,34,14,15,26,48,11,9,16,4
2021,Bury 003,E02001021,7504,7261,13,18,33,15,23,28,59,20,11,16,7
2021,Bury 004,E02001022,8073,7254,11,34,62,55,46,94,189,48,64,178,38
2021,Bury 005,E02001023,5690,5215,10,19,41,45,30,46,138,28,59,46,13
2021,Bury 006,E02001024,8055,7733,7,25,38,29,19,28,82,26,22,38,8
2021,Bury 007,E02001025,8152,6736,5,25,46,38,30,83,380,180,254,283,92
2021,Bury 008,E02001026,11349,7661,3,27,136,156,167,287,795,371,608,830,308
2021,Bury 009,E02001027,7282,6599,4,14,37,42,28,53,182,65,102,107,49
2021,Bury 010,E02001028,7333,6946,8,25,59,58,34,47,74,12,31,30,9
2021,Bury 011,E02001029,7777,5651,10,27,115,122,134,201,604,176,291,352,94
2021,Bury 012,E02001030,6179,5913,8,25,32,44,16,29,45,16,26,18,7
2021,Bury 013,E02001031,6877,5894,3,36,52,69,69,104,261,83,134,136,36
2021,Bury 014,E02001032,7675,7222,5,25,42,41,24,32,128,32,44,61,19
2021,Bury 015,E02001033,6179,5554,3,18,42,39,18,62,201,61,75,68,38
2021,Bury 016,E02001034,8616,7682,7,20,40,30,38,66,259,88,163,168,55
2021,Bury 017,E02001035,7220,6669,13,49,88,64,34,61,113,20,54,44,11
2021,Bury 018,E02001036,7484,6807,5,26,44,42,28,86,176,76,69,81,44
2021,Bury 019,E02001037,7213,6531,14,39,75,78,66,79,138,29,81,67,16
2021,Bury 020,E02001038,5679,4888,5,27,34,44,51,68,243,64,121,104,30
2021,Bury 021,E02001039,8600,7373,7,42,52,45,42,83,454,130,180,154,38
2021,Bury 022,E02001040,6404,5635,6,36,52,62,47,95,222,60,70,79,40
2021,Bury 023,E02001041,7731,6772,16,29,65,57,44,103,308,70,121,114,32
2021,Bury 024,E02001042,6558,5576,11,39,64,53,44,94,297,86,126,129,39
2021,Bury 025,E02001043,5684,4912,6,31,46,43,51,63,259,81,79,86,27
2021,Bury 026,E02001044,9565,7600,11,48,135,117,169,238,523,151,194,305,74
2021,Manchester 001,E02001045,8437,6788,14,44,55,38,49,130,607,183,293,179,57
2021,Manchester 002,E02001046,11212,8201,3,23,51,72,87,239,1195,348,473,402,118
2021,Manchester 003,E02001047,10475,8092,6,29,51,69,68,171,904,271,365,326,123
2021,Manchester 004,E02001048,9446,6331,11,36,131,133,154,281,865,285,514,503,202
2021,Manchester 005,E02001049,10493,8754,12,45,66,58,61,114,591,147,339,238,68
2021,Manchester 006,E02001050,8428,5040,4,25,48,64,55,175,1002,332,664,778,241
2021,Manchester 007,E02001051,9269,6032,4,37,44,35,47,134,995,326,620,765,230
2021,Manchester 008,E02001052,15013,7241,11,70,299,345,359,681,1840,765,1316,1470,616
2021,Manchester 009,E02001053,11908,7403,2,33,64,40,68,266,1588,581,790,785,288
2021,Manchester 011,E02001055,9687,7354,5,34,40,36,33,135,814,295,410,401,130
2021,Manchester 012,E02001056,8934,6209,4,33,35,25,30,200,1035,371,539,332,121
2021,Manchester 015,E02001059,11852,7228,7,30,64,57,94,291,1641,422,769,881,368
2021,Manchester 017,E02001061,10964,7084,2,23,74,50,68,232,1339,473,634,676,309
2021,Manchester 018,E02001062,10137,5204,4,63,117,81,153,556,1343,324,528,956,808
2021,Manchester 019,E02001063,11072,6596,3,44,86,38,78,312,975,249,462,897,1332
2021,Manchester 020,E02001064,10774,6016,9,58,132,118,158,479,1637,478,670,756,263
2021,Manchester 021,E02001065,9528,6385,5,29,69,31,50,158,825,374,591,726,285
2021,Manchester 022,E02001066,11566,6068,12,63,158,161,219,444,1113,370,776,1315,867
2021,Manchester 023,E02001067,11549,6883,7,57,101,57,101,319,1727,481,787,773,256
2021,Manchester 024,E02001068,11887,6221,9,121,250,82,149,899,1854,497,689,785,331
2021,Manchester 025,E02001069,12493,6628,6,72,128,88,166,543,1447,507,794,1261,853
2021,Manchester 026,E02001070,11992,6933,8,43,174,176,231,428,1004,326,540,935,1194
2021,Manchester 028,E02001072,8940,5948,9,84,211,149,143,345,669,255,421,522,184
2021,Manchester 029,E02001073,9362,7532,25,82,234,171,174,198,326,110,151,243,116
2021,Manchester 030,E02001074,11798,7909,18,134,286,219,199,457,1202,290,441,453,190
2021,Manchester 031,E02001075,9135,5600,4,41,105,116,153,273,810,377,633,684,339
2021,Manchester 032,E02001076,11275,8580,4,33,86,98,95,218,656,190,341,523,451
2021,Manchester 033,E02001077,7427,5968,12,55,180,148,140,169,252,110,136,175,82
2021,Manchester 034,E02001078,10689,7544,20,102,250,195,202,397,732,247,364,451,185
2021,Manchester 035,E02001079,9461,6946,8,72,147,142,133,331,761,204,276,311,130
2021,Manchester 036,E02001080,9730,7554,11,56,123,97,98,177,566,169,253,424,202
2021,Manchester 037,E02001081,6307,5507,11,27,62,43,48,92,182,89,88,125,33
2021,Manchester 038,E02001082,6674,5322,9,31,56,50,68,136,315,106,201,268,112
2021,Manchester 039,E02001083,8243,6557,8,24,71,68,53,178,457,175,210,296,146
2021,Manchester 040,E02001084,8603,6843,7,52,101,108,88,201,489,113,197,275,129
2021,Manchester 041,E02001085,8967,6620,10,63,119,76,156,280,787,196,313,245,102
2021,Manchester 042,E02001086,6880,5294,14,40,71,75,65,177,464,130,178,224,148
2021,Manchester 043,E02001087,9281,7673,19,63,114,126,111,185,264,137,221,250,118
2021,Manchester 044,E02001088,9125,7574,5,34,50,37,58,144,611,154,200,193,65
2021,Manchester 045,E02001089,8042,6346,8,53,135,163,122,218,393,126,177,188,113
2021,Manchester 046,E02001090,6982,5924,14,37,74,50,54,119,250,102,136,136,86
2021,Manchester 047,E02001091,8386,7185,9,26,70,59,60,97,396,88,142,175,79
2021,Manchester 048,E02001092,9232,7485,7,38,36,37,68,145,629,170,229,241,147
2021,Manchester 049,E02001093,9894,7935,7,26,54,40,39,116,715,178,324,329,131
2021,Manchester 050,E02001094,9991,7850,9,37,33,30,33,111,777,238,318,409,146
2021,Manchester 051,E02001095,9032,7378,5,40,37,29,27,99,596,185,272,232,132
2021,Manchester 052,E02001096,8025,6922,9,24,41,39,36,83,355,119,151,172,74
2021,Manchester 053,E02001097,8566,6970,14,32,41,28,30,96,585,202,262,236,70
2021,Manchester 054,E02006902,7881,5142,6,9,22,26,37,133,473,247,438,748,600
2021,Manchester 055,E02006912,10128,5988,6,21,79,76,47,188,370,230,539,1189,1395
2021,Manchester 056,E02006913,7800,4425,0,23,86,93,157,317,842,342,535,673,307
2021,Manchester 057,E02006914,7861,4908,0,7,21,14,36,129,397,154,347,787,1061
2021,Manchester 058,E02006915,9359,5035,7,34,78,78,152,479,1638,439,572,656,191
2021,Manchester 059,E02006916,6981,4927,2,20,35,26,45,200,573,230,311,418,194
2021,Manchester 060,E02006917,6428,4077,2,5,6,19,22,115,305,185,395,634,663
2021,Manchester 061,E02006983,7038,5080,3,19,27,35,57,162,625,212,326,355,137
2021,Manchester 062,E02006984,5653,3995,3,12,21,39,30,139,446,189,298,336,145
2021,Manchester 063,E02006985,9284,4082,4,39,132,146,211,434,1172,660,885,1056,463
2021,Manchester 064,E02006986,6357,3408,4,28,59,59,66,210,706,311,568,638,300
2021,Oldham 001,E02001098,5944,5705,3,19,15,13,19,27,56,19,17,38,13
2021,Oldham 002,E02001099,5677,5344,7,11,19,11,32,25,70,29,69,41,19
2021,Oldham 003,E02001100,6039,5663,1,15,37,35,42,41,62,36,48,45,14
2021,Oldham 004,E02001101,5674,5500,4,21,23,19,17,21,29,7,11,11,11
2021,Oldham 005,E02001102,6030,5755,0,20,21,33,28,25,60,19,30,26,13
2021,Oldham 006,E02001103,5503,5327,4,16,26,21,20,18,33,3,15,20,0
2021,Oldham 007,E02001104,7314,6857,6,20,26,14,19,27,151,39,78,56,21
2021,Oldham 008,E02001105,5954,5642,5,9,20,20,27,33,76,23,43,47,9
2021,Oldham 009,E02001106,6025,5559,15,20,34,44,46,58,111,21,36,53,28
2021,Oldham 010,E02001107,6924,5696,4,16,35,70,165,181,328,79,151,159,40
2021,Oldham 011,E02001108,5951,5294,2,11,26,12,18,31,183,63,172,115,24
2021,Oldham 012,E02001109,7749,6927,6,13,37,30,34,63,149,92,125,219,54
2021,Oldham 013,E02001110,6476,6291,4,13,30,17,12,17,41,9,19,9,14
2021,Oldham 014,E02001111,9135,5946,9,19,48,79,155,279,804,330,791,522,153
2021,Oldham 015,E02001112,5994,5551,4,20,44,44,44,51,107,51,37,24,17
2021,Oldham 016,E02001113,9436,5821,3,25,109,267,624,619,849,184,389,364,182
2021,Oldham 017,E02001114,8848,7457,8,26,58,81,174,210,367,107,148,141,71
2021,Oldham 018,E02001115,5990,5692,8,16,26,16,15,14,85,31,44,36,7
2021,Oldham 019,E02001116,7910,4969,2,18,64,127,171,235,507,179,530,896,212
2021,Oldham 020,E02001117,6000,5812,7,15,23,18,19,23,48,7,15,6,7
2021,Oldham 021,E02001118,6064,5896,8,21,23,19,14,14,28,12,12,13,4
2021,Oldham 022,E02001119,12317,7731,4,37,255,542,523,642,906,274,434,687,282
2021,Oldham 024,E02001121,8677,5291,4,27,131,235,249,372,790,290,484,583,221
2021,Oldham 026,E02001123,7060,5807,5,24,40,61,57,91,370,134,197,208,66
2021,Oldham 027,E02001124,6872,5589,4,20,52,54,94,120,344,128,155,231,81
2021,Oldham 028,E02001125,7917,7251,10,28,32,30,70,72,196,66,87,59,16
2021,Oldham 029,E02001126,9165,7122,7,23,71,62,128,155,554,174,338,387,144
2021,Oldham 030,E02001127,7755,6766,7,15,41,47,37,57,279,122,158,173,53
2021,Oldham 031,E02001128,7460,6743,9,14,35,21,34,52,180,63,139,116,54
2021,Oldham 032,E02001129,6788,5930,5,12,22,31,18,41,227,58,169,219,56
2021,Oldham 033,E02001130,5802,5513,7,17,19,16,14,20,77,21,61,32,5
2021,Oldham 034,E02001131,5456,5138,4,14,29,19,14,14,89,25,64,39,7
2021,Oldham 036,E02007000,7693,4749,2,22,131,213,249,419,766,202,272,491,177
2021,Oldham 037,E02007001,8485,5489,2,22,219,360,337,439,582,177,318,391,149
2021,Rochdale 001,E02001132,6626,6349,6,14,27,21,13,19,87,17,25,30,18
2021,Rochdale 002,E02001133,6603,6382,3,13,13,23,17,35,59,17,16,24,1
2021,Rochdale 003,E02001134,6326,6007,7,20,37,34,41,37,68,13,20,31,11
2021,Rochdale 004,E02001135,8404,6800,5,27,67,102,153,201,489,125,163,173,99
2021,Rochdale 005,E02001136,9543,8354,7,39,97,145,125,122,344,60,88,110,52
2021,Rochdale 006,E02001137,6202,5778,7,16,57,57,30,51,105,19,20,52,10
2021,Rochdale 007,E02001138,8651,7962,17,32,85,119,73,73,142,42,37,39,30
2021,Rochdale 008,E02001139,10362,6683,7,21,226,373,505,469,769,193,348,560,208
2021,Rochdale 009,E02001140,8149,6604,7,23,111,122,105,159,451,121,146,217,83
2021,Rochdale 010,E02001141,12014,7602,9,47,237,320,287,374,1002,359,631,831,315
2021,Rochdale 011,E02001142,6018,5135,9,38,128,131,94,105,175,58,52,75,18
2021,Rochdale 012,E02001143,11642,8729,11,40,166,180,225,361,839,234,286,413,158
2021,Rochdale 013,E02001144,6339,5957,2,18,31,29,18,39,130,33,34,43,5
2021,Rochdale 014,E02001145,7042,6805,3,23,38,27,15,14,64,16,15,16,6
2021,Rochdale 015,E02001146,10297,6026,6,49,366,392,301,431,850,282,442,772,380
2021,Rochdale 016,E02001147,10401,8557,12,27,59,61,52,120,761,202,294,180,76
2021,Rochdale 017,E02001148,10459,9116,10,55,105,107,65,122,336,99,186,189,69
2021,Rochdale 018,E02001149,10320,9214,9,37,38,31,22,57,399,116,188,161,48
2021,Rochdale 019,E02001150,8982,8156,7,14,36,28,29,35,281,140,142,82,32
2021,Rochdale 020,E02001151,10101,9463,12,40,53,51,36,63,157,57,65,75,29
2021,Rochdale 021,E02001152,9776,8532,7,15,31,39,43,70,414,110,268,188,59
2021,Rochdale 022,E02001153,12278,9978,6,34,31,41,57,105,781,322,483,332,108
2021,Rochdale 023,E02001154,10132,9357,4,20,33,18,31,50,263,81,110,125,40
2021,Rochdale 024,E02001155,7210,6479,13,19,26,20,21,45,209,59,146,128,45
2021,Rochdale 025,E02001156,9901,9097,9,53,55,45,61,67,223,82,94,81,34
2021,Salford 001,E02001157,8704,7116,1,20,18,16,20,67,544,180,293,352,77
2021,Salford 002,E02001158,6061,5276,0,13,19,19,16,42,194,72,164,180,66
2021,Salford 003,E02001159,7492,6547,4,12,22,31,23,54,313,99,151,169,67
2021,Salford 004,E02001160,7271,6093,2,13,24,19,29,65,432,174,188,183,49
2021,Salford 005,E02001161,5844,4982,3,19,17,21,27,45,344,82,122,117,65
