date,geography,geography code,Length of residence in the UK: Total: All usual residents; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Length of residence in the UK: Less than 2 years; measures: Value
2021,Bolton 001A,E01004768,1594,1530,39,15,9,1
2021,Bolton 001B,E01004803,1620,1559,43,10,6,2
2021,Bolton 001C,E01004804,1468,1423,37,7,1,0
2021,Bolton 001D,E01004807,1377,1332,34,5,5,1
2021,Bolton 001E,E01004808,1618,1568,38,4,2,6
2021,Bolton 002A,E01004788,1359,1314,34,5,2,4
2021,Bolton 002B,E01004790,1420,1356,36,9,10,9
2021,Bolton 002C,E01004805,1566,1520,37,3,3,3
2021,Bolton 002D,E01004806,1516,1479,25,2,6,4
2021,Bolton 002E,E01004810,1557,1503,48,1,3,2
2021,Bolton 003A,E01004769,1506,1412,65,5,20,4
2021,Bolton 003B,E01004770,1521,1379,93,17,15,17
2021,Bolton 003C,E01004771,1686,1586,71,6,18,5
2021,Bolton 003D,E01004773,1965,1734,153,27,23,28
2021,Bolton 003E,E01004809,1723,1671,42,6,3,1
2021,Bolton 004A,E01004777,1724,1639,56,19,8,2
2021,Bolton 004B,E01004881,1483,1426,38,5,11,3
2021,Bolton 004C,E01004888,1281,1230,34,8,5,4
2021,Bolton 004D,E01004889,1432,1372,47,5,6,2
2021,Bolton 004E,E01004890,1382,1306,42,16,12,6
2021,Bolton 005A,E01004766,1660,1453,128,24,37,18
2021,Bolton 005B,E01004767,1890,1553,189,50,58,40
2021,Bolton 005C,E01004772,1845,1624,154,35,22,10
2021,Bolton 005D,E01004774,1766,1599,114,20,13,20
2021,Bolton 005E,E01004824,1884,1173,514,62,58,77
2021,Bolton 006A,E01004784,1193,1166,22,2,3,0
2021,Bolton 006B,E01004785,1523,1449,57,13,4,0
2021,Bolton 006C,E01004786,1450,1402,35,6,6,1
2021,Bolton 006D,E01004789,1449,1429,16,4,0,0
2021,Bolton 006E,E01004791,1322,1290,24,3,4,1
2021,Bolton 006F,E01004792,1409,1365,28,9,4,3
2021,Bolton 007A,E01004779,1630,1552,50,11,9,8
2021,Bolton 007B,E01004781,2134,1878,139,45,27,45
2021,Bolton 007C,E01004882,1350,1292,40,6,9,3
2021,Bolton 007D,E01004883,1762,1653,45,18,29,17
2021,Bolton 007E,E01004884,1476,1426,35,7,7,1
2021,Bolton 008A,E01004864,1464,1314,77,12,30,31
2021,Bolton 008B,E01004867,1551,1128,197,88,94,44
2021,Bolton 008C,E01004921,1634,1472,82,27,35,18
2021,Bolton 008D,E01004924,1573,1483,75,9,4,2
2021,Bolton 008E,E01004925,1589,1427,94,19,35,14
2021,Bolton 009A,E01004778,1190,1163,24,1,0,2
2021,Bolton 009B,E01004780,2288,2196,64,16,7,5
2021,Bolton 009C,E01004782,1348,1318,14,7,7,2
2021,Bolton 009D,E01004783,1477,1441,26,4,5,1
2021,Bolton 010A,E01004802,1973,1627,264,60,19,3
2021,Bolton 010B,E01004926,1432,1255,93,30,51,3
2021,Bolton 010C,E01004927,2301,1950,165,108,54,24
2021,Bolton 010D,E01004929,2728,2344,215,77,42,50
2021,Bolton 011A,E01004820,1790,1074,341,174,116,85
2021,Bolton 011B,E01004825,1971,1190,433,140,88,120
2021,Bolton 011C,E01004826,1667,1023,268,134,130,112
2021,Bolton 011D,E01004865,1581,1267,184,55,42,33
2021,Bolton 011E,E01004866,2037,1365,373,141,117,41
2021,Bolton 012A,E01004840,1735,1590,111,9,14,11
2021,Bolton 012B,E01004841,1747,1509,156,55,22,5
2021,Bolton 012C,E01004842,1713,1602,92,9,2,8
2021,Bolton 012D,E01004919,1508,1395,71,13,12,17
2021,Bolton 012E,E01004920,1643,1496,96,18,17,16
2021,Bolton 013A,E01004787,1708,1544,78,45,32,9
2021,Bolton 013B,E01004793,1748,1559,104,42,39,4
2021,Bolton 013C,E01004794,2119,1840,151,54,65,9
2021,Bolton 013D,E01004795,1504,1414,53,16,9,12
2021,Bolton 013E,E01004797,1492,1242,113,88,37,12
2021,Bolton 014A,E01004775,2326,2144,113,15,30,24
2021,Bolton 014B,E01004885,1423,1309,74,12,17,11
2021,Bolton 014C,E01004886,1397,1299,74,11,11,2
2021,Bolton 014D,E01004887,1330,1238,66,15,3,8
2021,Bolton 015A,E01004868,2164,1349,319,174,192,130
2021,Bolton 015B,E01004869,2186,1307,247,161,314,157
2021,Bolton 015C,E01004870,2015,1269,365,135,125,121
2021,Bolton 015D,E01004871,1816,930,369,145,212,160
2021,Bolton 015E,E01004922,2256,1613,271,145,150,77
2021,Bolton 016B,E01004822,1851,1098,435,136,118,64
2021,Bolton 016C,E01004823,2047,1364,384,137,109,53
2021,Bolton 016D,E01004848,2091,1393,331,167,96,104
2021,Bolton 016E,E01033217,1229,770,166,142,96,55
2021,Bolton 016F,E01033220,1315,862,196,118,81,58
2021,Bolton 017A,E01004818,1722,1096,282,86,121,137
2021,Bolton 017B,E01004819,1517,1203,185,47,55,27
2021,Bolton 017C,E01004928,1378,1224,59,32,43,20
2021,Bolton 017D,E01004930,1514,1424,68,7,12,3
2021,Bolton 017E,E01004931,1563,1445,67,17,20,14
2021,Bolton 017F,E01004932,1482,1304,93,29,38,18
2021,Bolton 018A,E01004834,1748,1169,266,119,127,67
2021,Bolton 018B,E01004838,2008,1259,296,148,218,87
2021,Bolton 018C,E01004843,1558,1387,114,19,18,20
2021,Bolton 018D,E01004845,1872,1493,246,58,50,25
2021,Bolton 018E,E01004923,1675,1327,187,44,69,48
2021,Bolton 019A,E01004796,1576,1442,81,32,9,12
2021,Bolton 019B,E01004798,1613,1483,74,31,15,10
2021,Bolton 019C,E01004799,1273,1185,72,6,9,1
2021,Bolton 019D,E01004800,1294,1232,53,1,8,0
2021,Bolton 019E,E01004801,1674,1521,77,45,11,20
2021,Bolton 019F,E01004917,2298,2141,87,22,29,19
2021,Bolton 020A,E01004835,1461,1152,251,25,7,26
2021,Bolton 020B,E01004836,1747,1363,247,39,46,52
2021,Bolton 020C,E01004837,1560,1254,261,19,18,8
2021,Bolton 020D,E01004844,1573,1338,195,16,15,9
2021,Bolton 020E,E01004897,1014,922,65,16,6,5
2021,Bolton 021A,E01004827,1987,1097,361,190,246,93
2021,Bolton 021B,E01004849,1794,871,465,276,115,67
2021,Bolton 021C,E01004850,2293,1261,541,271,131,89
2021,Bolton 021D,E01004851,1690,837,508,142,124,79
2021,Bolton 021E,E01004853,1575,862,412,124,122,55
2021,Bolton 022A,E01004811,1845,1049,407,138,106,145
2021,Bolton 022B,E01004812,2404,1285,452,223,219,225
2021,Bolton 022C,E01004813,1749,1141,330,109,110,59
2021,Bolton 022D,E01004815,1786,1149,370,133,76,58
2021,Bolton 022E,E01004817,2062,1420,275,94,130,143
2021,Bolton 023A,E01004828,2016,1055,518,153,191,99
2021,Bolton 023B,E01004829,1461,747,427,94,112,81
2021,Bolton 023C,E01004832,1643,1272,186,70,66,49
2021,Bolton 023D,E01004854,1658,849,514,123,117,55
2021,Bolton 023E,E01004878,1696,1125,310,115,85,61
