date,geography,geography code,Length of residence in the UK: Total: All usual residents; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Length of residence in the UK: Less than 2 years; measures: Value
2021,Bolton 001,E02000984,7678,7412,192,41,23,10
2021,Bolton 002,E02000985,7417,7172,180,21,22,22
2021,Bolton 003,E02000986,8398,7781,423,61,77,56
2021,Bolton 004,E02000987,7300,6973,217,52,41,17
2021,Bolton 005,E02000988,9044,7402,1097,192,187,166
2021,Bolton 006,E02000989,8349,8101,185,38,21,4
2021,Bolton 007,E02000990,8352,7801,310,87,79,75
2021,Bolton 008,E02000991,7810,6824,525,155,197,109
2021,Bolton 009,E02000992,6303,6118,128,28,19,10
2021,Bolton 010,E02000993,8434,7176,737,275,166,80
2021,Bolton 011,E02000994,9050,5919,1599,644,493,395
2021,Bolton 012,E02000995,8348,7592,527,105,67,57
2021,Bolton 013,E02000996,8575,7599,499,248,182,47
2021,Bolton 014,E02000997,6478,5990,327,55,61,45
2021,Bolton 015,E02000998,10434,6468,1573,759,993,641
2021,Bolton 016,E02000999,8530,5486,1511,700,499,334
2021,Bolton 017,E02001000,9179,7697,755,218,290,219
2021,Bolton 018,E02001001,8857,6632,1110,388,480,247
2021,Bolton 019,E02001002,9728,9004,444,137,81,62
2021,Bolton 020,E02001003,7356,6029,1019,115,92,101
2021,Bolton 021,E02001004,9343,4931,2288,1002,738,384
2021,Bolton 022,E02001005,9845,6044,1834,697,641,629
2021,Bolton 023,E02001006,8469,5046,1955,556,569,343
2021,Bolton 024,E02001007,10065,9634,308,55,35,33
2021,Bolton 025,E02001008,9155,5518,2065,674,567,331
2021,Bolton 026,E02001009,7481,5811,814,295,304,257
2021,Bolton 027,E02001010,6525,5180,624,254,256,211
2021,Bolton 028,E02001011,9747,9271,311,63,46,56
2021,Bolton 029,E02001012,9802,7356,1401,361,320,364
2021,Bolton 030,E02001013,6106,5430,450,111,62,53
2021,Bolton 031,E02001014,8466,8064,250,78,36,38
2021,Bolton 032,E02001015,8205,7376,388,180,153,108
2021,Bolton 033,E02001016,8706,7547,571,199,210,179
2021,Bolton 034,E02001017,10772,10212,365,79,72,44
2021,Bolton 035,E02001018,7661,7311,261,54,21,14
2021,Bury 001,E02001019,9040,8648,255,61,63,13
2021,Bury 002,E02001020,5917,5711,166,19,14,7
2021,Bury 003,E02001021,7504,7261,189,28,16,10
2021,Bury 004,E02001022,8068,7254,490,88,134,102
2021,Bury 005,E02001023,5696,5215,332,86,41,22
2021,Bury 006,E02001024,8058,7733,235,38,36,16
2021,Bury 007,E02001025,8152,6736,624,340,265,187
2021,Bury 008,E02001026,11350,7661,1602,730,786,571
2021,Bury 009,E02001027,7282,6599,363,133,118,69
2021,Bury 010,E02001028,7333,6946,307,28,31,21
2021,Bury 011,E02001029,7775,5651,1229,347,311,237
2021,Bury 012,E02001030,6180,5913,204,30,22,11
2021,Bury 013,E02001031,6874,5894,596,181,142,61
2021,Bury 014,E02001032,7675,7222,302,61,56,34
2021,Bury 015,E02001033,6180,5554,391,108,69,58
2021,Bury 016,E02001034,8617,7682,470,210,149,106
2021,Bury 017,E02001035,7218,6669,421,69,20,39
2021,Bury 018,E02001036,7484,6807,410,126,74,67
2021,Bury 019,E02001037,7214,6531,490,87,66,40
2021,Bury 020,E02001038,5679,4888,480,159,95,57
2021,Bury 021,E02001039,8601,7373,733,256,160,79
2021,Bury 022,E02001040,6404,5635,525,105,72,67
2021,Bury 023,E02001041,7730,6772,621,159,107,71
2021,Bury 024,E02001042,6560,5576,607,174,116,87
2021,Bury 025,E02001043,5686,4912,507,135,87,45
2021,Bury 026,E02001044,9565,7600,1251,271,269,174
2021,Manchester 001,E02001045,8434,6788,949,392,202,103
2021,Manchester 002,E02001046,11213,8201,1698,676,407,231
2021,Manchester 003,E02001047,10476,8092,1317,517,340,210
2021,Manchester 004,E02001048,9444,6331,1641,587,519,366
2021,Manchester 005,E02001049,10493,8754,952,431,224,132
2021,Manchester 006,E02001050,8429,5040,1395,817,731,446
2021,Manchester 007,E02001051,9266,6032,1315,752,710,457
2021,Manchester 008,E02001052,15014,7241,3674,1730,1313,1056
2021,Manchester 009,E02001053,11908,7403,2116,1127,762,500
2021,Manchester 011,E02001055,9687,7354,1113,520,482,218
2021,Manchester 012,E02001056,8934,6209,1393,759,354,219
2021,Manchester 015,E02001059,11850,7228,2213,944,835,630
2021,Manchester 017,E02001061,10962,7084,1826,925,587,540
2021,Manchester 018,E02001062,10139,5204,2344,671,719,1201
2021,Manchester 019,E02001063,11072,6596,1557,562,628,1729
2021,Manchester 020,E02001064,10776,6016,2619,899,785,457
2021,Manchester 021,E02001065,9525,6385,1197,788,636,519
2021,Manchester 022,E02001066,11566,6068,2202,882,1044,1370
2021,Manchester 023,E02001067,11550,6883,2430,981,787,469
2021,Manchester 024,E02001068,11887,6221,3396,938,735,597
2021,Manchester 025,E02001069,12493,6628,2511,1047,977,1330
2021,Manchester 026,E02001070,11994,6933,2116,652,733,1560
2021,Manchester 028,E02001072,8939,5948,1626,561,470,334
2021,Manchester 029,E02001073,9360,7532,1215,215,209,189
2021,Manchester 030,E02001074,11798,7909,2529,601,417,342
2021,Manchester 031,E02001075,9135,5600,1544,802,645,544
2021,Manchester 032,E02001076,11277,8580,1202,434,419,642
