date,geography,geography code,Length of residence in the UK: Total: All usual residents; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Length of residence in the UK: Less than 2 years; measures: Value
2021,Bolton,E08000001,295963,245907,27242,8977,8102,5735
2021,Bury,E08000002,193851,170444,13803,4031,3318,2255
2021,Manchester,E08000003,551938,378730,83353,33277,27827,28751
2021,Oldham,E08000004,242088,201825,23194,6718,6332,4019
2021,Rochdale,E08000005,223773,189122,20871,5778,4499,3503
2021,Salford,E08000006,269924,218617,22135,11949,8953,8270
2021,Stockport,E08000007,294773,266918,18412,3957,3186,2300
2021,Tameside,E08000008,231071,207201,14328,4277,3053,2212
2021,Trafford,E08000009,235052,200116,22811,4855,3783,3487
2021,Wigan,E08000010,329331,308857,10715,4148,3248,2363
2021,Birmingham,E08000025,1144919,838959,187017,48664,37797,32482
2021,Coventry,E08000026,345324,248991,47774,17054,15302,16203
2021,Dudley,E08000027,323489,297930,16181,3915,3347,2116
2021,Sandwell,E08000028,341832,261213,47319,14738,10962,7600
2021,Solihull,E08000029,216239,193991,14997,3194,2264,1793
2021,Walsall,E08000030,284127,242162,25755,7317,5482,3411
2021,Wolverhampton,E08000031,263727,203312,33878,10517,9081,6939
