date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bolton 001A,E01004768,613,0,101,252,117,109,22,7,0,5
2021,Bolton 001B,E01004803,715,0,201,265,132,97,16,4,0,0
2021,Bolton 001C,E01004804,610,0,141,244,94,105,21,3,2,0
2021,Bolton 001D,E01004807,580,0,150,204,110,91,22,3,0,0
2021,Bolton 001E,E01004808,689,0,182,259,112,111,19,6,0,0
2021,Bolton 002A,E01004788,607,0,170,245,94,79,15,4,0,0
2021,Bolton 002B,E01004790,644,0,194,263,91,72,18,4,2,0
2021,Bolton 002C,E01004805,670,0,151,295,106,90,24,3,1,0
2021,Bolton 002D,E01004806,661,0,193,242,109,81,29,6,1,0
2021,Bolton 002E,E01004810,637,0,156,229,118,96,27,9,0,2
2021,Bolton 003A,E01004769,683,0,230,246,98,74,25,6,3,1
2021,Bolton 003B,E01004770,609,0,160,234,83,71,31,23,6,1
2021,Bolton 003C,E01004771,627,0,120,212,112,128,40,10,3,2
2021,Bolton 003D,E01004773,860,0,311,273,125,97,26,14,7,7
2021,Bolton 003E,E01004809,868,0,365,309,84,87,16,6,1,0
2021,Bolton 004A,E01004777,790,0,295,252,136,79,20,6,2,0
2021,Bolton 004B,E01004881,781,0,384,245,89,43,17,0,2,1
2021,Bolton 004C,E01004888,573,0,157,234,96,63,16,7,0,0
2021,Bolton 004D,E01004889,634,0,209,207,107,79,27,4,1,0
2021,Bolton 004E,E01004890,682,0,268,237,97,61,16,3,0,0
2021,Bolton 005A,E01004766,806,0,367,210,105,76,36,9,3,0
2021,Bolton 005B,E01004767,854,0,348,258,119,62,41,14,7,5
2021,Bolton 005C,E01004772,749,0,213,206,171,106,38,10,3,2
