date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bolton 001,E02000984,3207,0,775,1224,564,513,100,23,3,5
2021,Bolton 002,E02000985,3223,0,863,1275,518,417,112,26,9,3
2021,Bolton 003,E02000986,3646,0,1185,1272,502,457,139,59,20,12
2021,Bolton 004,E02000987,3461,0,1312,1176,525,325,97,19,6,1
2021,Bolton 005,E02000988,3641,0,1250,980,587,428,235,96,42,23
2021,Bolton 006,E02000989,3745,0,1099,1475,588,419,128,27,6,3
2021,Bolton 007,E02000990,3690,0,1084,1371,616,471,109,31,8,0
2021,Bolton 008,E02000991,3250,0,938,1095,569,407,159,54,20,8
2021,Bolton 009,E02000992,2761,0,812,1017,463,352,94,19,3,1
2021,Bolton 010,E02000993,3452,0,1124,897,641,495,192,72,25,6
2021,Bolton 011,E02000994,3316,0,1189,658,485,415,278,146,72,73
2021,Bolton 012,E02000995,3427,0,1018,1128,557,437,192,61,17,17
2021,Bolton 013,E02000996,3383,0,1057,952,605,428,206,79,19,37
2021,Bolton 014,E02000997,2720,0,772,959,475,371,108,24,8,3
2021,Bolton 015,E02000998,3703,0,1209,875,567,420,238,157,107,130
2021,Bolton 016,E02000999,3635,0,1775,774,396,297,188,112,50,43
2021,Bolton 017,E02001000,4065,0,1513,1308,590,401,141,64,23,25
2021,Bolton 018,E02001001,3207,0,887,899,524,463,219,119,57,39
2021,Bolton 019,E02001002,4076,0,1163,1392,713,522,197,56,21,12
2021,Bolton 020,E02001003,2827,0,673,1059,436,373,159,62,33,32
2021,Bolton 021,E02001004,3057,0,898,664,403,397,309,168,103,115
2021,Bolton 022,E02001005,3390,0,1105,851,434,345,278,167,90,120
2021,Bolton 023,E02001006,2759,0,628,656,495,388,298,178,69,47
2021,Bolton 024,E02001007,4389,0,1302,1578,762,547,127,53,13,7
2021,Bolton 025,E02001008,2832,0,698,569,410,426,338,225,95,71
2021,Bolton 026,E02001009,2976,0,973,812,486,357,205,86,29,28
2021,Bolton 027,E02001010,2487,0,755,729,403,288,137,82,54,39
2021,Bolton 028,E02001011,4232,0,1193,1554,726,572,151,32,4,0
2021,Bolton 029,E02001012,2982,0,631,750,491,481,272,131,84,142
2021,Bolton 030,E02001013,2498,0,646,909,424,351,111,39,11,7
2021,Bolton 031,E02001014,3783,0,1254,1279,620,456,134,30,5,5
2021,Bolton 032,E02001015,3859,0,1631,1141,558,324,129,56,12,8
2021,Bolton 033,E02001016,3342,0,899,923,617,565,233,59,35,11
2021,Bolton 034,E02001017,4661,0,1509,1435,854,595,190,57,15,6
2021,Bolton 035,E02001018,3109,0,705,1125,619,498,128,26,3,5
2021,Bury 001,E02001019,4073,0,1356,1464,634,474,116,19,8,2
2021,Bury 002,E02001020,2510,0,618,1031,372,378,82,18,8,3
2021,Bury 003,E02001021,3176,0,847,1200,559,448,98,22,2,0
2021,Bury 004,E02001022,3367,0,1036,1193,518,369,143,65,23,20
2021,Bury 005,E02001023,2324,0,591,827,402,338,119,31,12,4
2021,Bury 006,E02001024,3378,0,871,1225,647,484,118,18,11,4
2021,Bury 007,E02001025,3426,0,1141,998,621,403,160,65,31,7
2021,Bury 008,E02001026,4380,0,1494,1193,619,469,290,164,80,71
2021,Bury 009,E02001027,3177,0,1137,956,531,391,109,34,10,9
2021,Bury 010,E02001028,3097,0,779,1240,467,464,115,21,7,4
2021,Bury 011,E02001029,2876,0,887,764,448,343,215,129,51,39
2021,Bury 012,E02001030,2509,0,571,947,462,396,101,29,1,2
2021,Bury 013,E02001031,2951,0,1036,902,431,339,132,73,22,16
2021,Bury 014,E02001032,3278,0,973,1154,554,418,128,34,11,6
2021,Bury 015,E02001033,2680,0,880,837,484,326,104,30,12,7
2021,Bury 016,E02001034,4089,0,1775,1133,586,370,141,54,21,9
2021,Bury 017,E02001035,2997,0,801,1062,499,453,121,37,17,7
2021,Bury 018,E02001036,3094,0,865,1038,543,427,146,55,17,3
2021,Bury 019,E02001037,3035,0,840,1158,460,398,122,40,11,6
2021,Bury 020,E02001038,2676,0,1043,844,410,251,91,23,7,7
2021,Bury 021,E02001039,3513,0,1026,1061,652,491,203,52,21,7
2021,Bury 022,E02001040,2632,0,794,870,436,365,125,30,9,3
2021,Bury 023,E02001041,3399,0,1149,1123,546,390,117,51,17,6
2021,Bury 024,E02001042,2892,0,1069,920,379,310,134,39,17,24
2021,Bury 025,E02001043,2373,0,740,752,431,302,106,28,7,7
2021,Bury 026,E02001044,2794,0,561,689,429,352,285,193,127,158
2021,Manchester 001,E02001045,3602,0,1278,1006,595,410,218,69,14,12
2021,Manchester 002,E02001046,4379,0,1301,1192,809,597,307,120,36,17
2021,Manchester 003,E02001047,4358,0,1557,1149,701,543,255,111,33,9
2021,Manchester 004,E02001048,3485,0,1125,870,498,448,274,146,69,55
2021,Manchester 005,E02001049,4205,0,1209,1287,779,560,248,81,27,14
2021,Manchester 006,E02001050,3161,0,1042,778,498,404,234,119,44,42
2021,Manchester 007,E02001051,3527,0,975,960,691,489,262,98,27,25
2021,Manchester 008,E02001052,4415,0,1195,748,575,587,527,388,207,188
2021,Manchester 009,E02001053,4588,0,1581,1069,716,611,338,139,74,60
2021,Manchester 011,E02001055,3985,0,1461,1012,701,436,215,112,37,11
2021,Manchester 012,E02001056,3442,0,1155,822,547,436,300,129,37,16
2021,Manchester 015,E02001059,4799,0,1589,1335,786,583,326,123,36,21
2021,Manchester 017,E02001061,4321,0,1403,1097,764,574,290,120,38,35
2021,Manchester 018,E02001062,3571,0,1214,840,550,504,251,124,51,37
2021,Manchester 019,E02001063,3463,0,1312,1104,489,309,121,77,30,21
2021,Manchester 020,E02001064,3911,0,1266,874,595,541,335,178,71,51
2021,Manchester 021,E02001065,3844,0,1209,1053,714,506,236,92,23,11
2021,Manchester 022,E02001066,3447,0,1141,682,487,434,327,183,110,83
2021,Manchester 023,E02001067,4120,0,1216,900,691,594,411,195,72,41
2021,Manchester 024,E02001068,4121,0,1315,935,595,469,324,228,131,124
2021,Manchester 025,E02001069,4303,0,1223,1036,784,586,328,208,79,59
2021,Manchester 026,E02001070,3141,0,1038,713,375,336,267,211,118,83
2021,Manchester 028,E02001072,3898,0,1636,1021,530,363,170,97,40,41
2021,Manchester 029,E02001073,3985,0,1398,1252,567,462,175,75,27,29
2021,Manchester 030,E02001074,4225,0,1342,1079,607,511,314,193,93,86
2021,Manchester 031,E02001075,3452,0,1143,919,480,398,239,155,68,50
2021,Manchester 032,E02001076,2796,0,665,607,424,391,310,223,109,67
