date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bolton,E08000001,118791,0,36521,36766,19218,15001,6336,2696,1169,1084
2021,Bury,E08000002,80695,0,24880,26584,13122,10148,3621,1356,555,429
2021,Manchester,E08000003,214729,0,71577,62664,32180,24487,12817,6275,2700,2029
2021,Oldham,E08000004,93139,0,27396,28070,15256,11738,5397,2743,1261,1278
2021,Rochdale,E08000005,90223,0,27641,27854,14951,11210,5003,2146,849,569
2021,Salford,E08000006,115118,0,39141,37670,18097,12359,4608,1794,664,785
2021,Stockport,E08000007,126645,0,39439,42565,20627,16999,5049,1328,399,239
2021,Tameside,E08000008,99527,0,32374,32399,16536,11845,4169,1370,488,346
2021,Trafford,E08000009,96269,0,28369,30169,16038,14824,4766,1448,410,245
2021,Wigan,E08000010,143105,0,43950,49686,24370,17771,5425,1366,365,172
2021,Birmingham,E08000025,423456,0,133224,113012,63986,54503,29542,15649,7273,6267
2021,Coventry,E08000026,134141,0,40777,39787,22556,18458,7827,2839,1194,703
2021,Dudley,E08000027,137067,0,41709,46526,22691,17069,5961,1993,682,436
2021,Sandwell,E08000028,130246,0,38042,36353,21854,18634,8688,3828,1556,1291
2021,Solihull,E08000029,89484,0,25852,29628,14787,13210,4263,1182,369,193
2021,Walsall,E08000030,112226,0,32129,34801,18679,15479,6831,2730,958,619
2021,Wolverhampton,E08000031,105141,0,32468,30542,17539,14599,6342,2342,836,473
