date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Bolton 001A,E01004768,1579,1500,5,74,0
2021,Bolton 001B,E01004803,1604,1450,3,149,2
2021,Bolton 001C,E01004804,1457,1352,2,99,4
2021,Bolton 001D,E01004807,1357,1253,5,99,0
2021,Bolton 001E,E01004808,1606,1480,7,112,7
2021,Bolton 002A,E01004788,1353,1284,7,60,2
2021,Bolton 002B,E01004790,1402,1264,1,131,6
2021,Bolton 002C,E01004805,1558,1478,3,68,9
2021,Bolton 002D,E01004806,1506,1348,3,147,8
2021,Bolton 002E,E01004810,1546,1502,1,38,5
2021,Bolton 003A,E01004769,1494,1357,4,132,1
2021,Bolton 003B,E01004770,1511,1416,1,76,18
2021,Bolton 003C,E01004771,1664,1530,5,127,2
2021,Bolton 003D,E01004773,1938,1792,0,132,14
2021,Bolton 003E,E01004809,1708,1548,1,151,8
2021,Bolton 004A,E01004777,1698,1554,3,140,1
2021,Bolton 004B,E01004881,1469,1338,7,119,5
2021,Bolton 004C,E01004888,1264,1186,3,73,2
2021,Bolton 004D,E01004889,1424,1353,3,68,0
2021,Bolton 004E,E01004890,1375,1268,1,100,6
2021,Bolton 005A,E01004766,1638,1473,4,154,7
2021,Bolton 005B,E01004767,1870,1669,0,181,20
2021,Bolton 005C,E01004772,1823,1723,0,94,6
2021,Bolton 005D,E01004774,1745,1611,3,120,11
2021,Bolton 005E,E01004824,1863,1778,0,53,32
2021,Bolton 006A,E01004784,1188,1129,0,58,1
2021,Bolton 006B,E01004785,1513,1440,0,71,2
2021,Bolton 006C,E01004786,1434,1358,0,74,2
2021,Bolton 006D,E01004789,1443,1358,4,79,2
2021,Bolton 006E,E01004791,1313,1222,3,86,2
2021,Bolton 006F,E01004792,1401,1297,3,92,9
2021,Bolton 007A,E01004779,1609,1499,6,99,5
2021,Bolton 007B,E01004781,2112,1875,3,210,24
2021,Bolton 007C,E01004882,1341,1253,1,85,2
