date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Bolton,E08000001,292420,269720,498,19935,2267
2021,Bury,E08000002,191726,177523,298,12908,997
2021,Manchester,E08000003,545356,447364,12519,72814,12659
2021,Oldham,E08000004,239108,222759,277,14576,1496
2021,Rochdale,E08000005,220985,204136,263,15131,1455
2021,Salford,E08000006,266379,227662,2561,32266,3890
2021,Stockport,E08000007,291590,267289,535,22314,1452
2021,Tameside,E08000008,228544,212108,232,15205,999
2021,Trafford,E08000009,232669,212379,633,17528,2129
2021,Wigan,E08000010,325974,300468,360,23839,1307
2021,Birmingham,E08000025,1130647,1007977,11559,97469,13642
2021,Coventry,E08000026,341397,292035,4739,37500,7123
2021,Dudley,E08000027,320023,297540,420,21006,1057
2021,Sandwell,E08000028,337588,312638,343,21985,2622
2021,Solihull,E08000029,214166,196307,455,16248,1156
2021,Walsall,E08000030,280790,260529,322,18539,1400
2021,Wolverhampton,E08000031,260637,237068,593,20179,2797
