date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Bolton 001,E02000984,7600,7035,19,533,13
2021,Bolton 002,E02000985,7365,6876,13,445,31
2021,Bolton 003,E02000986,8313,7643,11,618,41
2021,Bolton 004,E02000987,7229,6699,17,500,13
2021,Bolton 005,E02000988,8941,8254,8,604,75
2021,Bolton 006,E02000989,8291,7805,9,459,18
2021,Bolton 007,E02000990,8273,7512,18,703,40
2021,Bolton 008,E02000991,7719,7200,8,467,44
2021,Bolton 009,E02000992,6238,5806,16,400,16
2021,Bolton 010,E02000993,8321,7742,11,535,33
2021,Bolton 011,E02000994,8901,8216,13,561,111
2021,Bolton 012,E02000995,8277,7724,12,512,29
2021,Bolton 013,E02000996,8491,8030,3,437,21
2021,Bolton 014,E02000997,6416,5908,18,462,28
2021,Bolton 015,E02000998,10263,9331,24,709,199
2021,Bolton 016,E02000999,8434,7387,30,858,159
2021,Bolton 017,E02001000,9053,8120,22,828,83
2021,Bolton 018,E02001001,8728,7964,30,656,78
2021,Bolton 019,E02001002,9643,9072,9,525,37
2021,Bolton 020,E02001003,7303,6720,13,510,60
2021,Bolton 021,E02001004,9201,8543,18,509,131
2021,Bolton 022,E02001005,9663,8426,31,1018,188
2021,Bolton 023,E02001006,8327,7776,6,451,94
2021,Bolton 024,E02001007,9997,9433,8,521,35
2021,Bolton 025,E02001008,9026,8470,13,435,108
2021,Bolton 026,E02001009,7389,6747,11,537,94
2021,Bolton 027,E02001010,6419,5796,6,530,87
2021,Bolton 028,E02001011,9676,8877,20,743,36
2021,Bolton 029,E02001012,9562,8859,13,538,152
2021,Bolton 030,E02001013,6051,5640,13,372,26
2021,Bolton 031,E02001014,8396,7804,10,551,31
2021,Bolton 032,E02001015,8107,7378,10,674,45
2021,Bolton 033,E02001016,8607,7918,8,625,56
2021,Bolton 034,E02001017,10624,9943,13,630,38
2021,Bolton 035,E02001018,7577,7066,10,479,22
2021,Bury 001,E02001019,8969,8267,15,664,23
2021,Bury 002,E02001020,5877,5535,17,298,27
2021,Bury 003,E02001021,7449,6884,17,521,27
2021,Bury 004,E02001022,7995,7424,14,511,46
2021,Bury 005,E02001023,5637,5335,8,269,25
2021,Bury 006,E02001024,7981,7448,8,502,23
2021,Bury 007,E02001025,8045,7473,4,508,60
2021,Bury 008,E02001026,11189,10117,12,891,169
2021,Bury 009,E02001027,7183,6532,9,601,41
2021,Bury 010,E02001028,7287,6910,11,346,20
2021,Bury 011,E02001029,7668,7094,8,507,59
2021,Bury 012,E02001030,6126,5674,6,427,19
2021,Bury 013,E02001031,6810,6330,9,441,30
2021,Bury 014,E02001032,7598,7084,10,477,27
2021,Bury 015,E02001033,6095,5616,9,435,35
2021,Bury 016,E02001034,8499,7794,4,668,33
2021,Bury 017,E02001035,7167,6697,16,438,16
2021,Bury 018,E02001036,7411,6849,19,520,23
2021,Bury 019,E02001037,7154,6595,12,522,25
2021,Bury 020,E02001038,5628,5184,6,406,32
2021,Bury 021,E02001039,8482,7960,8,488,26
2021,Bury 022,E02001040,6333,5839,14,432,48
2021,Bury 023,E02001041,7637,6986,18,603,30
2021,Bury 024,E02001042,6481,5933,9,503,36
2021,Bury 025,E02001043,5615,5187,13,391,24
2021,Bury 026,E02001044,9411,8779,22,539,71
2021,Manchester 001,E02001045,8339,7818,21,469,31
2021,Manchester 002,E02001046,11077,10199,19,762,97
2021,Manchester 003,E02001047,10353,9573,14,671,95
2021,Manchester 004,E02001048,9307,8465,19,678,145
2021,Manchester 005,E02001049,10395,9726,20,601,48
2021,Manchester 006,E02001050,8305,7464,9,677,155
2021,Manchester 007,E02001051,9128,8182,14,753,179
2021,Manchester 008,E02001052,14770,13395,38,992,345
2021,Manchester 009,E02001053,11734,10643,35,859,197
2021,Manchester 011,E02001055,9553,8726,14,707,106
2021,Manchester 012,E02001056,8824,8240,18,482,84
2021,Manchester 015,E02001059,11689,10325,52,1059,253
2021,Manchester 017,E02001061,10816,9544,28,1050,194
2021,Manchester 018,E02001062,10032,8084,291,1126,531
2021,Manchester 019,E02001063,10976,5973,474,3589,940
2021,Manchester 020,E02001064,10618,9696,23,745,154
2021,Manchester 021,E02001065,9331,8146,20,1005,160
2021,Manchester 022,E02001066,11462,7655,919,2317,571
2021,Manchester 023,E02001067,11357,10347,40,801,169
2021,Manchester 024,E02001068,11745,10383,71,1066,225
2021,Manchester 025,E02001069,12328,9131,783,1864,550
2021,Manchester 026,E02001070,11919,7122,806,3155,836
2021,Manchester 028,E02001072,8813,7482,55,1182,94
2021,Manchester 029,E02001073,9267,7943,80,1122,122
2021,Manchester 030,E02001074,11674,10501,89,922,162
2021,Manchester 031,E02001075,8971,7904,43,830,194
2021,Manchester 032,E02001076,11217,4368,2296,4141,412
2021,Manchester 033,E02001077,7323,6418,63,776,66
2021,Manchester 034,E02001078,10558,9386,138,910,124
2021,Manchester 035,E02001079,9371,7346,584,1304,137
2021,Manchester 036,E02001080,9676,5068,1828,2576,204
2021,Manchester 037,E02001081,6239,5547,29,631,32
2021,Manchester 038,E02001082,6620,4818,388,1315,99
2021,Manchester 039,E02001083,8167,6238,130,1660,139
2021,Manchester 040,E02001084,8514,6433,611,1315,155
2021,Manchester 041,E02001085,8869,8276,14,499,80
2021,Manchester 042,E02001086,6810,5901,36,772,101
2021,Manchester 043,E02001087,9182,7777,124,1176,105
2021,Manchester 044,E02001088,8975,8292,23,622,38
2021,Manchester 045,E02001089,7963,7029,59,776,99
2021,Manchester 046,E02001090,6890,6212,41,541,96
2021,Manchester 047,E02001091,8252,7609,16,569,58
2021,Manchester 048,E02001092,9091,8309,23,637,122
2021,Manchester 049,E02001093,9732,8918,17,703,94
2021,Manchester 050,E02001094,9848,8992,15,732,109
2021,Manchester 051,E02001095,8935,8243,25,555,112
2021,Manchester 052,E02001096,7929,7272,25,574,58
