date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton 001A,E01004768,0,0,0
2021,Bolton 001B,E01004803,0,0,0
2021,Bolton 001C,E01004804,2,1,1
2021,Bolton 001D,E01004807,0,0,0
2021,Bolton 001E,E01004808,0,0,0
2021,Bolton 002A,E01004788,1,0,1
2021,Bolton 002B,E01004790,0,0,0
2021,Bolton 002C,E01004805,0,0,0
2021,Bolton 002D,E01004806,0,0,0
2021,Bolton 002E,E01004810,1,0,1
2021,Bolton 003A,E01004769,0,0,0
2021,Bolton 003B,E01004770,0,0,0
2021,Bolton 003C,E01004771,0,0,0
2021,Bolton 003D,E01004773,1,1,0
2021,Bolton 003E,E01004809,0,0,0
2021,Bolton 004A,E01004777,0,0,0
2021,Bolton 004B,E01004881,0,0,0
2021,Bolton 004C,E01004888,0,0,0
2021,Bolton 004D,E01004889,0,0,0
2021,Bolton 004E,E01004890,0,0,0
2021,Bolton 005A,E01004766,1,0,1
2021,Bolton 005B,E01004767,2,1,1
2021,Bolton 005C,E01004772,0,0,0
2021,Bolton 005D,E01004774,8,2,6
2021,Bolton 005E,E01004824,7,3,4
2021,Bolton 006A,E01004784,0,0,0
2021,Bolton 006B,E01004785,0,0,0
2021,Bolton 006C,E01004786,0,0,0
2021,Bolton 006D,E01004789,0,0,0
2021,Bolton 006E,E01004791,0,0,0
2021,Bolton 006F,E01004792,0,0,0
2021,Bolton 007A,E01004779,0,0,0
2021,Bolton 007B,E01004781,0,0,0
2021,Bolton 007C,E01004882,0,0,0
2021,Bolton 007D,E01004883,0,0,0
2021,Bolton 007E,E01004884,1,1,0
2021,Bolton 008A,E01004864,7,5,2
2021,Bolton 008B,E01004867,5,3,2
2021,Bolton 008C,E01004921,8,5,3
2021,Bolton 008D,E01004924,0,0,0
2021,Bolton 008E,E01004925,0,0,0
2021,Bolton 009A,E01004778,0,0,0
2021,Bolton 009B,E01004780,0,0,0
2021,Bolton 009C,E01004782,0,0,0
2021,Bolton 009D,E01004783,0,0,0
2021,Bolton 010A,E01004802,3,1,2
2021,Bolton 010B,E01004926,0,0,0
2021,Bolton 010C,E01004927,2,1,1
2021,Bolton 010D,E01004929,1,0,1
2021,Bolton 011A,E01004820,5,3,2
2021,Bolton 011B,E01004825,6,3,3
2021,Bolton 011C,E01004826,9,5,4
2021,Bolton 011D,E01004865,6,2,4
2021,Bolton 011E,E01004866,10,3,7
2021,Bolton 012A,E01004840,1,0,1
2021,Bolton 012B,E01004841,0,0,0
2021,Bolton 012C,E01004842,4,1,3
2021,Bolton 012D,E01004919,1,0,1
2021,Bolton 012E,E01004920,0,0,0
2021,Bolton 013A,E01004787,0,0,0
2021,Bolton 013B,E01004793,2,2,0
2021,Bolton 013C,E01004794,1,0,1
2021,Bolton 013D,E01004795,1,1,0
2021,Bolton 013E,E01004797,0,0,0
2021,Bolton 014A,E01004775,0,0,0
2021,Bolton 014B,E01004885,2,1,1
2021,Bolton 014C,E01004886,0,0,0
2021,Bolton 014D,E01004887,0,0,0
2021,Bolton 015A,E01004868,15,8,7
2021,Bolton 015B,E01004869,14,6,8
2021,Bolton 015C,E01004870,5,5,0
2021,Bolton 015D,E01004871,13,5,8
2021,Bolton 015E,E01004922,9,5,4
2021,Bolton 016B,E01004822,7,3,4
2021,Bolton 016C,E01004823,18,9,9
2021,Bolton 016D,E01004848,27,4,23
2021,Bolton 016E,E01033217,8,5,3
2021,Bolton 016F,E01033220,2,2,0
2021,Bolton 017A,E01004818,21,15,6
2021,Bolton 017B,E01004819,2,1,1
2021,Bolton 017C,E01004928,0,0,0
2021,Bolton 017D,E01004930,0,0,0
2021,Bolton 017E,E01004931,1,1,0
2021,Bolton 017F,E01004932,12,7,5
2021,Bolton 018A,E01004834,10,4,6
2021,Bolton 018B,E01004838,6,2,4
2021,Bolton 018C,E01004843,0,0,0
2021,Bolton 018D,E01004845,4,2,2
2021,Bolton 018E,E01004923,3,1,2
2021,Bolton 019A,E01004796,2,2,0
2021,Bolton 019B,E01004798,0,0,0
2021,Bolton 019C,E01004799,0,0,0
2021,Bolton 019D,E01004800,0,0,0
2021,Bolton 019E,E01004801,7,3,4
2021,Bolton 019F,E01004917,4,2,2
2021,Bolton 020A,E01004835,0,0,0
2021,Bolton 020B,E01004836,2,2,0
2021,Bolton 020C,E01004837,0,0,0
2021,Bolton 020D,E01004844,0,0,0
2021,Bolton 020E,E01004897,2,1,1
2021,Bolton 021A,E01004827,3,0,3
2021,Bolton 021B,E01004849,1,0,1
2021,Bolton 021C,E01004850,6,2,4
2021,Bolton 021D,E01004851,8,4,4
2021,Bolton 021E,E01004853,15,9,6
2021,Bolton 022A,E01004811,18,10,8
2021,Bolton 022B,E01004812,21,12,9
2021,Bolton 022C,E01004813,4,0,4
2021,Bolton 022D,E01004815,8,3,5
2021,Bolton 022E,E01004817,13,9,4
2021,Bolton 023A,E01004828,12,6,6
2021,Bolton 023B,E01004829,8,6,2
2021,Bolton 023C,E01004832,6,3,3
2021,Bolton 023D,E01004854,1,1,0
2021,Bolton 023E,E01004878,5,2,3
2021,Bolton 024A,E01004911,1,0,1
2021,Bolton 024B,E01004912,1,0,1
2021,Bolton 024C,E01004913,0,0,0
2021,Bolton 024D,E01004914,0,0,0
2021,Bolton 024E,E01004915,1,0,1
2021,Bolton 024F,E01004916,1,0,1
2021,Bolton 024G,E01004918,0,0,0
2021,Bolton 025A,E01004846,11,4,7
2021,Bolton 025B,E01004847,9,4,5
2021,Bolton 025C,E01004852,10,6,4
2021,Bolton 025D,E01004877,1,0,1
2021,Bolton 025E,E01004879,4,2,2
2021,Bolton 026A,E01004830,20,12,8
2021,Bolton 026B,E01004831,9,4,5
2021,Bolton 026C,E01004833,5,3,2
2021,Bolton 026D,E01004839,4,3,1
2021,Bolton 027A,E01004814,6,1,5
2021,Bolton 027B,E01004855,9,6,3
2021,Bolton 027C,E01004856,3,3,0
2021,Bolton 027D,E01004857,2,0,2
2021,Bolton 028A,E01004891,0,0,0
2021,Bolton 028B,E01004893,0,0,0
2021,Bolton 028C,E01004894,0,0,0
2021,Bolton 028E,E01004901,0,0,0
2021,Bolton 028F,E01033218,1,0,1
2021,Bolton 028G,E01033219,1,1,0
2021,Bolton 029A,E01004816,14,5,9
2021,Bolton 029B,E01004872,3,0,3
2021,Bolton 029C,E01004873,1,0,1
2021,Bolton 029D,E01004875,2,1,1
2021,Bolton 029E,E01004880,4,1,3
2021,Bolton 030A,E01004892,0,0,0
2021,Bolton 030B,E01004896,0,0,0
2021,Bolton 030C,E01004899,2,1,1
2021,Bolton 030D,E01004900,3,3,0
2021,Bolton 031A,E01004776,1,0,1
2021,Bolton 031B,E01004895,0,0,0
2021,Bolton 031C,E01004936,0,0,0
2021,Bolton 031D,E01004938,0,0,0
2021,Bolton 031E,E01004939,0,0,0
2021,Bolton 032A,E01004858,1,1,0
2021,Bolton 032B,E01004859,7,5,2
2021,Bolton 032C,E01004860,5,2,3
2021,Bolton 032D,E01004902,2,2,0
2021,Bolton 032E,E01004906,1,1,0
2021,Bolton 033A,E01004861,2,0,2
2021,Bolton 033B,E01004862,1,0,1
2021,Bolton 033C,E01004863,2,1,1
2021,Bolton 033D,E01004874,6,2,4
2021,Bolton 033E,E01004876,0,0,0
2021,Bolton 034A,E01004903,1,1,0
2021,Bolton 034B,E01004904,0,0,0
2021,Bolton 034C,E01004905,0,0,0
2021,Bolton 034D,E01004907,0,0,0
2021,Bolton 034E,E01004908,8,4,4
2021,Bolton 034F,E01004909,0,0,0
2021,Bolton 034G,E01004910,1,1,0
2021,Bolton 035A,E01004933,0,0,0
2021,Bolton 035B,E01004934,3,3,0
2021,Bolton 035C,E01004935,1,1,0
2021,Bolton 035D,E01004937,0,0,0
2021,Bolton 035E,E01004940,0,0,0
2021,Bury 001A,E01005014,0,0,0
2021,Bury 001B,E01005015,0,0,0
2021,Bury 001C,E01005016,0,0,0
2021,Bury 001D,E01005017,1,1,0
2021,Bury 001E,E01005018,0,0,0
2021,Bury 001F,E01005021,0,0,0
2021,Bury 002A,E01005019,0,0,0
2021,Bury 002B,E01005023,0,0,0
2021,Bury 002C,E01005046,1,0,1
2021,Bury 002D,E01005048,0,0,0
2021,Bury 003A,E01005020,0,0,0
2021,Bury 003B,E01005022,1,0,1
2021,Bury 003C,E01005047,0,0,0
2021,Bury 003D,E01005049,1,0,1
2021,Bury 003E,E01005051,0,0,0
2021,Bury 004A,E01004976,0,0,0
2021,Bury 004B,E01004977,0,0,0
2021,Bury 004C,E01004978,2,0,2
2021,Bury 004D,E01004981,0,0,0
2021,Bury 004E,E01004982,0,0,0
2021,Bury 005A,E01004961,1,1,0
2021,Bury 005B,E01004965,0,0,0
2021,Bury 005C,E01004966,0,0,0
2021,Bury 005D,E01004967,3,1,2
2021,Bury 006A,E01004963,0,0,0
2021,Bury 006B,E01004968,0,0,0
2021,Bury 006C,E01005050,0,0,0
2021,Bury 006D,E01005052,1,0,1
2021,Bury 006E,E01005053,0,0,0
2021,Bury 007A,E01004954,5,2,3
2021,Bury 007B,E01004955,0,0,0
2021,Bury 007C,E01004956,1,1,0
2021,Bury 007D,E01004957,3,1,2
2021,Bury 007E,E01004960,3,2,1
2021,Bury 008A,E01004958,3,0,3
2021,Bury 008B,E01004959,9,5,4
2021,Bury 008C,E01004979,5,3,2
2021,Bury 008D,E01004980,2,2,0
2021,Bury 008E,E01005024,14,5,9
2021,Bury 008F,E01005026,4,2,2
