date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Bolton 005A,E01004766,1658,367,5,5,276,63,18,34,21,9,4,35,8,3,13,11,1204,1173,12,0,0,19,18,4,14
2021,Bolton 005B,E01004767,1890,563,8,4,418,120,13,41,29,8,4,43,11,5,15,12,1199,1125,16,3,0,55,44,17,27
2021,Bolton 001A,E01004768,1596,104,0,0,61,33,10,6,3,1,2,35,15,1,11,8,1446,1425,9,0,0,12,5,3,2
2021,Bolton 003A,E01004769,1504,110,0,2,76,25,7,16,12,1,3,19,13,0,6,0,1349,1331,6,0,0,12,10,8,2
2021,Bolton 003B,E01004770,1520,406,0,12,312,71,11,7,5,1,1,20,12,1,7,0,1073,1057,5,0,0,11,14,0,14
2021,Bolton 003C,E01004771,1685,336,6,1,277,42,10,14,10,2,2,39,11,7,15,6,1289,1267,5,0,2,15,7,5,2
2021,Bolton 005C,E01004772,1840,138,0,12,64,46,16,70,47,8,15,59,17,11,14,17,1554,1488,8,1,0,57,19,0,19
2021,Bolton 003D,E01004773,1966,494,1,1,421,62,9,14,13,0,1,35,15,2,12,6,1398,1363,7,0,0,28,25,12,13
2021,Bolton 005D,E01004774,1764,325,4,15,229,67,10,40,33,1,6,41,11,5,17,8,1323,1299,12,0,0,12,35,7,28
2021,Bolton 014A,E01004775,2325,212,1,29,98,77,7,19,5,7,7,76,28,14,23,11,1998,1939,11,0,6,42,20,9,11
2021,Bolton 031A,E01004776,1822,64,0,3,38,5,18,9,7,1,1,16,7,2,3,4,1721,1673,9,0,2,37,12,5,7
2021,Bolton 004A,E01004777,1722,27,0,9,7,4,7,33,25,4,4,30,7,3,14,6,1625,1591,6,1,0,27,7,0,7
2021,Bolton 009A,E01004778,1190,22,0,0,12,8,2,1,1,0,0,19,9,4,3,3,1145,1134,3,0,2,6,3,1,2
2021,Bolton 007A,E01004779,1631,43,0,10,8,15,10,15,6,4,5,29,18,3,5,3,1541,1510,6,0,0,25,3,0,3
2021,Bolton 009B,E01004780,2289,35,5,4,16,3,7,23,20,2,1,44,12,6,16,10,2187,2134,14,1,1,37,0,0,0
2021,Bolton 007B,E01004781,2137,203,1,42,105,29,26,52,42,8,2,66,17,17,17,15,1789,1713,15,1,0,60,27,15,12
2021,Bolton 009C,E01004782,1350,5,0,0,4,1,0,7,6,1,0,28,4,6,12,6,1306,1294,1,0,2,9,4,0,4
2021,Bolton 009D,E01004783,1479,10,0,1,8,0,1,6,4,2,0,7,0,0,2,5,1447,1433,8,0,0,6,9,7,2
2021,Bolton 006A,E01004784,1190,13,0,0,7,3,3,3,2,1,0,12,7,2,3,0,1162,1152,6,0,0,4,0,0,0
2021,Bolton 006B,E01004785,1523,42,0,1,13,23,5,20,11,2,7,32,8,3,6,15,1421,1389,13,0,0,19,8,4,4
2021,Bolton 006C,E01004786,1450,32,0,10,8,6,8,4,0,3,1,10,2,1,7,0,1400,1382,7,0,0,11,4,0,4
2021,Bolton 013A,E01004787,1704,28,3,1,20,2,2,82,72,0,10,30,13,3,9,5,1550,1489,7,0,3,51,14,1,13
2021,Bolton 002A,E01004788,1357,18,0,2,13,2,1,3,2,1,0,15,3,2,5,5,1313,1294,8,0,0,11,8,0,8
2021,Bolton 006D,E01004789,1450,3,0,1,1,1,0,1,0,0,1,16,9,1,5,1,1429,1412,10,0,0,7,1,0,1
2021,Bolton 002B,E01004790,1418,21,0,0,17,0,4,5,4,1,0,24,14,0,7,3,1358,1325,8,0,0,25,10,0,10
2021,Bolton 006E,E01004791,1323,4,0,0,3,0,1,3,0,3,0,16,3,3,8,2,1299,1276,3,0,0,20,1,0,1
2021,Bolton 006F,E01004792,1408,7,0,2,3,1,1,6,4,1,1,31,16,2,6,7,1354,1336,6,1,0,11,10,0,10
2021,Bolton 013B,E01004793,1751,23,0,2,10,10,1,89,70,5,14,53,11,13,18,11,1555,1471,5,1,13,65,31,20,11
2021,Bolton 013C,E01004794,2122,52,0,4,28,9,11,141,131,3,7,224,12,16,189,7,1655,1537,12,2,10,94,50,24,26
2021,Bolton 013D,E01004795,1506,34,0,0,15,15,4,33,22,3,8,37,14,4,15,4,1400,1353,8,0,2,37,2,0,2
2021,Bolton 019A,E01004796,1574,94,0,9,15,58,12,28,19,6,3,28,12,1,14,1,1411,1370,4,0,0,37,13,6,7
2021,Bolton 013E,E01004797,1496,75,5,11,0,41,18,155,114,9,32,24,8,8,3,5,1199,1142,7,0,7,43,43,22,21
2021,Bolton 019B,E01004798,1613,64,1,21,13,17,12,38,36,1,1,55,14,5,27,9,1450,1410,9,1,0,30,6,0,6
2021,Bolton 019C,E01004799,1274,63,3,5,30,18,7,16,7,7,2,11,2,0,4,5,1169,1138,18,0,0,13,15,2,13
2021,Bolton 019D,E01004800,1293,61,0,4,40,14,3,6,4,2,0,29,9,2,3,15,1189,1176,12,0,0,1,8,2,6
2021,Bolton 019E,E01004801,1675,57,0,15,21,13,8,92,74,6,12,70,16,17,28,9,1451,1397,11,0,0,43,5,0,5
2021,Bolton 010A,E01004802,1971,105,0,8,40,38,19,155,114,5,36,101,18,38,26,19,1597,1418,13,1,4,161,13,3,10
2021,Bolton 001B,E01004803,1623,23,1,0,5,14,3,5,3,2,0,33,14,0,4,15,1557,1529,9,0,0,19,5,0,5
2021,Bolton 001C,E01004804,1468,16,0,7,8,0,1,6,6,0,0,26,10,0,12,4,1415,1388,9,0,0,18,5,1,4
2021,Bolton 002C,E01004805,1566,19,0,1,10,5,3,4,3,1,0,26,6,1,12,7,1514,1487,17,0,0,10,3,2,1
2021,Bolton 002D,E01004806,1519,16,0,0,4,11,1,2,1,0,1,23,10,6,2,5,1472,1446,9,0,1,16,6,0,6
2021,Bolton 001D,E01004807,1376,26,1,4,19,1,1,0,0,0,0,25,9,2,10,4,1322,1305,5,0,0,12,3,0,3
2021,Bolton 001E,E01004808,1617,29,0,2,21,3,3,0,0,0,0,28,16,0,4,8,1554,1526,10,1,0,17,6,0,6
2021,Bolton 003E,E01004809,1724,24,2,6,11,0,5,7,3,4,0,29,7,7,9,6,1660,1629,14,0,0,17,4,0,4
2021,Bolton 002E,E01004810,1557,55,0,9,7,32,7,7,5,2,0,22,11,4,4,3,1467,1443,19,0,0,5,6,0,6
2021,Bolton 022A,E01004811,1845,865,13,0,196,592,64,107,92,4,11,49,26,14,5,4,760,529,4,1,6,220,64,13,51
2021,Bolton 022B,E01004812,2401,1440,4,0,203,1196,37,163,143,12,8,51,27,7,8,9,659,540,9,2,18,90,88,42,46
2021,Bolton 022C,E01004813,1748,909,2,13,133,714,47,81,63,5,13,43,12,13,0,18,629,576,6,0,0,47,86,13,73
2021,Bolton 027A,E01004814,1607,663,7,7,61,552,36,42,32,4,6,40,18,7,11,4,832,795,2,4,0,31,30,12,18
2021,Bolton 022D,E01004815,1784,1076,9,5,262,757,43,71,55,14,2,24,12,0,4,8,546,470,8,1,0,67,67,22,45
2021,Bolton 029A,E01004816,2939,2207,2,0,144,1971,90,43,39,3,1,23,6,6,4,7,521,478,5,0,4,34,145,27,118
2021,Bolton 022E,E01004817,2064,566,15,27,178,307,39,133,103,14,16,44,18,9,14,3,1243,1059,6,3,1,174,78,22,56
2021,Bolton 017A,E01004818,1721,622,8,10,127,451,26,163,156,6,1,45,14,15,11,5,839,722,15,1,13,88,52,17,35
2021,Bolton 017B,E01004819,1518,490,0,3,113,363,11,40,39,1,0,23,15,0,3,5,954,897,10,0,3,44,11,1,10
2021,Bolton 011A,E01004820,1790,884,8,5,525,309,37,273,236,3,34,34,11,7,13,3,512,446,12,1,7,46,87,44,43
2021,Bolton 016B,E01004822,1852,1104,2,7,758,320,17,181,167,9,5,37,16,12,3,6,435,378,5,1,0,51,95,69,26
2021,Bolton 016C,E01004823,2044,571,6,8,167,347,43,256,216,21,19,57,10,21,12,14,1003,916,16,0,8,63,157,102,55
2021,Bolton 005E,E01004824,1884,1602,19,2,1324,241,16,82,68,4,10,22,14,0,0,8,154,132,5,6,0,11,24,6,18
2021,Bolton 011B,E01004825,1969,1509,11,1,997,482,18,64,54,5,5,34,11,4,8,11,301,255,5,0,3,38,61,22,39
2021,Bolton 011C,E01004826,1667,853,18,3,458,344,30,140,114,5,21,30,7,15,5,3,569,503,2,13,0,51,75,36,39
2021,Bolton 021A,E01004827,1991,759,33,8,297,319,102,379,326,7,46,44,7,21,8,8,680,607,1,0,13,59,129,38,91
2021,Bolton 023A,E01004828,2018,1083,37,5,554,413,74,288,271,4,13,42,15,4,5,18,494,409,4,2,12,67,111,40,71
2021,Bolton 023B,E01004829,1457,1021,14,4,678,273,52,69,66,1,2,28,24,2,0,2,233,176,2,1,2,52,106,21,85
2021,Bolton 026A,E01004830,1755,500,4,5,223,240,28,91,80,1,10,46,20,11,6,9,1039,924,8,11,9,87,79,17,62
2021,Bolton 026B,E01004831,1825,814,11,0,462,308,33,26,18,1,7,44,24,8,6,6,901,866,5,0,0,30,40,9,31
2021,Bolton 023C,E01004832,1641,510,11,0,322,138,39,54,46,2,6,46,20,6,10,10,983,910,4,0,7,62,48,22,26
2021,Bolton 026C,E01004833,1533,342,1,2,227,98,14,16,12,3,1,44,25,0,12,7,1119,1089,10,1,0,19,12,4,8
2021,Bolton 018A,E01004834,1747,918,89,1,487,326,15,135,113,5,17,56,37,9,4,6,572,508,1,2,3,58,66,20,46
2021,Bolton 020A,E01004835,1464,700,0,2,406,265,27,8,6,0,2,20,7,6,1,6,688,675,0,1,0,12,48,28,20
2021,Bolton 020B,E01004836,1745,816,5,17,357,426,11,14,9,1,4,32,9,4,6,13,842,810,7,0,4,21,41,24,17
2021,Bolton 020C,E01004837,1563,561,0,12,337,187,25,19,16,2,1,34,22,2,1,9,933,896,12,0,0,25,16,0,16
2021,Bolton 018B,E01004838,2010,758,31,8,373,319,27,214,181,3,30,67,16,12,14,25,813,735,3,6,7,62,158,25,133
2021,Bolton 026D,E01004839,2370,660,16,15,326,257,46,198,174,0,24,48,22,13,5,8,1409,1337,4,4,1,63,55,27,28
2021,Bolton 012A,E01004840,1736,233,2,16,106,97,12,30,22,8,0,33,13,7,8,5,1427,1392,17,2,0,16,13,0,13
2021,Bolton 012B,E01004841,1746,58,0,5,20,19,14,130,116,0,14,56,10,28,8,10,1487,1418,3,7,4,55,15,7,8
2021,Bolton 012C,E01004842,1711,233,15,0,161,54,3,14,11,2,1,37,7,7,16,7,1425,1386,13,0,0,26,2,0,2
2021,Bolton 018C,E01004843,1560,289,1,15,159,102,12,19,9,4,6,31,17,6,3,5,1198,1157,3,0,0,38,23,8,15
2021,Bolton 020D,E01004844,1575,348,0,10,255,70,13,29,23,2,4,39,27,2,3,7,1135,1105,14,0,0,16,24,16,8
2021,Bolton 018D,E01004845,1870,637,0,23,336,260,18,58,50,6,2,69,45,2,13,9,1075,1023,13,0,0,39,31,22,9
2021,Bolton 025A,E01004846,1410,728,7,0,198,490,33,93,88,0,5,43,18,13,3,9,505,391,3,3,16,92,41,5,36
2021,Bolton 025B,E01004847,2280,1214,24,13,529,581,67,231,204,8,19,127,84,5,15,23,607,532,8,0,7,60,101,26,75
2021,Bolton 016D,E01004848,2087,535,6,24,185,252,68,245,223,9,13,53,14,15,15,9,1162,1017,15,1,14,115,92,33,59
2021,Bolton 021B,E01004849,1793,1318,101,8,792,311,106,275,239,7,29,24,10,6,0,8,94,65,3,1,0,25,82,25,57
2021,Bolton 021C,E01004850,2293,1030,40,5,421,494,70,584,549,7,28,62,31,11,13,7,496,401,2,0,0,93,121,28,93
2021,Bolton 021D,E01004851,1690,1064,21,3,621,346,73,183,168,7,8,36,11,8,7,10,300,247,5,0,0,48,107,35,72
2021,Bolton 025C,E01004852,1728,1367,8,1,1044,255,59,122,105,2,15,35,11,7,2,15,141,102,3,0,3,33,63,7,56
2021,Bolton 021E,E01004853,1574,1032,33,6,651,303,39,156,134,6,16,43,13,7,3,20,254,207,4,0,2,41,89,17,72
2021,Bolton 023D,E01004854,1657,1398,14,1,1006,291,86,55,52,0,3,36,26,8,0,2,111,84,3,5,3,16,57,11,46
2021,Bolton 027B,E01004855,1484,198,9,1,24,154,10,28,21,5,2,33,3,8,11,11,1215,1176,7,1,0,31,10,1,9
2021,Bolton 027C,E01004856,1535,460,2,0,59,383,16,63,57,2,4,28,6,6,12,4,948,909,3,0,0,36,36,6,30
2021,Bolton 027D,E01004857,1899,593,18,1,29,525,20,56,45,1,10,33,15,6,2,10,1181,1119,9,1,3,49,36,0,36
2021,Bolton 032A,E01004858,1587,171,5,4,48,84,30,26,21,5,0,25,8,7,6,4,1360,1322,5,0,3,30,5,1,4
2021,Bolton 032B,E01004859,1506,136,0,7,33,84,12,53,44,1,8,23,4,3,8,8,1277,1241,9,0,0,27,17,3,14
2021,Bolton 032C,E01004860,1467,59,0,1,14,36,8,30,27,3,0,17,1,8,6,2,1350,1317,11,0,1,21,11,7,4
2021,Bolton 033A,E01004861,1960,172,8,12,39,89,24,150,114,4,32,94,16,62,11,5,1520,1402,5,0,1,112,24,15,9
2021,Bolton 033B,E01004862,1436,83,7,0,22,42,12,32,20,4,8,24,10,3,9,2,1284,1227,3,3,3,48,13,6,7
2021,Bolton 033C,E01004863,1585,101,0,8,10,76,7,74,60,5,9,34,5,6,16,7,1345,1284,6,0,1,54,31,13,18
2021,Bolton 008A,E01004864,1464,183,1,3,124,51,4,23,20,2,1,43,20,3,12,8,1199,1154,8,0,0,37,16,0,16
2021,Bolton 011D,E01004865,1577,465,1,5,242,206,11,47,43,2,2,44,13,10,7,14,1011,956,11,0,2,42,10,3,7
2021,Bolton 011E,E01004866,2036,840,7,6,317,496,14,180,156,7,17,61,19,8,17,17,842,759,14,0,4,65,113,82,31
2021,Bolton 008B,E01004867,1551,649,5,1,429,202,12,20,14,4,2,37,9,7,15,6,819,758,12,0,0,49,26,9,17
2021,Bolton 015A,E01004868,2163,1009,0,16,173,803,17,136,121,5,10,53,16,21,9,7,914,810,8,0,9,87,51,7,44
2021,Bolton 015B,E01004869,2186,599,11,10,107,445,26,144,126,7,11,66,16,20,8,22,1290,873,6,247,7,157,87,13,74
2021,Bolton 015C,E01004870,2014,1022,7,10,187,784,34,92,72,1,19,69,35,14,8,12,780,630,9,19,3,119,51,24,27
2021,Bolton 015D,E01004871,1814,1260,11,3,181,1032,33,144,129,5,10,38,19,6,7,6,319,258,4,6,1,50,53,15,38
2021,Bolton 029B,E01004872,1698,293,10,11,71,159,42,58,51,3,4,52,19,15,13,5,1255,1214,2,0,0,39,40,11,29
2021,Bolton 029C,E01004873,2023,638,42,6,95,460,35,261,91,0,170,37,18,10,5,4,1025,997,2,0,3,23,62,15,47
2021,Bolton 033D,E01004874,1754,121,5,0,9,60,47,53,50,2,1,35,5,10,18,2,1518,1458,3,0,0,57,27,4,23
2021,Bolton 029D,E01004875,1668,258,0,10,89,123,36,26,26,0,0,29,14,4,10,1,1349,1313,8,0,2,26,6,1,5
2021,Bolton 033E,E01004876,1966,231,0,3,68,17,143,53,40,4,9,44,10,10,17,7,1609,1544,8,0,4,53,29,6,23
2021,Bolton 025D,E01004877,2072,854,21,1,253,496,83,286,261,1,24,35,12,9,3,11,662,616,7,0,1,38,235,48,187
2021,Bolton 023E,E01004878,1695,943,1,0,599,302,41,69,54,3,12,42,12,11,9,10,570,525,4,1,0,40,71,27,44
2021,Bolton 025E,E01004879,1653,761,10,4,153,523,71,137,128,0,9,26,16,3,4,3,682,592,7,0,1,82,47,16,31
2021,Bolton 029E,E01004880,1478,634,9,1,117,480,27,1,1,0,0,29,7,2,6,14,778,711,6,30,0,31,36,1,35
