date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Bolton 001,E02000984,7679,198,2,13,114,51,18,17,12,3,2,148,62,4,40,42,7292,7170,41,1,0,80,24,4,20
2021,Bolton 002,E02000985,7417,130,0,12,51,50,17,21,15,5,1,110,43,12,31,24,7124,6995,61,0,1,67,32,2,30
2021,Bolton 003,E02000986,8398,1371,9,21,1097,202,42,59,43,9,7,141,57,17,49,18,6769,6646,37,0,2,84,58,25,33
2021,Bolton 004,E02000987,7300,118,0,17,43,20,38,60,43,12,5,109,41,13,38,17,6996,6825,29,3,10,129,17,2,15
2021,Bolton 005,E02000988,9043,3001,36,37,2312,540,76,268,198,30,40,199,61,24,58,56,5437,5217,55,10,0,155,138,33,105
2021,Bolton 006,E02000989,8350,101,0,14,35,34,18,37,17,10,10,120,45,13,35,27,8068,7947,47,1,0,73,24,4,20
2021,Bolton 007,E02000990,8354,346,1,60,161,72,52,95,68,18,9,161,62,23,42,34,7696,7500,48,2,5,141,56,15,41
2021,Bolton 008,E02000991,7813,1383,15,15,852,472,29,105,85,12,8,182,66,25,47,44,6076,5873,54,0,0,149,67,10,57
2021,Bolton 009,E02000992,6301,70,5,5,38,12,10,36,30,5,1,96,24,17,30,25,6083,5995,26,1,4,57,16,8,8
2021,Bolton 010,E02000993,8435,594,19,102,198,197,78,559,459,22,78,269,67,61,85,56,6906,6432,33,3,23,415,107,35,72
2021,Bolton 011,E02000994,9046,4553,46,20,2540,1836,111,703,603,21,79,203,61,42,53,47,3241,2918,45,15,21,242,346,187,159
2021,Bolton 012,E02000995,8345,761,21,32,419,245,44,236,188,19,29,196,55,54,43,44,7097,6868,51,7,4,167,55,18,37
2021,Bolton 013,E02000996,8573,206,7,18,70,77,34,501,409,19,73,368,58,44,234,32,7360,6992,39,4,35,290,138,66,72
2021,Bolton 014,E02000997,6478,461,9,42,242,148,20,52,23,19,10,155,62,23,40,30,5751,5559,45,5,12,130,59,11,48
2021,Bolton 015,E02000998,10435,4477,30,55,867,3397,128,626,539,29,58,318,108,94,54,62,4720,3779,46,284,26,585,294,72,222
2021,Bolton 016,E02000999,8534,2516,16,67,1188,1074,171,1154,954,54,146,234,62,74,40,58,4086,3521,58,61,40,406,544,327,217
2021,Bolton 017,E02001000,9177,1385,13,39,325,937,71,364,337,18,9,203,73,53,53,24,7131,6765,55,1,17,293,94,25,69
2021,Bolton 018,E02001001,8850,3155,128,53,1530,1345,99,453,378,20,55,283,141,36,37,69,4636,4338,28,14,14,242,323,81,242
2021,Bolton 019,E02001002,9728,434,9,59,153,159,54,256,198,29,29,255,69,38,100,48,8718,8498,64,1,0,155,65,22,43
2021,Bolton 020,E02001003,7357,2565,13,43,1401,1026,82,78,62,5,11,152,79,15,16,42,4423,4289,41,2,4,87,139,74,65
2021,Bolton 021,E02001004,9345,5204,230,29,2782,1773,390,1576,1416,32,128,210,71,53,33,53,1828,1527,17,1,16,267,527,143,384
2021,Bolton 022,E02001005,9845,4855,43,45,972,3566,229,553,456,48,49,215,96,43,33,43,3838,3174,35,7,26,596,384,112,272
2021,Bolton 023,E02001006,8471,4956,78,11,3159,1417,291,534,489,10,35,196,97,31,24,44,2393,2106,17,9,25,236,392,121,271
2021,Bolton 024,E02001007,10066,288,0,20,140,112,16,87,56,16,15,137,39,24,52,22,9516,9362,65,8,1,80,38,13,25
2021,Bolton 025,E02001008,9159,4926,69,20,2178,2346,313,868,785,11,72,273,141,37,29,66,2604,2237,28,3,30,306,488,103,385
2021,Bolton 026,E02001009,7484,2315,32,23,1238,902,120,333,286,5,42,186,91,32,31,32,4466,4217,27,16,10,196,184,54,130
2021,Bolton 027,E02001010,6525,1916,36,10,173,1613,84,186,153,12,21,134,42,27,36,29,4175,3999,21,5,3,147,114,20,94
2021,Bolton 028,E02001011,9743,330,0,47,164,73,46,82,64,13,5,216,98,33,59,26,9056,8886,41,2,8,119,59,21,38
2021,Bolton 029,E02001012,9804,4031,63,29,516,3193,230,388,207,6,175,168,63,39,35,31,4928,4712,23,30,8,155,289,55,234
2021,Bolton 030,E02001013,6106,1191,20,34,779,313,45,86,60,9,17,131,70,21,19,21,4582,4455,41,1,4,81,116,30,86
2021,Bolton 031,E02001014,8463,160,1,22,74,28,35,59,43,9,7,156,39,24,58,35,8056,7830,44,3,7,172,32,16,16
2021,Bolton 032,E02001015,8202,518,9,33,135,268,73,230,188,18,24,142,29,42,39,32,7237,6989,31,0,7,210,75,17,58
2021,Bolton 033,E02001016,8706,713,22,23,148,287,233,363,286,18,59,231,46,91,71,23,7274,6915,25,3,10,321,125,44,81
2021,Bolton 034,E02001017,10774,224,3,25,78,83,35,144,101,25,18,199,63,40,51,45,10132,9861,71,6,3,191,75,27,48
2021,Bolton 035,E02001018,7658,144,0,31,65,27,21,72,52,7,13,149,55,21,43,30,7247,7087,40,10,1,109,46,11,35
2021,Bury 001,E02001019,9041,304,110,34,50,74,36,47,16,20,11,193,58,17,83,35,8460,8199,78,6,4,173,37,2,35
2021,Bury 002,E02001020,5917,74,0,13,15,40,6,18,10,7,1,97,38,9,28,22,5715,5595,62,5,0,53,13,2,11
2021,Bury 003,E02001021,7505,63,3,21,11,22,6,22,14,5,3,119,41,17,33,28,7283,7131,78,4,0,70,18,1,17
2021,Bury 004,E02001022,8071,1018,6,30,30,901,51,137,100,22,15,183,83,19,45,36,6669,6436,70,7,7,149,64,14,50
2021,Bury 005,E02001023,5694,445,11,24,43,327,40,79,54,12,13,138,61,19,36,22,4973,4801,38,0,0,134,59,10,49
2021,Bury 006,E02001024,8058,166,0,23,14,105,24,71,49,14,8,122,46,11,38,27,7673,7488,67,3,5,110,26,6,20
2021,Bury 007,E02001025,8152,918,49,26,147,496,200,479,403,29,47,267,88,38,87,54,6249,5922,53,12,9,253,239,68,171
2021,Bury 008,E02001026,11350,4722,86,42,146,4156,292,323,243,47,33,298,92,42,90,74,5657,4986,59,18,15,579,350,61,289
2021,Bury 009,E02001027,7282,530,14,31,28,392,65,128,88,22,18,176,50,18,80,28,6360,6119,58,4,16,163,88,24,64
2021,Bury 010,E02001028,7331,389,7,50,52,256,24,46,30,7,9,102,36,19,26,21,6751,6617,67,3,0,64,43,7,36
2021,Bury 011,E02001029,7781,2953,35,41,48,2680,149,171,110,35,26,225,106,16,59,44,4262,3747,50,10,14,441,170,37,133
2021,Bury 012,E02001030,6182,201,0,36,48,83,34,37,13,22,2,105,24,15,43,23,5813,5705,43,3,0,62,26,11,15
2021,Bury 013,E02001031,6878,1213,33,46,32,1047,55,93,59,28,6,187,52,13,82,40,5273,4942,84,0,2,245,112,29,83
2021,Bury 014,E02001032,7675,265,1,30,40,159,35,77,49,14,14,147,64,21,42,20,7145,6944,53,12,0,136,41,0,41
2021,Bury 015,E02001033,6181,469,14,40,29,326,60,119,96,7,16,208,75,28,73,32,5292,5044,52,1,4,191,93,28,65
2021,Bury 016,E02001034,8617,571,25,53,45,359,89,262,172,50,40,250,61,54,111,24,7412,7040,62,20,14,276,122,39,83
2021,Bury 017,E02001035,7215,520,4,50,108,340,18,57,34,13,10,169,47,34,49,39,6430,6102,137,1,0,190,39,4,35
2021,Bury 018,E02001036,7481,323,21,51,57,140,54,180,116,36,28,224,50,33,89,52,6649,6330,71,6,1,241,105,15,90
2021,Bury 019,E02001037,7214,468,5,37,153,213,60,37,19,15,3,170,60,21,39,50,6259,5778,145,0,6,330,280,11,269
2021,Bury 020,E02001038,5679,538,6,46,97,305,84,111,77,18,16,202,61,46,46,49,4679,4311,90,0,2,276,149,25,124
2021,Bury 021,E02001039,8603,558,14,91,94,275,84,459,286,94,79,361,76,90,123,72,7021,6492,116,3,10,400,204,78,126
2021,Bury 022,E02001040,6406,596,0,72,97,346,81,113,83,20,10,169,62,34,33,40,5370,4965,138,0,0,267,158,54,104
2021,Bury 023,E02001041,7730,580,4,31,83,365,97,192,115,51,26,321,94,48,122,57,6459,5909,128,9,10,403,178,40,138
2021,Bury 024,E02001042,6564,570,0,41,110,305,114,117,70,28,19,223,95,32,50,46,5400,4792,152,0,9,447,254,40,214
2021,Bury 025,E02001043,5686,494,12,51,105,228,98,186,140,34,12,230,64,36,70,60,4638,4231,119,4,0,284,138,36,102
2021,Bury 026,E02001044,9564,1653,20,44,186,1213,190,129,70,52,7,238,85,21,43,89,6818,5902,119,0,6,791,726,73,653
2021,Manchester 001,E02001045,8432,472,31,72,56,217,96,990,801,49,140,328,59,76,129,64,6476,5905,124,10,4,433,166,67,99
2021,Manchester 002,E02001046,11214,1232,31,191,124,688,198,1750,1383,134,233,547,97,173,164,113,7351,6438,144,8,19,742,334,122,212
2021,Manchester 003,E02001047,10472,839,28,226,112,324,149,1739,1458,121,160,453,68,130,191,64,7267,6696,119,5,10,437,174,57,117
2021,Manchester 004,E02001048,9446,3176,30,63,301,2503,279,681,507,100,74,327,87,50,91,99,4587,3732,123,7,10,715,675,290,385
2021,Manchester 005,E02001049,10494,692,19,238,80,283,72,1270,1013,104,153,411,41,123,175,72,7959,7488,122,2,10,337,162,57,105
2021,Manchester 006,E02001050,8431,1723,40,146,151,982,404,1818,1538,112,168,434,74,145,127,88,3969,3235,90,14,15,615,487,223,264
2021,Manchester 007,E02001051,9269,921,41,340,97,325,118,2420,2054,107,259,427,51,173,145,58,5260,4674,99,4,10,473,241,98,143
2021,Manchester 008,E02001052,15011,9449,132,125,508,7788,896,1031,794,155,82,480,163,79,110,128,2767,1820,107,13,31,796,1284,633,651
2021,Manchester 009,E02001053,11911,1402,13,272,113,739,265,3425,2848,147,430,715,61,273,252,129,5894,5059,106,34,4,691,475,213,262
2021,Manchester 011,E02001055,9687,629,38,159,111,213,108,1750,1438,110,202,510,42,154,228,86,6601,5989,117,28,14,453,197,81,116
