date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Bolton,E08000001,295960,59596,985,1123,26238,27897,3353,11238,9299,603,1336,6643,2338,1242,1737,1326,212941,203486,1430,519,373,7133,5542,1812,3730
2021,Bury,E08000002,193851,20593,480,1055,1866,15148,2044,3690,2520,701,469,5123,1670,746,1622,1085,160716,151528,2192,132,134,6730,3729,715,3014
2021,Manchester,E08000003,551938,115109,9673,12644,14857,65875,12060,65893,47858,10472,7563,29026,6149,5992,9987,6898,313632,268572,9442,597,883,34138,28278,15028,13250
2021,Oldham,E08000004,242087,59565,21754,819,1676,32802,2514,8209,6065,876,1268,6125,1829,1043,2353,900,164897,157914,1279,177,549,4978,3291,521,2770
2021,Rochdale,E08000005,223771,41406,5170,867,1190,30525,3654,7927,6476,440,1011,5284,1736,1210,1303,1035,165485,156669,1735,194,163,6724,3669,815,2854
2021,Salford,E08000006,269922,14938,803,3319,3744,4074,2998,16473,13477,1338,1658,8501,1844,2098,2596,1963,222248,199614,2882,295,515,18942,7762,3214,4548
2021,Stockport,E08000007,294770,21464,963,2306,4433,10953,2809,3416,2030,896,490,7668,2359,1236,2215,1858,257530,245831,4174,90,132,7303,4692,1509,3183
2021,Tameside,E08000008,231070,21198,5842,1402,3737,8966,1251,5275,4115,612,548,4963,1344,859,1854,906,197676,190305,1536,112,100,5623,1958,540,1418
2021,Trafford,E08000009,235053,29588,634,4813,10208,11479,2454,8086,3636,3442,1008,8834,2443,1068,3091,2232,182761,169550,4884,46,134,8147,5784,2457,3327
2021,Wigan,E08000010,329330,5826,156,1234,1532,1342,1562,3907,3081,331,495,4353,1293,885,1148,1027,312952,302482,1353,247,291,8579,2292,711,1581
2021,Birmingham,E08000025,1144922,355384,48232,12487,66519,195102,33044,125760,66822,44718,14220,55205,13130,4680,25119,12276,556608,491211,16964,686,1833,45914,51965,19196,32769
2021,Coventry,E08000026,345321,63915,4257,4571,32096,12658,10333,30723,24109,3459,3155,11731,3182,1663,4597,2289,226246,190889,5662,294,1116,28285,12706,2482,10224
2021,Dudley,E08000027,323488,27047,619,1005,7812,14906,2705,8170,3499,3625,1046,9191,2254,482,5133,1322,274596,266564,1114,428,194,6296,4484,2026,2458
2021,Sandwell,E08000028,341832,88024,11074,1204,44378,22148,9220,29779,12668,13103,4008,14680,3274,928,8030,2448,195624,177929,1591,324,375,15405,13725,2016,11709
2021,Solihull,E08000029,216240,23845,1077,1758,11344,7608,2058,3955,1346,2033,576,7496,2073,423,3695,1305,177668,168398,3919,74,57,5220,3276,888,2388
2021,Walsall,E08000030,284126,53199,6378,891,22726,19739,3465,13024,6439,4889,1696,9317,2386,620,4834,1477,202724,191529,1070,356,220,9549,5862,509,5353
2021,Wolverhampton,E08000031,263726,55901,531,802,42052,6676,5840,24636,11158,9905,3573,14065,2573,939,8495,2058,159707,144303,1170,255,451,13528,9417,966,8451
