date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bolton 001A,E01004768,613
2021,Bolton 001B,E01004803,716
2021,Bolton 001C,E01004804,606
2021,Bolton 001D,E01004807,579
2021,Bolton 001E,E01004808,690
2021,Bolton 002A,E01004788,608
2021,Bolton 002B,E01004790,645
2021,Bolton 002C,E01004805,671
2021,Bolton 002D,E01004806,660
2021,Bolton 002E,E01004810,635
2021,Bolton 003A,E01004769,683
2021,Bolton 003B,E01004770,611
2021,Bolton 003C,E01004771,629
2021,Bolton 003D,E01004773,858
2021,Bolton 003E,E01004809,869
2021,Bolton 004A,E01004777,791
2021,Bolton 004B,E01004881,781
2021,Bolton 004C,E01004888,572
2021,Bolton 004D,E01004889,635
2021,Bolton 004E,E01004890,683
2021,Bolton 005A,E01004766,805
2021,Bolton 005B,E01004767,854
2021,Bolton 005C,E01004772,748
2021,Bolton 005D,E01004774,735
2021,Bolton 005E,E01004824,495
2021,Bolton 006A,E01004784,507
2021,Bolton 006B,E01004785,649
2021,Bolton 006C,E01004786,686
2021,Bolton 006D,E01004789,608
2021,Bolton 006E,E01004791,654
2021,Bolton 006F,E01004792,640
2021,Bolton 007A,E01004779,622
2021,Bolton 007B,E01004781,953
2021,Bolton 007C,E01004882,625
2021,Bolton 007D,E01004883,796
2021,Bolton 007E,E01004884,696
2021,Bolton 008A,E01004864,682
2021,Bolton 008B,E01004867,592
2021,Bolton 008C,E01004921,715
2021,Bolton 008D,E01004924,624
2021,Bolton 008E,E01004925,637
2021,Bolton 009A,E01004778,541
2021,Bolton 009B,E01004780,978
2021,Bolton 009C,E01004782,583
2021,Bolton 009D,E01004783,657
2021,Bolton 010A,E01004802,758
2021,Bolton 010B,E01004926,521
2021,Bolton 010C,E01004927,1050
2021,Bolton 010D,E01004929,1121
2021,Bolton 011A,E01004820,620
2021,Bolton 011B,E01004825,604
2021,Bolton 011C,E01004826,600
2021,Bolton 011D,E01004865,736
2021,Bolton 011E,E01004866,757
2021,Bolton 012A,E01004840,722
2021,Bolton 012B,E01004841,657
2021,Bolton 012C,E01004842,732
2021,Bolton 012D,E01004919,648
2021,Bolton 012E,E01004920,665
2021,Bolton 013A,E01004787,754
2021,Bolton 013B,E01004793,695
2021,Bolton 013C,E01004794,721
2021,Bolton 013D,E01004795,694
2021,Bolton 013E,E01004797,518
2021,Bolton 014A,E01004775,926
2021,Bolton 014B,E01004885,566
2021,Bolton 014C,E01004886,622
2021,Bolton 014D,E01004887,606
2021,Bolton 015A,E01004868,726
2021,Bolton 015B,E01004869,828
2021,Bolton 015C,E01004870,757
2021,Bolton 015D,E01004871,508
2021,Bolton 015E,E01004922,883
2021,Bolton 016B,E01004822,610
2021,Bolton 016C,E01004823,860
2021,Bolton 016D,E01004848,782
2021,Bolton 016E,E01033217,648
2021,Bolton 016F,E01033220,735
2021,Bolton 017A,E01004818,686
2021,Bolton 017B,E01004819,600
2021,Bolton 017C,E01004928,687
2021,Bolton 017D,E01004930,628
2021,Bolton 017E,E01004931,745
2021,Bolton 017F,E01004932,722
2021,Bolton 018A,E01004834,583
2021,Bolton 018B,E01004838,652
2021,Bolton 018C,E01004843,623
2021,Bolton 018D,E01004845,715
2021,Bolton 018E,E01004923,635
2021,Bolton 019A,E01004796,670
2021,Bolton 019B,E01004798,666
2021,Bolton 019C,E01004799,584
2021,Bolton 019D,E01004800,532
2021,Bolton 019E,E01004801,664
2021,Bolton 019F,E01004917,958
2021,Bolton 020A,E01004835,558
2021,Bolton 020B,E01004836,603
2021,Bolton 020C,E01004837,596
2021,Bolton 020D,E01004844,616
