date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bolton,E08000001,118790
2021,Bury,E08000002,80696
2021,Manchester,E08000003,214732
2021,Oldham,E08000004,93140
2021,Rochdale,E08000005,90223
2021,Salford,E08000006,115116
2021,Stockport,E08000007,126648
2021,Tameside,E08000008,99527
2021,Trafford,E08000009,96269
2021,Wigan,E08000010,143105
2021,Birmingham,E08000025,423456
2021,Coventry,E08000026,134139
2021,Dudley,E08000027,137069
2021,Sandwell,E08000028,130246
2021,Solihull,E08000029,89483
2021,Walsall,E08000030,112226
2021,Wolverhampton,E08000031,105141
