date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bolton 001,E02000984,3208
2021,Bolton 002,E02000985,3220
2021,Bolton 003,E02000986,3647
2021,Bolton 004,E02000987,3462
2021,Bolton 005,E02000988,3640
2021,Bolton 006,E02000989,3744
2021,Bolton 007,E02000990,3690
2021,Bolton 008,E02000991,3250
2021,Bolton 009,E02000992,2760
2021,Bolton 010,E02000993,3450
2021,Bolton 011,E02000994,3317
2021,Bolton 012,E02000995,3424
2021,Bolton 013,E02000996,3382
2021,Bolton 014,E02000997,2721
2021,Bolton 015,E02000998,3702
2021,Bolton 016,E02000999,3635
2021,Bolton 017,E02001000,4065
2021,Bolton 018,E02001001,3209
2021,Bolton 019,E02001002,4074
2021,Bolton 020,E02001003,2829
2021,Bolton 021,E02001004,3059
2021,Bolton 022,E02001005,3390
2021,Bolton 023,E02001006,2759
2021,Bolton 024,E02001007,4392
2021,Bolton 025,E02001008,2830
2021,Bolton 026,E02001009,2977
2021,Bolton 027,E02001010,2487
2021,Bolton 028,E02001011,4233
2021,Bolton 029,E02001012,2982
2021,Bolton 030,E02001013,2498
2021,Bolton 031,E02001014,3783
2021,Bolton 032,E02001015,3860
2021,Bolton 033,E02001016,3341
2021,Bolton 034,E02001017,4661
2021,Bolton 035,E02001018,3109
2021,Bury 001,E02001019,4073
2021,Bury 002,E02001020,2508
2021,Bury 003,E02001021,3176
2021,Bury 004,E02001022,3367
2021,Bury 005,E02001023,2321
2021,Bury 006,E02001024,3378
2021,Bury 007,E02001025,3425
2021,Bury 008,E02001026,4380
2021,Bury 009,E02001027,3177
2021,Bury 010,E02001028,3098
2021,Bury 011,E02001029,2876
2021,Bury 012,E02001030,2512
2021,Bury 013,E02001031,2951
2021,Bury 014,E02001032,3277
2021,Bury 015,E02001033,2684
2021,Bury 016,E02001034,4089
2021,Bury 017,E02001035,2994
2021,Bury 018,E02001036,3093
2021,Bury 019,E02001037,3035
2021,Bury 020,E02001038,2675
2021,Bury 021,E02001039,3513
